node	1_NRAS	2_DNMT3A	2_SF3B1	2_IDH1	3_GATA2	4_KIT	5_NPM1	6_chr6	7_EZH2	9_JAK2	10_chr10	11_WT1	12_KRAS	12_PTPN11	13_FLT3	15_IDH2	16_chr16	17_TP53	17_SRSF2	18_chr18	20_ASXL1	21_RUNX1	21_U2AF1
Node 0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
Node 2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2
Node 3	2	2	2	2	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2
Node 4	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
