cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_0	7.82914e-12	0.0422875	0.524956	0.0112297	7.99721e-05	0.0492381	0.000906192	0.371303
Cell_1	2.08808e-21	1.99456e-07	0.812735	0.038339	0.0582547	8.8244e-08	2.69325e-14	0.0906712
Cell_2	1.87785e-36	2.20539e-13	0.0429844	0.0102617	0.831692	1.88731e-12	2.06237e-18	0.115062
Cell_3	0.999381	0.000179603	6.39405e-05	2.19611e-05	0.000201825	0.000135036	1.96853e-13	1.62148e-05
Cell_4	2.65887e-24	3.70749e-07	0.000269211	0.000195685	0.999153	3.08816e-06	5.03228e-16	0.000378847
Cell_5	0.99478	0.000133307	4.99609e-05	1.97217e-05	0.00473878	0.000155218	1.53282e-14	0.000123391
Cell_6	2.7565e-23	1.51303e-09	0.647189	0.0418623	7.84659e-05	5.32401e-09	1.04828e-18	0.31087
Cell_7	0.996562	1.62487e-05	3.26388e-05	1.75708e-05	0.00323003	0.000135724	1.31857e-18	5.71298e-06
Cell_8	2.3376e-15	5.26102e-08	5.37526e-05	3.09087e-05	0.999591	4.49778e-07	8.83945e-20	0.000324082
Cell_9	9.30998e-25	2.22579e-07	0.678339	0.240069	0.0626819	1.90674e-06	1.50031e-21	0.0189082
Cell_10	0.991237	2.65472e-05	0.000135449	9.29315e-05	0.00818859	0.000227789	9.64448e-19	9.21427e-05
Cell_11	0.991683	0.00813393	2.42149e-05	1.76419e-05	6.07095e-06	0.000134543	3.41633e-10	9.14417e-07
Cell_12	0.999571	1.82292e-05	0.000249829	1.9012e-05	1.21819e-09	0.000134941	2.25256e-34	7.45431e-06
Cell_13	8.21749e-08	0.0520945	0.301457	0.0705075	0.0177301	0.0230479	1.1595e-10	0.535163
Cell_14	0.999146	0.000601723	3.46369e-05	2.23969e-05	2.07723e-05	0.000135825	4.71208e-11	3.89806e-05
Cell_15	4.09241e-05	0.000281308	0.0210863	0.00666893	0.96106	0.000634256	9.24022e-14	0.010228
Cell_16	2.04101e-37	0.32422	0.0756709	0.0457588	0.480084	0.0731851	9.41021e-21	0.00108114
Cell_17	1.13202e-13	1.42409e-08	0.78919	0.0118787	0.000151569	3.21455e-09	6.54838e-14	0.198779
Cell_18	1.17085e-11	3.26716e-07	0.000158995	8.98344e-05	0.999369	7.37486e-08	2.48155e-08	0.000382141
Cell_19	1.36152e-15	4.29249e-14	0.345174	0.0998899	0.0399883	3.38742e-13	1.81735e-25	0.514947
Cell_20	4.02911e-38	1.17794e-11	0.00377763	0.00246994	0.993329	7.19787e-11	2.39246e-24	0.000423249
Cell_21	8.93258e-10	0.0192228	0.714295	0.0430796	0.000855403	0.160567	1.16528e-20	0.0619804
Cell_22	0.999481	1.63509e-05	5.08811e-05	3.4488e-05	0.000274355	0.000135268	7.18464e-16	7.93302e-06
Cell_23	3.92708e-15	4.47555e-09	0.000130621	5.60352e-05	0.999174	1.00909e-08	1.66472e-19	0.000639191
