cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6
Cell_18	1.16493e-11	7.26109e-07	6.93043e-05	6.46278e-08	0.00043602	0.000177179	0.999317
Cell_19	1.46339e-15	9.94549e-14	0.0803018	3.20038e-13	0.465893	0.410482	0.0433233
Cell_20	4.03169e-38	2.56164e-11	0.00156795	6.3311e-11	0.000373251	0.00360676	0.994452
Cell_21	7.65163e-10	0.0354915	0.0312095	0.121144	0.0432526	0.768139	0.000763909
Cell_22	0.999458	3.58493e-05	2.62854e-05	0.000121146	6.93645e-06	5.84889e-05	0.000292956
Cell_23	3.77414e-15	9.531e-09	4.52739e-05	8.54173e-09	0.000646807	0.000152622	0.999155
Cell_24	1.79405e-25	2.40426e-06	6.63773e-05	7.39626e-06	0.000716026	0.000152064	0.999056
Cell_25	1.39139e-20	1.93191e-05	0.0443622	8.89791e-06	0.260618	0.626255	0.0687365
Cell_26	6.05277e-15	0.0486414	0.0189909	0.00432936	0.104254	0.195656	0.628128
Cell_27	2.42509e-30	1.73168e-12	0.0378146	6.03907e-12	0.200117	0.761751	0.000317577
Cell_28	1.73213e-17	0.999964	1.69832e-06	1.96086e-05	2.82667e-06	1.1686e-05	1.17205e-07
Cell_29	1.87363e-32	4.89916e-14	0.000762326	1.34257e-13	0.340601	0.658637	1.90684e-13
Cell_30	4.22766e-34	4.97621e-16	0.0317586	1.74724e-15	0.215453	0.10257	0.650218
Cell_31	1.55151e-25	2.59559e-05	0.00884954	8.35241e-05	0.00879396	0.0356696	0.946577
Cell_32	3.49507e-23	3.14065e-13	0.00652054	7.76212e-13	0.353019	0.640452	8.99224e-06
Cell_33	1.34966e-36	7.17218e-10	0.00384623	1.51448e-09	0.0197651	0.0140181	0.962371
Cell_34	6.75661e-41	1.93546e-12	0.0754782	8.91424e-13	0.168487	0.634065	0.121971
Cell_35	4.16528e-49	7.28112e-11	0.00196372	2.16147e-11	0.871894	0.121293	0.00484953
Cell_36	2.21985e-26	2.29368e-06	0.00893511	6.80901e-07	0.355148	0.635488	0.000425834
Cell_37	2.6394e-16	2.29165e-07	0.0124799	4.34437e-07	0.0292431	0.0748392	0.883437
Cell_38	3.37849e-32	0.0234734	0.0690357	0.00696828	0.00402046	0.865428	0.0310739
Cell_39	8.66508e-32	2.4004e-11	0.0580114	8.38401e-11	0.45784	0.449182	0.0349673
Cell_40	3.98901e-24	2.27905e-07	0.00518666	2.61734e-07	0.130794	0.0439123	0.820106
Cell_41	1.60076e-33	1.94005e-14	0.00481596	5.31654e-14	0.00765313	0.0125124	0.975018
Cell_42	1.07328e-44	1.38889e-30	0.135858	4.07734e-30	0.0322981	0.31948	0.512364
Cell_43	8.72725e-27	1.30753e-13	0.0022059	2.28101e-14	0.00274281	0.00626559	0.988786
Cell_44	2.1614e-25	3.85828e-08	0.011556	1.14537e-08	0.0148698	0.0380837	0.93549
Cell_45	7.28351e-09	4.70176e-05	0.00027611	0.000128848	0.000526358	0.000631862	0.99839
Cell_46	6.78221e-20	0.999583	3.11012e-06	1.93925e-05	2.10398e-05	0.000373486	1.84316e-09
Cell_47	5.27163e-21	3.4007e-08	0.000264392	3.04772e-08	0.000294708	0.000610885	0.99883
Cell_48	8.2092e-25	4.5858e-17	0.00486097	2.11211e-17	0.0122554	0.982879	4.2366e-06
Cell_49	6.04851e-41	8.28173e-17	0.00720956	2.83411e-16	0.0160859	0.0182857	0.958419
Cell_50	8.62791e-24	0.000308455	0.00245749	0.000354242	0.00275086	0.0105662	0.983563
Cell_51	2.10171e-36	2.32552e-21	0.0215761	7.63143e-21	0.352793	0.625615	1.56364e-05
Cell_52	1.18914e-30	2.03481e-11	0.0107941	7.13737e-11	0.0209311	0.024859	0.943416
Cell_53	6.59528e-38	1.63773e-08	0.0269845	4.5969e-10	0.0348664	0.938105	4.40872e-05
Cell_54	3.62898e-25	0.858451	0.0103508	0.076407	0.00172113	0.0527004	0.000369644
Cell_55	6.02098e-17	1.16333e-08	0.066362	1.04258e-08	0.0786587	0.59174	0.263239
Cell_56	7.00817e-17	3.34364e-05	0.0026868	8.19919e-08	0.00111199	0.00955914	0.986609
Cell_57	1.73341e-34	9.03818e-10	0.0446868	3.10005e-09	0.356541	0.584121	0.0146513
Cell_58	1.63147e-18	1.68856e-10	0.0115535	2.80097e-10	0.0318153	0.956623	7.90176e-06
Cell_59	6.08787e-13	3.83233e-09	0.000430367	1.00269e-08	0.000553972	0.00086828	0.998147
Cell_60	2.45878e-20	3.7815e-08	0.00026146	4.34282e-08	0.000101073	0.000504004	0.999133
Cell_61	6.49691e-19	9.71997e-07	0.0622807	1.69566e-07	0.0008046	0.238613	0.6983
Cell_62	8.53449e-37	1.3088e-18	0.0680312	3.8853e-19	0.209863	0.209935	0.512172
Cell_63	2.33152e-13	8.83358e-07	0.0533671	2.51405e-06	0.0135384	0.169587	0.763504
Cell_64	2.3317e-27	3.73344e-16	0.0839174	8.60052e-16	0.263521	0.618602	0.0339596
Cell_65	1.1945e-13	3.16926e-05	0.0223795	5.5288e-06	0.271556	0.693787	0.01224
Cell_66	2.01968e-24	1.14782e-14	0.0410326	1.31821e-14	0.260077	0.436452	0.262438
Cell_67	1.13256e-18	6.02425e-07	0.000600905	2.77462e-07	0.0114708	0.00421403	0.983713
Cell_68	6.58444e-14	8.66157e-09	0.00169354	2.66457e-08	0.00549149	0.00376555	0.989049
Cell_69	4.90806e-39	3.5923e-07	0.0752827	1.21855e-06	0.389095	0.529826	0.00579521
Cell_70	1.18196e-31	6.52022e-12	0.0425683	1.61148e-11	0.0496713	0.90775	1.05463e-05
Cell_71	1.66083e-15	0.000308223	0.00223777	0.000511279	0.00090432	0.00805233	0.987986
Cell_72	5.4572e-15	1.84997e-06	7.99504e-05	3.9064e-06	0.000367711	0.000195567	0.999351
Cell_73	1.84304e-15	0.00173396	0.000533356	0.000125928	0.000817476	0.00177716	0.995012
Cell_74	3.24284e-21	7.21954e-06	0.0793886	1.25946e-06	0.00422168	0.623788	0.292593
Cell_75	0.982385	4.39804e-05	7.32811e-05	0.00014641	3.98709e-06	0.000151336	0.0171964
Cell_76	4.72585e-43	4.0775e-07	0.000653187	1.16046e-06	0.000248942	0.0014538	0.997643
Cell_77	4.32393e-27	1.13815e-11	0.0535952	3.73495e-11	0.358071	0.58786	0.000473354
Cell_78	2.47791e-23	5.55137e-06	0.00737923	7.80871e-06	0.00546619	0.0149084	0.972233
Cell_79	1.37188e-08	0.029208	0.00136721	0.00867066	0.000880635	0.00303823	0.956835
Cell_80	3.24765e-10	9.34101e-05	0.0630715	0.000177081	0.252855	0.475755	0.208049
Cell_81	2.69047e-15	3.38234e-08	0.094606	1.18703e-07	0.0498432	0.85555	2.47648e-07
Cell_82	1.62242e-26	6.50084e-08	0.00033715	1.85015e-07	0.000171108	0.000576156	0.998915
Cell_83	4.26958e-29	1.3494e-15	0.027399	2.84939e-15	0.426416	0.532784	0.0134009
Cell_84	2.2107e-29	1.62432e-18	0.10903	5.69472e-18	0.445832	0.419823	0.0253155
Cell_85	3.17329e-16	0.994993	1.38697e-05	0.00014299	0.000727876	0.0041226	5.89702e-09
Cell_86	3.83416e-32	2.21483e-06	0.000316926	1.46845e-06	0.000213294	0.000738464	0.998728
Cell_87	5.52507e-10	0.00223879	0.010397	0.00257111	0.000726653	0.0250325	0.959034
Cell_88	3.8228e-05	0.611418	0.0174104	0.106662	0.0630101	0.0895622	0.111899
Cell_89	2.64655e-27	8.33726e-11	0.128919	2.92515e-10	0.220469	0.365167	0.285445
Cell_90	2.41255e-20	1.34365e-08	5.95391e-05	1.89001e-08	0.000795647	0.000166534	0.998978
Cell_91	4.8964e-20	0.0011436	0.146718	0.000339489	0.0697441	0.76558	0.0164742
Cell_92	9.99251e-08	1.42164e-06	0.00449166	4.22027e-07	0.0177481	0.0389252	0.938833
Cell_93	1.12296e-23	1.52613e-12	8.63653e-05	2.66235e-13	0.944662	0.0552506	1.27111e-06
Cell_94	1.87758e-25	2.26986e-10	0.0746527	2.0203e-11	0.335705	0.488081	0.101562
Cell_95	1.34431e-45	1.90392e-16	0.0575214	6.59202e-16	0.550119	0.38442	0.00793952
Cell_96	0.999764	3.46819e-05	1.58329e-05	0.000120893	1.79224e-06	4.50568e-05	1.79753e-05
Cell_97	0.8624	3.18854e-05	8.78581e-06	0.000109116	2.7716e-05	2.21236e-05	0.1374
Cell_98	1.19071e-31	1.41841e-07	0.0589748	4.87497e-07	0.260418	0.256859	0.423748
Cell_99	5.71802e-32	8.27906e-12	0.074934	2.04617e-11	0.251259	0.606815	0.0669921
Cell_100	9.26465e-08	2.44047e-11	0.00190287	1.12402e-11	0.867365	0.130291	0.000440737
Cell_101	1.22589e-24	1.25743e-14	0.00823211	1.44408e-14	0.0170274	0.0304073	0.944333
Cell_102	1.91743e-19	7.73455e-05	0.000179017	0.000237939	0.0136076	0.000995864	0.984902
Cell_103	1.16627e-29	1.8571e-08	0.0254487	5.28534e-08	0.232089	0.742426	3.59329e-05
Cell_104	3.73105e-20	0.00197774	0.00468113	0.000910896	0.00131191	0.0101956	0.980923
Cell_105	1.63972e-14	9.33129e-14	0.00829989	3.26562e-13	0.0492501	0.0372649	0.905185
Cell_106	1.22649e-26	2.98092e-06	0.117322	9.17025e-06	0.181808	0.58007	0.120788
Cell_107	2.9915e-19	1.68451e-13	0.0018726	1.50967e-13	0.418078	0.580047	3.16744e-06
Cell_108	0.998472	3.85198e-05	1.23341e-05	0.000122415	4.45582e-05	4.92946e-05	0.00126077
Cell_109	6.74289e-20	4.18251e-08	0.00615073	6.93793e-08	0.0130636	0.0545414	0.926244
Cell_110	2.71873e-27	2.845e-11	0.0150254	1.31034e-11	0.524789	0.443775	0.0164105
Cell_111	1.24528e-31	2.73226e-13	0.00146876	2.44866e-13	0.328138	0.670393	1.22909e-07
Cell_112	7.07242e-46	3.97107e-09	0.0473596	3.5589e-09	0.146663	0.311261	0.494717
Cell_113	4.62615e-55	2.42357e-13	0.00171518	4.22795e-14	0.911566	0.0862652	0.000453304
Cell_114	2.67634e-41	2.00399e-07	0.00664703	6.99707e-07	0.034341	0.0171846	0.941826
Cell_115	1.58668e-31	1.69461e-08	0.00124016	5.88435e-08	0.00867314	0.00650671	0.98358
Cell_116	5.78941e-30	2.34729e-07	0.00177275	6.96815e-08	0.00119558	0.00413043	0.992901
Cell_117	0.999744	4.89098e-05	1.64239e-05	0.000120881	3.26029e-06	4.55254e-05	2.05814e-05
Cell_118	5.39576e-20	2.24734e-06	3.48196e-05	2.58093e-06	0.000185481	6.62088e-05	0.999709
Cell_119	1.5052e-20	6.91745e-14	0.00146128	6.15692e-15	0.000935117	0.00419297	0.993411
Cell_120	4.17312e-29	3.48761e-10	0.000233307	1.09204e-09	0.00125699	0.000787622	0.997722
Cell_121	1.8728e-17	2.00478e-10	5.98646e-05	6.7748e-10	0.000308917	0.000140567	0.999491
Cell_122	4.39244e-43	3.01175e-07	0.0346759	2.68063e-08	0.138928	0.762642	0.0637545
Cell_123	2.08526e-12	0.000222056	0.055456	0.000147224	0.0143539	0.91137	0.0184507
Cell_124	1.2507e-24	2.22969e-10	0.000265356	3.13635e-10	0.00158663	0.000774605	0.997373
Cell_125	1.09898e-27	3.5523e-09	0.0549778	1.21564e-08	0.300467	0.446304	0.198251
Cell_126	3.63394e-19	0.00471448	0.0546312	0.0116519	0.141401	0.487007	0.300594
Cell_127	1.90813e-17	1.4924e-05	8.88401e-05	5.20683e-05	0.00103945	0.000329289	0.998475
Cell_128	1.15036e-23	5.8015e-11	0.0032681	1.65112e-10	0.342347	0.654385	6.74106e-09
Cell_129	2.47918e-27	1.84452e-16	0.00340771	5.99867e-16	0.273431	0.723161	2.53555e-08
Cell_130	1.08999e-17	1.24455e-06	0.121037	3.74827e-06	5.43103e-05	0.249573	0.62933
Cell_131	4.24246e-49	1.82751e-10	0.0854876	1.62659e-11	0.192618	0.655511	0.0663834
Cell_132	0.992874	4.38905e-05	1.48557e-05	0.000120278	4.95067e-05	5.31034e-05	0.00684405
Cell_133	3.16709e-23	0.000634526	0.0844163	0.00220947	0.0665787	0.206033	0.640128
Cell_134	8.24666e-21	1.60721e-06	0.0428748	1.84578e-06	0.212954	0.722941	0.0212265
Cell_135	0.998468	4.24661e-05	1.2986e-05	0.000120859	2.52648e-05	3.03618e-05	0.00129985
Cell_136	2.45246e-15	1.77057e-05	4.49558e-05	3.73874e-05	9.85065e-05	9.91836e-05	0.999702
Cell_137	1.44579e-36	7.7495e-10	0.00373463	1.91529e-09	0.00304577	0.00720576	0.986014
Cell_138	2.65229e-31	7.73418e-14	0.0060574	2.66732e-13	0.390984	0.602957	1.48218e-06
Cell_139	7.5204e-15	6.56901e-10	0.000111715	1.38711e-09	9.62678e-05	0.000171458	0.999621
Cell_140	0.999055	7.48397e-05	3.71622e-05	0.000124144	1.36429e-05	0.000126365	0.000569074
Cell_141	1.90624e-17	0.0971745	0.0714445	0.00864908	0.0831675	0.628826	0.110738
Cell_142	2.09774e-21	6.31721e-10	0.0309118	2.10299e-09	0.473204	0.393117	0.102768
Cell_143	8.24745e-33	1.51083e-10	0.0287856	5.28016e-10	0.429939	0.432009	0.109266
Cell_144	2.03623e-24	2.50469e-06	8.27017e-05	1.1536e-06	6.2913e-05	0.000147131	0.999704
Cell_145	1.75205e-18	0.00149226	0.000505888	0.00171377	0.824916	0.171372	8.74326e-09
Cell_146	1.50541e-21	0.164802	0.085176	0.407308	0.000964332	0.261518	0.0802327
Cell_147	3.49594e-25	3.66191e-12	0.043565	1.22604e-11	0.559373	0.392052	0.00500989
Cell_148	0.999599	3.63187e-05	1.08859e-05	0.000120905	7.12155e-06	3.27736e-05	0.000192937
Cell_149	7.16963e-05	0.00687452	0.00254408	0.00119927	0.0425116	0.0251292	0.92167
Cell_150	9.96168e-24	4.75413e-12	0.00281563	1.39566e-11	0.0184141	0.013228	0.965542
Cell_151	2.5992e-30	7.68433e-14	3.36075e-05	3.53921e-14	0.000652086	0.000114989	0.999199
Cell_152	1.48325e-17	2.20049e-10	1.06735e-05	6.62732e-10	0.000311996	2.79434e-05	0.999649
Cell_153	1.0179e-26	3.83022e-11	0.041902	8.0879e-11	0.0984459	0.858893	0.000759371
Cell_154	5.5437e-25	0.000229125	0.0286326	0.000672637	0.336453	0.433325	0.200688
Cell_155	7.26138e-06	2.4578e-08	0.0525803	1.62954e-08	0.162713	0.437065	0.347635
Cell_156	8.98868e-09	0.0306417	0.00030184	0.00272729	0.000631967	0.000753858	0.964943
Cell_157	2.55634e-22	1.27182e-14	0.0483236	3.1433e-14	0.431243	0.489741	0.0306933
Cell_158	0.999461	3.50751e-05	1.64521e-05	0.000121299	0.000211218	0.00013783	1.72039e-05
Cell_159	1.0363e-20	4.50634e-05	0.0499436	7.86135e-06	0.195855	0.255224	0.498924
Cell_160	9.42635e-17	0.526801	0.0251934	0.0468882	0.0996089	0.295564	0.00594432
Cell_161	3.95903e-20	0.0564596	0.00289336	0.00984944	0.348367	0.582295	0.000136244
Cell_162	5.05412e-25	4.49298e-07	0.000314691	1.27871e-06	0.00125237	0.00105384	0.997377
Cell_163	1.33845e-21	0.31042	0.00349271	0.0276291	0.0215289	0.63693	4.07434e-08
Cell_164	1.27624e-35	9.2886e-08	0.00325306	2.54547e-07	0.00163643	0.0175443	0.977566
Cell_165	6.51043e-20	1.92082e-09	0.013423	6.69215e-09	0.0638688	0.0303207	0.892387
Cell_166	6.71955e-25	0.998942	9.6836e-06	0.000143557	0.000175085	0.000729573	5.2793e-11
Cell_167	5.44238e-20	1.13397e-08	0.0353722	2.61227e-08	0.424098	0.540221	0.000308732
Cell_168	4.77028e-08	0.000508438	0.0157166	8.86975e-05	0.00186924	0.0438739	0.937943
Cell_169	1.52485e-16	5.89816e-05	0.139828	0.000191818	0.484542	0.371749	0.00363013
Cell_170	2.74052e-50	1.89514e-16	0.00537748	2.66576e-16	0.461109	0.533359	0.000154388
Cell_171	4.67414e-44	0.000488296	0.000269089	4.34611e-05	0.946944	0.0522509	4.0896e-06
Cell_172	4.37176e-28	9.19616e-11	0.0190336	2.27283e-10	0.215561	0.764915	0.00049057
Cell_173	8.12726e-21	3.72151e-05	0.00119106	0.000130523	0.00588566	0.00418167	0.988574
Cell_174	1.3909e-15	0.000403646	0.000212329	3.59267e-05	0.000281371	0.000523032	0.998544
Cell_175	2.51992e-19	4.73926e-09	0.0271486	1.42735e-08	0.454678	0.5179	0.000273481
Cell_176	5.09951e-28	1.01692e-14	0.0461178	2.51332e-14	0.259474	0.553633	0.140775
Cell_177	7.67504e-14	4.88439e-05	5.60096e-05	1.44998e-05	0.000170545	0.000115249	0.999595
Cell_178	6.35628e-22	1.1713e-11	0.010088	3.43855e-11	0.0548726	0.0447308	0.890309
Cell_179	2.29818e-25	7.80441e-12	0.000360557	1.79786e-11	0.00185819	0.00111391	0.996667
Cell_180	1.93338e-35	1.71022e-16	0.0142618	3.93974e-16	0.270838	0.714891	8.75931e-06
Cell_181	1.82521e-20	3.77311e-06	0.123978	1.21416e-05	0.00493229	0.5369	0.334173
Cell_182	4.10988e-29	8.91852e-10	0.0332678	3.09118e-09	0.412163	0.533599	0.0209698
Cell_183	2.503e-17	4.43791e-05	0.000210749	0.000154531	0.0103272	0.0014169	0.987846
Cell_184	9.46252e-33	3.00433e-08	0.0341176	1.0546e-07	0.775316	0.121854	0.068712
Cell_185	9.49085e-24	0.0002714	0.0155787	8.05677e-05	0.207711	0.775598	0.000760943
Cell_186	1.56062e-23	1.80654e-05	9.19262e-05	6.33666e-05	0.00185072	0.000313718	0.997662
Cell_187	5.90161e-26	1.63453e-11	0.00355004	5.72964e-11	0.0192523	0.00879014	0.968408
Cell_188	1.82388e-20	2.79876e-08	0.0153562	6.91716e-08	0.000586564	0.0354831	0.948574
Cell_189	1.66376e-16	1.04841e-09	0.0332597	3.07778e-09	0.303181	0.653148	0.010412
Cell_190	2.38468e-18	7.52037e-10	0.0531546	1.588e-09	0.0318456	0.885472	0.029528
Cell_191	1.32946e-30	3.64773e-12	0.00254535	6.91514e-12	0.846759	0.134318	0.0163778
Cell_192	1.07454e-16	0.0112065	0.00592965	0.0391281	0.134913	0.808823	1.82031e-08
Cell_193	3.06499e-17	1.03507e-08	0.0095169	2.55818e-08	0.373089	0.61725	0.000143373
Cell_194	5.12924e-28	2.30084e-08	0.0105656	7.20439e-08	0.335128	0.654306	3.33402e-07
Cell_195	0.999478	7.02714e-05	3.78119e-05	0.00023747	1.17212e-06	0.00014552	3.01734e-05
Cell_196	2.39655e-28	0.000216453	0.00333216	9.96927e-05	0.0500825	0.0231379	0.923131
Cell_197	2.98304e-16	3.70468e-05	0.0347137	2.45622e-05	0.0303219	0.122286	0.812617
Cell_198	7.15581e-12	0.992464	7.34325e-06	1.94615e-05	2.50281e-05	1.96062e-05	0.00746505
Cell_199	2.8214e-26	0.999999	3.44656e-09	2.85794e-08	2.73947e-08	4.82526e-07	1.27838e-14
Cell_200	1.01998e-22	1.73369e-12	0.122075	5.83343e-12	0.080956	0.781158	0.015811
Cell_201	0.999742	4.63398e-05	1.15816e-05	0.000121244	1.21401e-06	7.54203e-05	2.23659e-06
Cell_202	6.00595e-25	5.88269e-08	0.00599332	1.74633e-08	0.217653	0.776341	1.21116e-05
Cell_203	0.999733	5.75065e-05	1.31127e-05	0.000121431	4.47416e-06	5.33248e-05	1.70321e-05
Cell_204	3.08099e-13	0.0600084	0.0180169	0.0689159	0.522938	0.328957	0.00116312
Cell_205	2.43212e-14	8.32872e-08	0.0160101	5.52199e-08	0.0852637	0.110087	0.788639
Cell_206	4.6468e-26	8.1662e-12	0.00210375	1.4246e-12	0.281672	0.00823158	0.707993
Cell_207	9.41524e-14	0.000981643	0.00118074	0.00162835	0.0060433	0.00592038	0.984246
Cell_208	3.01357e-26	2.9517e-09	0.00507074	8.88976e-09	0.733707	0.250846	0.0103761
Cell_209	1.05848e-24	0.997439	1.51108e-06	8.09235e-06	0.00112406	0.00142688	4.66648e-11
Cell_210	9.17349e-37	7.90733e-30	0.0303055	2.72262e-29	0.451817	0.508523	0.0093555
Cell_211	4.64392e-30	3.37053e-12	0.0502439	1.16053e-11	0.38569	0.510739	0.0533265
Cell_212	5.92539e-14	4.1904e-06	2.35189e-05	1.09637e-05	0.000228636	5.58516e-05	0.999677
Cell_213	1.30732e-30	2.85735e-08	0.0465562	1.31602e-08	0.0142462	0.939171	2.68646e-05
Cell_214	6.14519e-30	1.18092e-14	0.000328581	3.08977e-14	0.541974	0.457698	2.34872e-11
Cell_215	2.22754e-21	5.42648e-05	2.57482e-05	0.000185701	0.000218006	5.25116e-05	0.999464
Cell_216	9.60313e-28	1.5855e-08	0.00321286	2.63002e-08	0.00796949	0.0184595	0.970358
Cell_217	4.12496e-18	5.42688e-07	0.00747691	4.83023e-08	0.749464	0.242949	0.000110154
Cell_218	0.997241	0.00135651	1.48888e-05	0.000120737	1.80751e-05	4.61843e-05	0.00120257
Cell_219	2.25862e-31	2.46289e-15	0.111895	8.62222e-15	0.347193	0.475803	0.0651095
Cell_220	1.48472e-21	1.18533e-05	0.000114229	3.85488e-05	0.00182393	0.000254134	0.997757
Cell_221	4.77708e-40	1.41517e-11	0.0275106	4.84289e-11	0.503081	0.46818	0.00122891
Cell_222	1.36229e-24	1.68539e-06	0.0191387	1.51046e-06	0.527748	0.452758	0.000352342
Cell_223	7.3635e-37	4.35842e-15	0.0136587	7.22974e-15	0.571252	0.315438	0.0996511
Cell_224	1.4663e-10	0.000319572	0.0334738	0.000147187	0.179196	0.664436	0.122427
Cell_225	1.58095e-25	1.08287e-12	0.0118697	3.73995e-12	0.00284318	0.0202438	0.965043
Cell_226	0.999278	8.66803e-05	1.95121e-05	0.000121927	2.68389e-05	0.000466651	4.74726e-07
Cell_227	3.88148e-21	7.28907e-09	0.02662	2.45259e-08	0.405374	0.561918	0.00608802
Cell_228	1.85783e-14	2.90234e-07	0.0083246	4.8144e-07	0.321167	0.670493	1.39326e-05
Cell_229	2.04479e-32	1.48774e-23	0.0769433	4.95268e-23	0.218886	0.284292	0.419879
Cell_230	5.39093e-19	8.63439e-11	0.00304549	2.98211e-10	0.0034028	0.00733978	0.986212
Cell_231	9.82825e-24	1.58055e-05	0.000472678	4.33136e-05	0.00105328	0.0013109	0.997104
Cell_232	5.35969e-32	4.41881e-16	0.0292529	1.50828e-15	0.310661	0.660028	5.85071e-05
Cell_233	0.9662	0.000670314	0.000297194	0.000116937	0.000273571	0.000453235	0.0319888
Cell_234	2.73885e-11	3.72819e-14	0.00040271	3.3183e-15	0.216089	0.783508	4.00725e-09
Cell_235	1.26832e-22	9.1091e-08	0.000349346	1.28131e-07	0.00135888	0.00117764	0.997114
Cell_236	1.23757e-27	4.75891e-09	0.00375967	1.00489e-08	0.00861225	0.0105553	0.977073
Cell_237	4.03315e-22	0.000148797	0.000986624	0.000423478	6.53008e-05	0.00167819	0.996698
Cell_238	2.47644e-22	8.31388e-06	0.0116608	9.54798e-06	0.0958213	0.119083	0.773417
Cell_239	6.90891e-05	0.0268814	0.00593411	0.00239259	0.00726415	0.0210486	0.93641
Cell_240	2.65576e-15	2.61365e-06	0.0381261	4.55953e-07	0.175539	0.184977	0.601355
Cell_241	5.98418e-31	4.57924e-09	0.010594	7.98853e-10	0.252259	0.729373	0.00777404
Cell_242	2.43691e-26	3.76172e-15	0.000565745	1.31243e-14	0.00394867	0.00158405	0.993902
Cell_243	1.52396e-38	5.66795e-11	0.00956693	1.61311e-10	0.474956	0.515475	1.38969e-06
Cell_244	3.53373e-19	1.70228e-09	0.000575821	5.95626e-09	0.00120646	0.00111169	0.997106
Cell_245	3.21901e-18	0.000363902	0.000188364	0.000899385	0.000955325	0.000782569	0.99681
Cell_246	4.87766e-40	1.04976e-12	0.00224062	1.20558e-12	0.0259133	0.0182491	0.953597
Cell_247	8.07028e-13	2.46896e-06	8.20556e-05	7.02669e-06	0.000358738	0.000242849	0.999307
Cell_248	3.52614e-21	5.06566e-09	0.0780296	5.8176e-09	0.0415416	0.880015	0.000413655
Cell_249	4.38381e-34	1.74592e-12	0.0563325	3.68669e-12	0.286039	0.499696	0.157932
Cell_250	0.999628	4.41051e-05	1.41436e-05	0.000120866	6.82604e-06	3.07123e-05	0.000155442
Cell_251	1.38543e-21	1.07833e-10	0.000343551	9.66401e-11	0.000482926	0.00102186	0.998152
Cell_252	1.60285e-16	2.13824e-07	0.00922989	2.45564e-07	0.0134495	0.0600491	0.917271
Cell_253	8.23908e-11	0.000353783	0.000836085	0.000497641	0.00673348	0.00196466	0.989614
Cell_254	3.31557e-26	6.22024e-11	0.00343982	1.87338e-10	0.00549031	0.0111155	0.979954
Cell_255	3.19673e-20	1.61892e-10	0.00471166	2.68546e-10	0.00354135	0.0125745	0.979172
Cell_256	2.56014e-10	0.363125	0.0253485	0.167246	0.013777	0.425828	0.00467502
Cell_257	3.88992e-24	6.20682e-07	0.142655	1.31063e-06	0.181576	0.641284	0.0344831
Cell_258	7.52419e-22	6.03584e-11	0.000398807	2.09203e-10	0.00156356	0.0013679	0.99667
Cell_259	6.83387e-23	2.49828e-11	0.0433003	7.33416e-11	0.142558	0.81403	0.000111801
Cell_260	1.35756e-12	4.29332e-09	6.89162e-05	7.12175e-09	0.961695	0.0382353	2.87715e-07
Cell_261	0.037337	0.440529	0.0105614	0.0392096	0.000409985	0.0243556	0.447597
Cell_262	8.22269e-36	8.53303e-09	0.0287425	2.62503e-08	0.0485435	0.0986262	0.824088
Cell_263	1.01591e-23	2.14326e-15	0.0199102	7.48822e-15	0.760794	0.21384	0.00545531
Cell_264	8.27766e-23	0.00456453	0.00204715	0.00524209	0.0125049	0.0088337	0.966808
Cell_265	9.83913e-25	7.30762e-12	0.00106187	2.50076e-11	0.00443346	0.00351174	0.990993
