cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6
Cell_0	7.09655e-12	0.0853498	0.00830545	0.03931	0.263627	0.603332	7.57753e-05
Cell_1	1.97591e-21	4.216e-07	0.0274499	7.35486e-08	0.0713091	0.845583	0.0556575
Cell_2	1.88001e-36	4.74501e-13	0.00810389	1.66088e-12	0.0951449	0.0502667	0.846485
Cell_3	0.999138	0.000407313	1.92383e-05	0.000120915	1.64855e-05	8.27602e-05	0.00021559
Cell_4	2.67093e-24	8.01224e-07	0.00014259	2.72686e-06	0.000332121	0.000302289	0.999219
Cell_5	0.994269	0.000300942	1.47482e-05	0.000138607	0.000110665	5.78328e-05	0.00510821
Cell_6	2.58068e-23	3.11482e-09	0.0319083	4.38139e-09	0.238838	0.72918	7.36135e-05
Cell_7	0.996303	3.55992e-05	1.50672e-05	0.000121511	6.0428e-06	4.11853e-05	0.00347751
Cell_8	2.2977e-15	1.11138e-07	2.21179e-05	3.88614e-07	0.000304631	5.63746e-05	0.999616
Cell_9	9.4184e-25	4.83891e-07	0.176535	1.69558e-06	0.0179938	0.740186	0.0652831
Cell_10	0.990789	5.76654e-05	6.6587e-05	0.000202404	0.000103638	0.00014759	0.00863356
Cell_11	0.981513	0.0183203	1.21027e-05	0.000119259	7.54883e-07	2.83775e-05	6.49727e-06
Cell_12	0.99949	4.01267e-05	1.67489e-05	0.000120851	6.59841e-06	0.000325527	1.30873e-09
Cell_13	8.02135e-08	0.113472	0.0527186	0.0197953	0.447293	0.349205	0.0175161
Cell_14	0.998393	0.0013656	1.7403e-05	0.000121546	3.84346e-05	4.16505e-05	2.23257e-05
Cell_15	4.08829e-05	0.000621466	0.00489982	0.000556961	0.00935093	0.0232225	0.961307
Cell_16	1.44687e-37	0.512371	0.0264646	0.0456039	0.000755083	0.0660508	0.348754
Cell_17	1.07497e-13	3.0147e-08	0.00895387	2.68326e-09	0.142677	0.848225	0.000143956
