cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	1.45077e-11	2.55643e-14	0.0147822	0.51072	0.474498
Cell_1	3.32312e-21	5.6684e-18	0.0631931	0.166055	0.770752
Cell_2	2.73751e-36	2.58475e-16	0.00083674	0.80176	0.197403
Cell_3	0.999284	0.000112378	2.05587e-05	0.000157291	0.000426126
Cell_4	3.33493e-22	6.34128e-15	0.00130719	0.698524	0.300169
Cell_5	0.997856	0.000108886	1.13112e-05	0.00166044	0.000363082
Cell_6	3.07467e-23	3.42175e-11	0.00655591	0.357481	0.635963
Cell_7	0.999399	9.35124e-05	1.6271e-06	0.000131025	0.000374681
Cell_8	4.08633e-13	1.7889e-06	0.000279753	0.933784	0.0659341
Cell_9	3.01226e-25	1.18003e-12	0.0039994	0.0514853	0.944515
Cell_10	0.996481	0.000167768	6.72496e-06	0.00175375	0.00159077
Cell_11	0.99892	9.33194e-05	0.000668408	1.35988e-05	0.000304796
Cell_12	0.999475	9.26797e-05	2.03451e-06	1.49989e-05	0.000415185
Cell_13	2.50254e-08	2.97923e-10	0.0240003	0.683273	0.292727
Cell_14	0.998756	9.97706e-05	6.63982e-05	0.00066432	0.000413186
Cell_15	0.00025691	0.0306033	0.00801977	0.462636	0.498484
Cell_16	2.59899e-37	1.89758e-35	0.135549	0.0209496	0.843501
Cell_17	4.91915e-13	0.0581976	0.0990798	0.226164	0.616559
Cell_18	1.48735e-09	4.23222e-09	0.0237464	0.828484	0.14777
Cell_19	3.33194e-16	0.000617492	0.00140297	0.692758	0.305222
Cell_20	1.17492e-36	8.5398e-21	0.00483158	0.181258	0.81391
Cell_21	7.75338e-10	1.35688e-12	0.00385585	0.108239	0.887906
Cell_22	0.999122	9.61044e-05	2.79162e-06	0.000142606	0.000636672
Cell_23	3.51926e-13	3.39092e-11	0.00133929	0.915415	0.0832461
Cell_24	1.45251e-23	2.32027e-18	0.00043503	0.908948	0.0906169
Cell_25	9.61362e-21	1.30701e-14	0.0159746	0.471251	0.512775
Cell_26	7.18945e-15	9.41743e-12	0.0653287	0.52814	0.406531
Cell_27	2.56405e-30	1.15826e-11	0.00284512	0.328313	0.668842
Cell_28	4.98894e-16	8.75301e-19	0.99802	0.000608657	0.00137101
Cell_29	7.30842e-31	6.26962e-18	0.00267104	0.499883	0.497446
Cell_30	1.6578e-34	1.69569e-14	0.00088043	0.790787	0.208333
Cell_31	6.5822e-25	3.16417e-16	0.00288946	0.368499	0.628611
Cell_32	1.44904e-22	9.58894e-15	0.00267926	0.545983	0.451338
Cell_33	5.06958e-36	2.21184e-23	0.0016726	0.756645	0.241683
Cell_34	3.31319e-41	6.47357e-18	0.019289	0.361548	0.619163
Cell_35	6.83243e-49	2.71282e-33	0.00254256	0.944757	0.0527004
