cell	Node 0	Node 1	Node 2	Node 3
Cell_0	1.17811e-05	0.00453886	0.35927	0.636179
Cell_1	1.77742e-05	0.0177979	0.0223752	0.959809
Cell_2	2.99775e-12	1.77409e-10	1	1.61879e-07
Cell_3	1.10296e-12	6.53347e-10	1.39037e-09	1
Cell_4	1.51903e-10	9.20344e-09	0.999992	8.2028e-06
Cell_5	1.09113e-13	4.20376e-11	3.32746e-09	1
Cell_6	9.86028e-12	1.30867e-09	3.00695e-07	1
Cell_7	1.17837e-12	7.12199e-11	3.5935e-08	1
Cell_8	3.62111e-17	2.14483e-15	1	4.15865e-09
Cell_9	1.41024e-08	8.33836e-07	0.171645	0.828354
Cell_10	1.81688e-12	1.07276e-10	0.999964	3.63704e-05
Cell_11	3.98949e-14	1.06029e-09	1.21662e-09	1
Cell_12	3.09703e-05	0.00208105	0.944456	0.0534323
Cell_13	3.82577e-11	3.83086e-08	0.016655	0.983345
Cell_14	6.50665e-12	1.277e-08	0.191239	0.808761
Cell_15	1.71673e-05	0.00348058	0.523526	0.472977
Cell_16	2.00689e-12	3.93874e-09	0.96738	0.03262
Cell_17	5.99089e-13	1.17578e-09	0.719078	0.280922
Cell_18	9.84536e-12	1.93226e-08	0.997813	0.00218684
Cell_19	3.46693e-16	2.20206e-14	1.05726e-11	1
Cell_20	4.01194e-17	3.1994e-15	0.999966	3.40466e-05
Cell_21	1.18263e-05	0.000714776	0.360651	0.638623
Cell_22	7.24881e-16	4.41808e-14	8.05597e-05	0.999919
Cell_23	2.14159e-07	4.34198e-05	0.00653091	0.993425
Cell_24	5.37843e-08	3.54922e-06	6.85848e-05	0.999928
Cell_25	4.78371e-14	1.84301e-11	0.985225	0.0147745
Cell_26	3.31768e-23	6.51131e-20	1	1.24295e-13
Cell_27	1.34545e-13	7.98701e-12	2.54842e-05	0.999975
Cell_28	1.05445e-17	9.29967e-11	0.000462659	0.999537
Cell_29	3.03582e-05	0.00221252	0.925791	0.0719664
Cell_30	7.10433e-11	4.19348e-09	0.999996	3.83634e-06
Cell_31	4.81301e-14	3.05703e-12	1.46776e-09	1
Cell_32	1.18236e-05	0.0009429	0.360568	0.638477
Cell_33	1.40534e-12	1.28832e-10	0.00262117	0.997379
Cell_34	1.17811e-05	0.00453886	0.35927	0.636179
Cell_35	2.55923e-17	1.51598e-14	7.80451e-13	1
Cell_36	7.551e-13	4.47289e-10	2.30272e-08	1
Cell_37	4.80079e-09	4.84878e-07	2.02005e-05	0.999979
Cell_38	6.44631e-12	3.81852e-09	1.96584e-07	1
Cell_39	1.18265e-05	0.000701158	0.360655	0.638632
Cell_40	3.11051e-11	4.98809e-09	9.48568e-07	0.999999
Cell_41	1.18246e-05	0.000861782	0.360598	0.638529
Cell_42	4.89012e-15	3.35868e-13	0.999994	5.64003e-06
Cell_43	3.61706e-31	3.62187e-28	4.55076e-28	1
Cell_44	1.78747e-18	1.05882e-15	0.999978	2.23018e-05
Cell_45	4.50148e-09	3.2807e-07	0.000137275	0.999862
Cell_46	1.43996e-08	0.128394	0.000439124	0.871167
Cell_47	2.70271e-12	5.47963e-10	1.88712e-08	1
Cell_48	5.0018e-41	1.92703e-38	1	2.70098e-36
Cell_49	7.03842e-12	4.2448e-10	2.14641e-07	1
Cell_50	1.10157e-29	1.76651e-27	1	5.9485e-25
Cell_51	2.45654e-16	1.53468e-14	7.49137e-12	1
Cell_52	4.08527e-15	2.41345e-13	1	2.20605e-10
Cell_53	1.32231e-10	8.16022e-07	4.03246e-06	0.999995
Cell_54	2.31518e-14	4.5438e-11	0.00680245	0.993198
Cell_55	3.10203e-16	6.28921e-14	9.45981e-12	1
Cell_56	4.81847e-09	0.000339877	0.259054	0.740606
