cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	3.60509e-12	0.00755912	0.00167058	0.000100087	0.516575	0.474096
Cell_1	2.01576e-20	0.0290851	0.00295197	3.34682e-09	0.769473	0.19849
Cell_2	1.71189e-43	0.000392825	0.00130465	4.356e-09	0.165534	0.832769
Cell_3	0.999769	3.3088e-06	1.76717e-06	3.20504e-15	0.000147586	7.8504e-05
Cell_4	1.03637e-27	0.000613967	0.000447899	5.92011e-13	0.253081	0.745857
Cell_5	0.988506	2.27415e-05	1.89381e-05	2.24484e-15	0.00155411	0.00989793
Cell_6	2.1248e-23	0.00320693	0.00195185	1.84594e-12	0.624156	0.370685
Cell_7	0.997421	4.29189e-06	1.6969e-05	3.02999e-19	0.00177321	0.000784672
Cell_8	3.32552e-25	0.000129531	0.000385482	1.55154e-16	0.0545399	0.944945
Cell_9	7.68311e-28	0.00217023	0.0168022	1.34669e-17	0.915295	0.0657328
Cell_10	4.79733e-06	0.000923441	0.00214825	2.40421e-17	0.389975	0.606948
Cell_11	0.997037	0.00142784	1.69336e-05	5.21809e-11	0.00142873	8.91392e-05
Cell_12	0.998131	4.72043e-06	1.68621e-05	5.50202e-35	0.00176504	8.19783e-05
Cell_13	1.29202e-12	0.0101346	0.00129215	1.86923e-11	0.26812	0.720454
Cell_14	0.000266275	0.0210534	0.00399436	1.46775e-09	0.284178	0.690508
Cell_15	0.000123773	0.00337944	0.00112802	9.58884e-13	0.434891	0.560478
Cell_16	4.21743e-45	0.0664044	0.0070582	2.18243e-21	0.896322	0.0302157
Cell_17	5.31439e-21	0.0513823	0.0016405	1.68639e-07	0.693555	0.253423
Cell_18	3.47021e-16	0.00878585	0.00039431	0.000552351	0.118591	0.871677
Cell_19	2.64522e-16	0.000636754	0.00129116	2.84236e-15	0.251079	0.746993
Cell_20	1.42361e-48	0.0023757	0.00168664	4.35681e-16	0.755072	0.240866
Cell_21	2.11889e-10	0.00213403	0.00279649	1.08883e-21	0.881685	0.113385
Cell_22	8.49421e-05	0.00185082	0.00471832	6.1185e-14	0.758668	0.234678
Cell_23	3.02237e-13	0.000476718	0.00123991	1.65381e-14	0.0613476	0.936936
Cell_24	9.88473e-23	0.000175811	0.000842647	0.00816906	0.0668715	0.923941
Cell_25	9.8229e-30	0.00711743	0.00285606	1.82588e-11	0.48639	0.503636
Cell_26	2.13476e-33	0.0273048	0.00164122	5.00457e-11	0.368559	0.602495
Cell_27	3.19213e-34	0.00154559	0.00294568	6.74595e-09	0.649427	0.346082
Cell_28	3.32362e-25	0.995382	3.99679e-05	7.17368e-09	0.00300183	0.00157638
Cell_29	5.30354e-31	0.00167032	0.000878884	8.14404e-13	0.578335	0.419116
Cell_30	2.9385e-40	0.000411046	0.00133195	8.8228e-10	0.173635	0.824622
Cell_31	4.58627e-25	0.00146469	0.00468834	8.09217e-18	0.577543	0.416304
Cell_32	8.05551e-23	0.00153597	0.00289722	8.76122e-14	0.488178	0.507389
Cell_33	6.63162e-41	0.000756141	0.00119486	1.61102e-13	0.210346	0.787703
Cell_34	2.32673e-41	0.00836757	0.00288357	2.66125e-13	0.571822	0.416927
Cell_35	2.92377e-49	0.00101411	0.000111316	1.8795e-16	0.0452337	0.953641
Cell_36	3.19314e-26	0.00980708	0.000924523	9.07211e-27	0.437437	0.551831
Cell_37	2.06313e-15	0.00214484	0.00077292	1.22845e-07	0.543635	0.453447
Cell_38	7.69886e-33	0.0151037	0.000943202	0.302342	0.673687	0.00792438
Cell_39	2.00297e-32	0.00085882	0.000763189	6.02414e-19	0.361292	0.637086
Cell_40	3.25951e-24	0.000615606	0.000260355	2.719e-16	0.0996567	0.899467
Cell_41	6.04936e-33	0.00122903	0.0017503	6.02289e-12	0.425541	0.57148
Cell_42	8.76513e-55	0.00204248	0.0104699	7.421e-20	0.748067	0.239421
Cell_43	1.10705e-24	0.0172883	0.00164833	7.70075e-08	0.457378	0.523686
Cell_44	2.61671e-38	0.0112819	0.00423719	1.28807e-25	0.50322	0.481261
Cell_45	2.55615e-07	0.000720132	0.00145028	8.01662e-13	0.249339	0.74849
Cell_46	6.98933e-19	0.996617	1.6439e-05	3.88577e-12	0.00297256	0.000393924
Cell_47	1.59426e-18	0.00322704	0.00136511	1.38197e-19	0.415279	0.580129
Cell_48	3.013e-60	0.0140262	0.00128438	8.90412e-09	0.95852	0.0261691
Cell_49	1.21211e-40	0.00064177	0.00167393	1.67705e-11	0.265688	0.731996
Cell_50	4.23164e-48	0.00112829	0.00045265	0.668566	0.182653	0.147201
Cell_51	1.87119e-36	0.00121491	0.00162268	2.59236e-14	0.486574	0.510588
Cell_52	2.56036e-40	0.00072612	0.00139986	8.93246e-18	0.306485	0.691389
Cell_53	6.26619e-38	0.176439	0.00298019	9.89982e-14	0.759956	0.0606243
Cell_54	3.67621e-32	0.0405024	0.00536575	0.364383	0.546699	0.0430498
Cell_55	2.56211e-17	0.00576281	0.00158334	3.05935e-12	0.741601	0.251053
Cell_56	1.88415e-19	0.653197	0.00103164	0.00864607	0.24629	0.0908358
Cell_57	3.81576e-41	0.000956003	0.0015935	1.58697e-15	0.39649	0.600961
Cell_58	1.32406e-18	0.00409189	0.00364392	2.71691e-31	0.922573	0.0696913
Cell_59	1.08334e-20	0.00101652	0.00168484	7.53969e-15	0.338769	0.65853
Cell_60	6.91594e-22	0.00378905	0.00118227	1.30863e-11	0.613386	0.381643
Cell_61	4.44757e-19	0.0358877	0.00358831	2.16803e-05	0.949442	0.0110599
Cell_62	2.68553e-37	0.00720239	0.000564549	2.12013e-05	0.321257	0.670955
Cell_63	2.90265e-19	0.00226059	0.00332967	1.75592e-14	0.807318	0.187092
Cell_64	6.89831e-28	0.00161338	0.00277691	1.36545e-11	0.483332	0.512278
Cell_65	1.63699e-21	0.0182015	0.00103833	1.34314e-11	0.481537	0.499224
Cell_66	4.98728e-29	0.00210448	0.000950116	1.24842e-14	0.340682	0.656263
Cell_67	1.42125e-44	0.00214693	0.000273469	1.26287e-14	0.146716	0.850863
Cell_68	1.82045e-18	0.000532029	0.000962195	6.0753e-23	0.202363	0.796143
Cell_69	1.65792e-44	0.00101403	0.00234604	7.14313e-14	0.416901	0.579739
Cell_70	8.1073e-39	0.00282963	0.00805768	1.70629e-15	0.899345	0.0897675
Cell_71	2.6985e-18	0.00349592	0.00291262	4.48049e-12	0.788203	0.205388
Cell_72	4.44722e-13	0.000516433	0.000154571	5.2751e-22	0.143664	0.855665
Cell_73	2.56134e-19	0.0158493	0.000434675	0.557479	0.17601	0.250228
Cell_74	5.66439e-30	0.0352903	0.00814297	1.55727e-34	0.933637	0.0229298
Cell_75	4.85926e-07	0.00225274	0.00295825	3.75847e-11	0.912538	0.0822502
Cell_76	1.44043e-40	0.00196615	0.00278638	2.79451e-19	0.702164	0.293084
Cell_77	1.63946e-40	0.00124876	0.00148596	3.24153e-10	0.50013	0.497135
Cell_78	1.45382e-27	0.00279507	0.00329774	4.18067e-09	0.543996	0.449911
Cell_79	1.215e-16	0.0124795	0.00353529	9.46033e-13	0.556639	0.427346
Cell_80	9.01507e-11	0.00180922	0.000816201	1.02667e-08	0.458567	0.538807
Cell_81	1.55489e-14	0.00215785	0.00600247	2.23936e-13	0.91118	0.0806599
Cell_82	1.34049e-38	0.00157768	0.00287659	9.06409e-13	0.56343	0.432115
Cell_83	2.13944e-29	0.00132828	0.00100479	1.08497e-08	0.369507	0.62816
Cell_84	3.67635e-30	0.000804172	0.00183478	3.12649e-15	0.3393	0.658061
Cell_85	3.73095e-15	0.969633	0.000140181	4.1129e-10	0.0214259	0.0088009
Cell_86	2.0333e-45	0.00576255	0.00235719	1.37001e-13	0.558241	0.43364
Cell_87	1.64273e-08	0.00569297	0.00451065	2.86165e-11	0.9216	0.0681959
Cell_88	2.56127e-05	0.0127651	0.00265185	4.15417e-09	0.337713	0.646844
Cell_89	6.20627e-32	0.00105069	0.00205346	1.47363e-16	0.44357	0.553326
Cell_90	1.17435e-18	0.000276734	0.000685945	1.36437e-15	0.05386	0.945177
Cell_91	7.1276e-29	0.0178627	0.00363999	2.10413e-13	0.79675	0.181747
Cell_92	2.80689e-07	0.00798153	0.00307388	8.58706e-12	0.35601	0.632934
Cell_93	1.00065e-26	0.00105263	7.71351e-05	1.20453e-12	0.0278482	0.971022
Cell_94	2.85858e-29	0.0244808	0.00207364	3.42459e-12	0.33044	0.643005
Cell_95	6.74697e-52	0.000540213	0.00122524	4.61894e-14	0.225707	0.772528
Cell_96	0.997884	4.54811e-06	1.68639e-05	4.08428e-18	0.00191032	0.000184749
Cell_97	4.07227e-11	0.000503432	0.00299712	4.64074e-22	0.208417	0.788082
Cell_98	2.88811e-32	0.000723165	0.0011595	6.07696e-11	0.300403	0.697715
Cell_99	1.6512e-32	0.00162459	0.00144898	1.77146e-14	0.516344	0.480583
Cell_100	4.87427e-08	0.000784687	6.26163e-05	7.48942e-13	0.0536238	0.945529
Cell_101	2.87148e-24	0.00276759	0.0010326	7.20144e-18	0.448029	0.548171
Cell_102	5.75317e-19	8.10697e-05	7.95337e-05	6.00643e-16	0.0308357	0.969004
Cell_103	1.11092e-29	0.00170162	0.00163793	5.54548e-15	0.607696	0.388965
Cell_104	1.81684e-24	0.0106389	0.00952875	2.53905e-17	0.727041	0.252791
Cell_105	1.72159e-14	0.000610867	0.000637501	0.000744845	0.25738	0.740627
Cell_106	2.73635e-27	0.00148619	0.00291643	4.39088e-22	0.565286	0.430311
Cell_107	1.02248e-23	0.00319407	0.000808452	9.26243e-15	0.411037	0.584961
Cell_108	0.99477	3.56825e-06	1.6995e-05	7.35559e-15	0.00139304	0.00381614
Cell_109	2.59797e-19	0.00231908	0.0036457	1.99643e-23	0.522868	0.471168
Cell_110	2.20346e-27	0.00453002	0.000418483	3.75069e-15	0.309572	0.685479
Cell_111	1.24856e-30	0.00340374	0.00160695	0.0576084	0.438019	0.499362
Cell_112	2.7666e-46	0.00353031	0.00167614	1.63882e-17	0.454306	0.540487
Cell_113	2.92217e-55	0.00171488	8.56652e-05	4.95678e-18	0.0453688	0.952831
Cell_114	1.18485e-50	0.000315219	0.00130413	6.35157e-13	0.132572	0.865808
Cell_115	1.12184e-30	0.000557932	0.0014369	3.21676e-16	0.23364	0.764365
Cell_116	8.49264e-28	0.011988	0.000853665	2.18524e-10	0.534714	0.452445
Cell_117	0.997762	5.99159e-06	1.68569e-05	7.10844e-19	0.00190431	0.000310935
Cell_118	7.23012e-18	0.000545043	0.000167856	2.33336e-14	0.0882336	0.911053
Cell_119	2.64834e-19	0.0402263	0.00249892	2.47101e-22	0.542971	0.414304
Cell_120	1.28726e-27	0.000414174	0.000662192	2.20514e-05	0.159787	0.839115
Cell_121	1.67967e-26	0.00035498	0.000973183	8.79404e-14	0.145509	0.853163
Cell_122	1.90344e-43	0.0484392	0.00221591	8.47352e-21	0.653828	0.295517
Cell_123	1.55536e-12	0.00968459	0.00777018	5.30532e-13	0.938184	0.0443612
Cell_124	1.42883e-31	0.000631972	0.00100051	1.09106e-15	0.122999	0.875369
Cell_125	3.3933e-28	0.000882111	0.00133808	7.91307e-13	0.365187	0.632592
Cell_126	2.15121e-24	0.00185665	0.00200289	4.37992e-14	0.590101	0.406039
Cell_127	6.62823e-26	0.000189832	0.00107896	1.71373e-14	0.0797903	0.918941
Cell_128	7.00982e-23	0.00144837	0.0038388	1.11325e-09	0.517252	0.477461
Cell_129	1.55224e-26	0.0013924	0.00151627	0.000805852	0.553684	0.442602
Cell_130	2.00334e-19	0.0026597	0.00220037	3.50558e-09	0.994503	0.000637026
Cell_131	1.12474e-49	0.0421512	0.00159592	2.91321e-18	0.568954	0.387299
Cell_132	5.75554e-09	0.000759647	0.00240414	1.41394e-06	0.263021	0.733814
Cell_133	4.73142e-30	0.00134747	0.00241209	6.22367e-15	0.565499	0.430741
Cell_134	2.37012e-28	0.00369977	0.00254753	3.3771e-15	0.598934	0.394819
Cell_135	0.995646	3.75438e-06	1.68433e-05	5.45615e-21	0.00134079	0.00299295
Cell_136	4.74373e-13	0.000861707	0.00203512	2.65961e-15	0.239713	0.75739
Cell_137	9.53935e-36	0.00169849	0.000846479	1.49547e-13	0.539831	0.457624
Cell_138	2.94493e-38	0.00111612	0.00176591	8.71158e-14	0.464888	0.53223
Cell_139	1.33236e-11	0.0014459	0.00162882	4.5255e-13	0.402226	0.5947
Cell_140	0.996183	1.26226e-05	2.04882e-05	4.43028e-14	0.00284594	0.000937981
Cell_141	5.90609e-37	0.0548222	0.00139721	1.03701e-23	0.739987	0.203794
Cell_142	7.18106e-22	0.000652513	0.00112189	4.43432e-12	0.264319	0.733907
Cell_143	3.66091e-32	0.000670738	0.000990035	5.03613e-11	0.282303	0.716037
Cell_144	3.18351e-30	0.00599262	0.00279123	4.85311e-11	0.409523	0.581693
Cell_145	4.03007e-34	0.000694792	0.000311821	3.89782e-09	0.112476	0.886518
Cell_146	5.8751e-35	0.00308808	0.00564361	1.38474e-11	0.981488	0.00978039
Cell_147	5.53874e-34	0.000705477	0.000696068	3.23399e-12	0.28707	0.711529
Cell_148	1.05352e-08	0.0016278	0.00796573	1.54554e-10	0.659385	0.331021
Cell_149	0.000131107	0.00731983	0.000427213	2.7526e-13	0.193653	0.798469
Cell_150	3.19525e-23	0.00052971	0.00059142	5.85168e-18	0.194008	0.80487
Cell_151	1.12962e-28	0.000829511	0.000125275	1.70505e-38	0.056687	0.942358
Cell_152	2.55821e-21	8.63478e-05	0.000164548	6.0602e-17	0.0322868	0.967462
Cell_153	3.75033e-35	0.00276723	0.00448236	2.68305e-14	0.769801	0.222949
Cell_154	4.15867e-33	0.000980743	0.000837071	1.48923e-12	0.359201	0.638981
Cell_155	4.36951e-13	0.0057145	0.000838329	2.65785e-13	0.553586	0.439861
Cell_156	1.2156e-07	0.0208176	0.0030175	1.06246e-09	0.280995	0.69517
Cell_157	7.47559e-27	0.00111157	0.000709114	3.28917e-13	0.353292	0.644887
Cell_158	3.96834e-06	0.000587606	0.00186497	3.31895e-17	0.245281	0.752262
Cell_159	8.4382e-32	0.0128263	0.00291395	1.59822e-36	0.339331	0.644929
