cell	Node 0	Node 1	Node 2	Node 3
Cell_105	8.76308e-15	0.325943	0.00127577	0.672782
Cell_106	3.97595e-19	0.665628	0.00295027	0.331421
Cell_107	3.07344e-18	0.446602	0.00663363	0.546765
Cell_108	0.985262	0.00562918	2.41789e-05	0.00908509
Cell_109	2.74387e-18	0.667936	0.00540573	0.326658
Cell_110	1.69413e-18	0.312171	0.00897878	0.67885
Cell_111	4.10554e-21	0.559908	0.00831663	0.431775
Cell_112	6.85189e-23	0.528658	0.00785245	0.46349
Cell_113	1.59485e-43	0.0582999	0.00441309	0.937287
Cell_114	3.70955e-33	0.236971	0.000929594	0.762099
Cell_115	8.10353e-23	0.281723	0.00111102	0.717166
Cell_116	1.42218e-17	0.614714	0.0273812	0.357904
Cell_117	0.992737	0.00653695	3.58268e-05	0.00069025
Cell_118	4.46059e-15	0.174773	0.00203153	0.823196
Cell_119	3.68876e-13	0.650001	0.0964373	0.253562
Cell_120	8.04199e-18	0.217598	0.000948123	0.781454
Cell_121	6.91024e-15	0.182763	0.00073986	0.816497
Cell_122	5.88988e-40	0.704103	0.104464	0.191433
Cell_123	5.11012e-13	0.954583	0.0191163	0.026301
Cell_124	1.67127e-17	0.182566	0.00173757	0.815696
Cell_125	2.13465e-17	0.434017	0.00173581	0.564247
Cell_126	8.53973e-13	0.661016	0.00362281	0.335361
Cell_127	1.08734e-10	0.12826	0.000503511	0.871236
Cell_128	3.26944e-18	0.594948	0.00284324	0.402209
Cell_129	2.45843e-22	0.626628	0.00263226	0.370739
Cell_130	2.4619e-14	0.99506	0.00450181	0.000438468
Cell_131	2.9066e-27	0.62758	0.0931108	0.27931
Cell_132	0.980981	0.00692661	3.4338e-05	0.0120577
Cell_133	1.67545e-16	0.651019	0.00256053	0.34642
Cell_134	2.55266e-13	0.674076	0.00783534	0.318089
Cell_135	0.985992	0.0055788	2.66609e-05	0.0084027
Cell_136	9.632e-09	0.301109	0.00192394	0.696967
Cell_137	2.46518e-28	0.600803	0.0032928	0.395904
Cell_138	1.05626e-20	0.558762	0.00221811	0.43902
Cell_139	2.13019e-12	0.473205	0.00302355	0.523771
Cell_140	0.984952	0.0121807	9.85809e-05	0.00276912
Cell_141	5.772e-13	0.716687	0.106331	0.176981
Cell_142	3.44248e-13	0.351914	0.00144536	0.646641
Cell_143	1.15048e-21	0.345023	0.00135223	0.653625
Cell_144	3.45643e-13	0.452188	0.013006	0.534806
Cell_145	3.45654e-11	0.137496	0.00159823	0.860906
Cell_146	2.75629e-11	0.98863	0.00541835	0.005952
Cell_147	9.62921e-18	0.34759	0.00141975	0.65099
Cell_148	0.993035	0.00506018	2.07829e-05	0.00188389
Cell_149	0.0418214	0.227655	0.0172326	0.713291
Cell_150	2.73534e-19	0.284333	0.00131861	0.714348
Cell_151	1.17283e-21	0.0651687	0.00187441	0.932957
Cell_152	1.7765e-16	0.049154	0.000222381	0.950624
Cell_153	2.5211e-19	0.845126	0.00539994	0.149474
Cell_154	6.17153e-14	0.407605	0.00189029	0.590504
Cell_155	5.22211e-06	0.620337	0.0124228	0.367235
Cell_156	0.000304768	0.323634	0.0480159	0.628045
Cell_157	1.32993e-22	0.416032	0.00228013	0.581688
Cell_158	0.974917	0.00710898	2.81456e-05	0.0179457
Cell_159	9.9574e-17	0.400918	0.030348	0.568734
Cell_160	4.30639e-10	0.586702	0.087046	0.326252
Cell_161	2.54213e-11	0.470137	0.0355876	0.494276
Cell_162	1.00247e-17	0.247183	0.00118128	0.751636
Cell_163	2.75305e-10	0.838483	0.124401	0.0371152
Cell_164	1.29299e-15	0.795253	0.00394239	0.200805
Cell_165	9.40051e-17	0.196773	0.000773519	0.802453
Cell_166	2.30556e-12	0.0107453	0.985429	0.0038262
Cell_167	1.43217e-10	0.484865	0.00284578	0.512289
Cell_168	1.28484e-06	0.861274	0.0651953	0.0735297
Cell_169	3.69943e-12	0.389737	0.00163716	0.608626
Cell_170	1.33343e-26	0.396244	0.00377124	0.599985
Cell_171	1.72832e-35	0.0300132	0.00445291	0.965534
Cell_172	8.81536e-20	0.668922	0.00366614	0.327412
Cell_173	3.13437e-13	0.276075	0.00107833	0.722847
Cell_174	2.73336e-11	0.443988	0.0658722	0.49014
Cell_175	2.37366e-19	0.427677	0.00193488	0.570388
Cell_176	7.15646e-20	0.598438	0.00327983	0.398283
Cell_177	1.49891e-09	0.207841	0.00925785	0.782901
Cell_178	1.49669e-19	0.253898	0.00117746	0.744924
Cell_179	8.90915e-24	0.233904	0.00137283	0.764724
Cell_180	3.9451e-24	0.622984	0.00365643	0.373359
Cell_181	1.005e-16	0.981506	0.00416531	0.0143282
Cell_182	1.59695e-20	0.454912	0.00179719	0.543291
Cell_183	6.6425e-11	0.0725526	0.000285358	0.927162
Cell_184	1.31312e-20	0.116675	0.000455347	0.88287
Cell_185	1.3733e-13	0.65688	0.0292594	0.31386
Cell_186	3.14417e-13	0.0756329	0.000295387	0.924072
Cell_187	2.25159e-23	0.167504	0.000654597	0.831842
Cell_188	1.93285e-17	0.965145	0.00528964	0.0295651
Cell_189	1.49032e-16	0.553597	0.00256733	0.443836
Cell_190	2.2352e-18	0.932888	0.0059607	0.0611513
Cell_191	2.73431e-22	0.0859175	0.00061003	0.913472
Cell_192	1.86713e-06	0.831645	0.00326239	0.165091
Cell_193	8.33399e-17	0.509391	0.0027918	0.487817
Cell_194	3.46765e-20	0.600123	0.00261487	0.397262
Cell_195	0.981006	0.0187139	7.57572e-05	0.000203972
Cell_196	9.67294e-17	0.19415	0.00558422	0.800265
Cell_197	2.25512e-11	0.679853	0.0136146	0.306532
Cell_198	2.40928e-07	0.00148059	0.995066	0.00345337
Cell_199	1.41932e-16	2.16856e-06	0.999998	1.64436e-07
Cell_200	4.62595e-23	0.863475	0.00351009	0.133015
Cell_201	0.994327	0.00547453	2.83874e-05	0.000169911
Cell_202	2.83884e-15	0.658013	0.0293098	0.312677
Cell_203	0.993125	0.0059369	3.79339e-05	0.00090063
Cell_204	1.95235e-13	0.328634	0.00381999	0.667546
