cell	Node 0	Node 1	Node 2	Node 3
Cell_0	2.84642e-24	0.861132	0.126515	0.0123537
Cell_1	2.07948e-18	0.8442	0.124027	0.0317727
Cell_2	7.07724e-36	0.997988	5.68039e-14	0.00201157
Cell_3	1.89551e-19	0.225737	0.769257	0.00500605
Cell_4	4.53241e-23	0.997935	6.88852e-10	0.00206455
Cell_5	3.35378e-10	0.258279	0.738016	0.00370524
Cell_6	1.51834e-23	0.995226	2.91661e-09	0.00477351
Cell_7	4.55621e-16	0.228549	0.770979	0.000471549
Cell_8	4.1456e-24	0.997987	1.17026e-08	0.00201348
Cell_9	2.78015e-24	0.99799	5.28301e-11	0.00200957
Cell_10	5.26134e-19	0.351106	0.648189	0.000705886
Cell_11	6.99931e-21	0.185325	0.628474	0.186201
Cell_12	9.98919e-05	0.226558	0.772817	0.000525315
Cell_13	1.88213e-16	0.847757	0.120337	0.0319066
Cell_14	1.56419e-19	0.224438	0.759006	0.0165562
Cell_15	5.70122e-16	0.992587	2.36762e-05	0.00738904
Cell_16	1.13813e-09	0.931292	8.48138e-06	0.0686991
Cell_17	1.41443e-19	0.9313	1.22686e-08	0.0686997
Cell_18	2.30837e-19	0.819213	0.120356	0.0604313
Cell_19	1.22252e-19	0.997753	7.18699e-05	0.00217466
Cell_20	3.12617e-25	0.997214	9.49928e-13	0.00278552
Cell_21	1.27222e-08	0.870337	0.127867	0.0017957
Cell_22	7.83088e-18	0.227056	0.772471	0.000472843
Cell_23	2.16362e-14	0.86628	0.127271	0.00644878
Cell_24	2.02468e-34	0.997732	8.06994e-08	0.00226795
Cell_25	2.49046e-21	0.985854	3.3266e-06	0.014143
Cell_26	7.26219e-22	0.931298	2.02011e-06	0.0686996
Cell_27	1.33577e-33	0.997982	8.98219e-13	0.00201844
Cell_28	8.41665e-23	0.00298831	0.000439034	0.996573
Cell_29	1.02052e-23	0.997473	1.62088e-07	0.00252726
Cell_30	5.50216e-34	0.997994	1.57991e-10	0.00200579
Cell_31	2.93071e-25	0.997825	2.37086e-10	0.00217482
Cell_32	1.02274e-19	0.869784	0.127786	0.00242957
Cell_33	2.05799e-26	0.996766	4.08732e-10	0.00323379
Cell_34	5.48847e-33	0.985857	2.85696e-16	0.014143
Cell_35	3.87439e-26	0.978305	9.01988e-12	0.0216953
Cell_36	6.74374e-16	0.978305	4.96791e-12	0.0216953
Cell_37	8.89242e-22	0.869177	0.127697	0.00312637
Cell_38	9.31755e-39	0.978304	2.2049e-07	0.0216953
Cell_39	5.82955e-21	0.997984	1.19782e-10	0.00201558
Cell_40	4.75752e-23	0.994192	1.70949e-09	0.00580767
Cell_41	2.80502e-31	0.997473	4.32412e-12	0.00252726
Cell_42	7.98492e-23	0.997631	1.01558e-11	0.00236931
Cell_43	5.46495e-32	0.963729	5.99165e-11	0.0362714
Cell_44	1.14441e-12	0.978304	5.65954e-07	0.0216953
Cell_45	2.64084e-13	0.351041	0.64807	0.000889419
Cell_46	9.7661e-24	0.00295762	5.66565e-13	0.997042
Cell_47	3.50337e-17	0.992611	5.19991e-08	0.00738922
Cell_48	1.42008e-19	0.226734	0.770013	0.0032527
Cell_49	6.24582e-35	0.997946	7.94657e-15	0.00205407
Cell_50	9.8301e-38	0.994192	1.59804e-11	0.00580767
Cell_51	2.0884e-21	0.99786	4.64614e-06	0.00213554
Cell_52	2.45686e-21	0.997992	1.44457e-07	0.00200767
Cell_53	1.7073e-29	0.810946	4.51485e-16	0.189054
Cell_54	7.32432e-54	0.9313	2.01357e-12	0.0686997
Cell_55	1.56342e-26	0.992611	6.22106e-10	0.00738922
Cell_56	1.72948e-23	0.201913	0.259592	0.538494
Cell_57	3.04156e-31	0.99795	4.12171e-18	0.00204972
Cell_58	1.73789e-05	0.86879	0.12764	0.00355305
Cell_59	2.42609e-17	0.869895	0.127802	0.00230242
Cell_60	7.20389e-22	0.994192	8.69165e-08	0.00580767
Cell_61	2.79798e-27	0.963724	5.28211e-06	0.0362712
Cell_62	1.49008e-33	0.978305	2.96553e-11	0.0216953
Cell_63	5.67435e-15	0.22692	0.772525	0.000554847
Cell_64	8.75517e-19	0.983657	0.0134059	0.00293731
Cell_65	5.64243e-19	0.8442	0.124027	0.0317727
Cell_66	1.10868e-17	0.968928	0.0254119	0.00566009
Cell_67	1.55034e-05	0.861118	0.126513	0.0123535
Cell_68	9.49399e-14	0.997732	3.98388e-08	0.00226795
Cell_69	5.12011e-40	0.997929	2.7001e-26	0.00207091
Cell_70	2.86683e-23	0.997214	3.05187e-08	0.00278552
Cell_71	1.597e-19	0.995922	4.58467e-06	0.00407298
Cell_72	5.91939e-12	0.994569	0.00220443	0.00322666
Cell_73	3.52273e-35	0.917265	4.75654e-06	0.0827303
Cell_74	2.85045e-10	0.963727	2.09045e-06	0.0362713
Cell_75	2.10307e-13	0.275321	0.724098	0.00058141
Cell_76	1.14905e-20	0.997561	4.59739e-13	0.00243916
Cell_77	8.08444e-29	0.997864	1.82216e-12	0.00213555
Cell_78	1.24126e-17	0.995213	1.34304e-05	0.00477345
Cell_79	4.40751e-22	0.978298	7.00042e-06	0.0216951
Cell_80	1.1395e-13	0.994827	0.00159504	0.00357832
Cell_81	3.12967e-19	0.996162	0.00183463	0.002003
Cell_82	2.14022e-32	0.997561	5.29879e-15	0.00243916
Cell_83	4.84609e-35	0.996766	5.22976e-13	0.00323379
Cell_84	1.18234e-15	0.870375	0.127873	0.00175174
Cell_85	2.65613e-19	0.0214341	0.00314904	0.975417
Cell_86	2.33994e-22	0.990088	2.41182e-10	0.00991153
Cell_87	2.17396e-18	0.99419	1.97408e-06	0.00580766
Cell_88	1.74279e-28	0.963729	1.11106e-07	0.0362714
Cell_89	1.5863e-23	0.997993	4.60882e-11	0.00200719
Cell_90	1.66778e-20	0.995217	9.06355e-06	0.00477347
Cell_91	1.46243e-19	0.978304	2.43006e-07	0.0216953
Cell_92	8.1619e-23	0.978232	7.45778e-05	0.0216937
Cell_93	3.50465e-19	0.963728	2.67664e-07	0.0362714
Cell_94	6.19495e-21	0.931298	2.95517e-06	0.0686995
Cell_95	9.15276e-26	0.997968	4.37407e-09	0.00203196
Cell_96	1.06288e-15	0.226623	0.772919	0.000458549
Cell_97	1.78399e-09	0.23686	0.762652	0.000487529
Cell_98	2.06527e-32	0.997954	7.5588e-18	0.00204587
Cell_99	8.86292e-26	0.997214	3.63773e-12	0.00278552
Cell_100	3.58987e-19	0.226684	0.770064	0.00325198
Cell_101	2.09213e-16	0.867484	0.127448	0.0050675
Cell_102	8.09102e-24	0.997732	5.73632e-09	0.00226795
Cell_103	6.82032e-29	0.997561	4.33073e-13	0.00243916
Cell_104	5.18428e-23	0.985857	1.3674e-07	0.014143
Cell_105	2.62649e-06	0.60951	0.389258	0.00122875
Cell_106	5.09925e-19	0.997732	1.63154e-09	0.00226795
Cell_107	6.10868e-13	0.86628	0.127271	0.00644878
Cell_108	1.93453e-17	0.229717	0.769776	0.000506551
Cell_109	6.47038e-10	0.977322	0.0186806	0.00399692
Cell_110	1.40863e-23	0.985857	1.80418e-10	0.014143
Cell_111	3.04715e-38	0.992611	7.53499e-11	0.00738922
Cell_112	6.98431e-37	0.992611	8.99612e-25	0.00738922
Cell_113	5.36991e-24	0.963729	7.40722e-13	0.0362714
Cell_114	1.32755e-27	0.997984	2.40645e-09	0.00201621
Cell_115	3.10725e-26	0.997973	3.61345e-09	0.00202651
Cell_116	2.79032e-26	0.978305	1.13777e-12	0.0216953
Cell_117	2.15037e-14	0.226562	0.772805	0.000632857
Cell_118	6.69436e-17	0.993832	0.000362822	0.00580556
Cell_119	3.5081e-12	0.9313	1.15706e-07	0.0686997
Cell_120	2.46524e-31	0.997769	4.2031e-11	0.00223085
Cell_121	5.96378e-16	0.927473	0.0705958	0.00193146
Cell_122	2.3584e-09	0.931197	0.000110516	0.0686921
Cell_123	2.41275e-11	0.672007	0.321266	0.0067273
Cell_124	9.67873e-24	0.995226	4.45876e-07	0.00477351
Cell_125	6.53774e-30	0.997946	3.34414e-12	0.00205407
