cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	1.24688e-11	0.580901	0.408846	0.0102526	1.98873e-13
Cell_1	3.31806e-21	0.853583	0.137379	0.00903807	4.44167e-23
Cell_2	7.90286e-24	0.235608	0.761708	0.00268377	5.93713e-26
Cell_3	0.984409	0.00753692	0.00207605	8.04778e-05	0.0058978
Cell_4	8.20605e-14	0.330775	0.666813	0.00241143	2.43571e-15
Cell_5	0.966321	0.00552823	0.0224473	0.00056291	0.00514091
Cell_6	1.63673e-15	0.695463	0.302005	0.00253207	2.91857e-17
Cell_7	0.985374	0.00659756	0.00175353	6.32421e-06	0.00626892
Cell_8	6.43463e-06	0.0766925	0.920056	0.00324477	5.13014e-08
Cell_9	9.08606e-16	0.959048	0.0408086	0.00014364	3.30489e-18
Cell_10	0.95731	0.0159479	0.0130043	4.57015e-05	0.0136918
Cell_11	0.988222	0.00575522	0.000206949	0.000363462	0.00545189
Cell_12	0.982733	0.00875387	0.00019351	7.84314e-07	0.00831876
Cell_13	2.87948e-08	0.346611	0.613056	0.0403326	4.08476e-10
Cell_14	0.977276	0.00696245	0.0084885	0.00109457	0.00617873
Cell_15	0.637705	0.196747	0.147443	0.00191862	0.0161865
Cell_16	4.44223e-33	0.981076	0.0167622	0.00216143	3.91469e-35
Cell_17	5.22932e-06	0.77561	0.198755	0.0256289	1.14573e-07
Cell_18	1.68701e-09	0.197846	0.710532	0.0916212	4.14074e-11
Cell_19	8.09287e-13	0.371212	0.626402	0.00238654	1.20462e-14
Cell_20	2.19873e-25	0.834254	0.16494	0.000805363	5.49558e-27
Cell_21	6.95076e-10	0.917461	0.082242	0.000296611	1.10659e-11
Cell_22	0.977328	0.010755	0.00204425	7.4416e-06	0.00986509
Cell_23	4.2887e-13	0.142549	0.846436	0.0110144	2.16904e-15
Cell_24	3.35407e-17	0.0974553	0.898973	0.00357201	1.54073e-19
Cell_25	4.34676e-16	0.560159	0.429081	0.01076	3.85337e-18
Cell_26	4.98491e-10	0.495078	0.44725	0.0576717	7.66317e-12
Cell_27	4.59316e-19	0.708422	0.290551	0.00102722	5.29403e-21
Cell_28	1.71889e-15	0.00497353	0.00170397	0.993323	8.36826e-18
Cell_29	5.9315e-25	0.6664	0.332129	0.00147096	2.79574e-26
Cell_30	1.86242e-25	0.26238	0.735038	0.00258235	1.68652e-27
Cell_31	4.20847e-16	0.699376	0.299483	0.00114101	3.2612e-18
Cell_32	1.46216e-22	0.549194	0.448615	0.00219048	1.23462e-24
Cell_33	2.24155e-27	0.276998	0.718925	0.00407708	2.2914e-29
Cell_34	1.78411e-26	0.688659	0.303725	0.00761648	2.16624e-28
Cell_35	1.14742e-38	0.0641579	0.900918	0.034924	2.78093e-40
Cell_36	1.62367e-15	0.511146	0.470611	0.0182432	3.92774e-17
Cell_37	7.4414e-16	0.615325	0.382271	0.00240353	2.38756e-17
Cell_38	1.52663e-26	0.992926	0.00681019	0.000263996	5.45806e-28
Cell_39	4.36947e-23	0.390866	0.606991	0.00214292	9.65562e-25
Cell_40	5.06176e-16	0.130448	0.860762	0.00878945	1.07305e-17
Cell_41	3.49229e-22	0.513679	0.484176	0.00214436	4.62668e-24
Cell_42	3.92032e-35	0.83659	0.162734	0.000675581	1.93526e-37
Cell_43	2.06326e-16	0.527788	0.443063	0.0291488	2.81117e-18
Cell_44	1.71383e-19	0.589257	0.395414	0.0153282	1.07762e-21
Cell_45	5.09712e-08	0.371129	0.626098	0.00277292	6.16747e-10
Cell_46	9.21e-09	0.0204347	0.00165951	0.977906	9.96533e-11
Cell_47	1.87082e-12	0.517226	0.476572	0.00620147	3.32831e-14
Cell_48	2.30978e-25	0.980816	0.0187145	0.000469303	7.69339e-27
Cell_49	3.59074e-27	0.389714	0.608098	0.0021879	4.00476e-29
Cell_50	1.1556e-12	0.629619	0.366637	0.00374382	2.29116e-14
Cell_51	9.16308e-32	0.552261	0.44607	0.00166874	1.54507e-33
Cell_52	2.88054e-24	0.448191	0.549876	0.00193365	4.54255e-26
Cell_53	2.80472e-23	0.931204	0.0488775	0.0199182	3.97312e-25
Cell_54	6.36377e-14	0.963836	0.032033	0.00413057	5.78047e-16
Cell_55	9.42828e-09	0.807175	0.190348	0.00247693	2.33068e-10
Cell_56	8.48234e-17	0.498117	0.0886422	0.413241	1.5273e-18
Cell_57	4.2876e-18	0.513824	0.484436	0.00173928	7.03442e-20
Cell_58	6.79833e-18	0.95306	0.0466069	0.000333184	9.05759e-20
Cell_59	4.61159e-11	0.467912	0.529638	0.00245043	5.86077e-13
Cell_60	7.32081e-12	0.706675	0.29036	0.00296494	2.03796e-13
Cell_61	1.46682e-14	0.993784	0.00583194	0.000383679	2.42394e-16
Cell_62	8.73948e-28	0.381427	0.595489	0.023084	2.7456e-29
Cell_63	1.18334e-14	0.881653	0.117843	0.000503676	1.84854e-16
Cell_64	1.01083e-26	0.610073	0.387902	0.00202477	1.25193e-28
Cell_65	1.50107e-13	0.610566	0.365395	0.0240391	4.19018e-15
Cell_66	4.31682e-24	0.485085	0.50971	0.00520477	1.09187e-25
Cell_67	1.97997e-17	0.171537	0.808196	0.0202671	4.37766e-19
Cell_68	2.90803e-06	0.290962	0.706229	0.00280615	3.80006e-08
Cell_69	1.19092e-14	0.502225	0.495976	0.00179915	1.34682e-16
Cell_70	6.52775e-25	0.92984	0.0698195	0.000340912	4.19402e-27
Cell_71	1.2062e-09	0.836825	0.162016	0.00115822	1.4181e-11
Cell_72	5.7052e-11	0.197855	0.797622	0.00452337	2.99591e-12
Cell_73	2.88619e-09	0.494093	0.437009	0.068898	6.57061e-11
Cell_74	1.47021e-16	0.9853	0.013793	0.000907436	9.70356e-19
Cell_75	0.958849	0.022034	0.00118185	4.36268e-06	0.0179307
Cell_76	1.11964e-29	0.76528	0.233722	0.000998955	1.41951e-31
Cell_77	1.92325e-16	0.589828	0.408644	0.00152873	3.95163e-18
Cell_78	1.28779e-18	0.676033	0.321274	0.00269363	1.42544e-20
Cell_79	0.00445453	0.664599	0.318557	0.0123488	4.02268e-05
Cell_80	1.28286e-08	0.574313	0.423027	0.00265979	4.4817e-10
Cell_81	1.1532e-13	0.948687	0.0511336	0.000179723	1.42074e-15
Cell_82	5.85777e-11	0.63898	0.359483	0.00153648	5.77115e-13
Cell_83	9.94895e-18	0.45722	0.539719	0.00306079	2.09624e-19
Cell_84	5.84385e-30	0.436685	0.56134	0.00197485	7.07448e-32
Cell_85	2.19115e-14	0.0389827	0.0119309	0.949086	1.65119e-16
Cell_86	2.75596e-21	0.614857	0.378519	0.00662371	3.16357e-23
Cell_87	0.000193979	0.959848	0.0395518	0.000403873	2.49471e-06
Cell_88	0.971562	0.00904344	0.0102251	0.0006727	0.008497
Cell_89	2.28483e-18	0.53337	0.464995	0.00163477	2.9786e-20
Cell_90	3.33359e-14	0.110709	0.881897	0.00739402	2.35136e-16
Cell_91	8.71883e-15	0.887948	0.107871	0.00418159	1.49627e-16
Cell_92	0.00131889	0.516463	0.464212	0.0179951	1.07298e-05
Cell_93	8.23693e-17	0.0316557	0.90857	0.0597743	1.49712e-18
Cell_94	2.87829e-21	0.451174	0.48614	0.0626864	3.56673e-23
Cell_95	1.68324e-38	0.335532	0.662111	0.00235655	2.41538e-40
Cell_96	0.985899	0.00700947	0.000432461	1.52959e-06	0.0066576
Cell_97	0.980069	0.00434234	0.0118147	4.25085e-05	0.00373135
Cell_98	9.55216e-16	0.37427	0.623495	0.00223433	1.42505e-17
Cell_99	1.10556e-21	0.583803	0.414175	0.00202232	2.06035e-23
Cell_100	9.35549e-09	0.0628519	0.914222	0.0229259	3.99755e-10
Cell_101	3.72926e-24	0.489048	0.505787	0.00516471	7.33233e-26
Cell_102	4.27415e-11	0.0352059	0.960976	0.00381838	7.80348e-13
Cell_103	5.44748e-18	0.695595	0.303109	0.00129553	1.22772e-19
Cell_104	4.3762e-13	0.806419	0.188846	0.00473567	1.97251e-15
Cell_105	8.53046e-15	0.327496	0.670142	0.00236154	1.7395e-16
Cell_106	3.45951e-19	0.684876	0.313877	0.00124717	4.43956e-21
Cell_107	3.0508e-18	0.471499	0.521712	0.00678886	7.54527e-20
Cell_108	0.978548	0.00633984	0.00905355	3.48976e-05	0.00602409
Cell_109	2.86053e-18	0.697238	0.300613	0.00214903	2.94603e-20
Cell_110	1.74894e-18	0.329482	0.654114	0.0164032	5.62902e-20
