cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_955	8.16763e-11	5.50296e-05	1.01849e-05	0.799402	0.0321499	4.41169e-12	0.129542	0.0388415
Cell_956	3.8305e-26	1.23983e-16	7.82944e-17	0.806203	2.37266e-05	5.48927e-23	0.0179344	0.175839
Cell_957	1.12679e-18	0.0082761	0.00211215	0.0250344	0.948362	1.94479e-06	0.00888642	0.0073272
Cell_958	6.8741e-22	1.49462e-10	2.3365e-11	0.940032	5.2664e-09	1.43756e-19	0.00228664	0.057681
Cell_959	6.46266e-27	1.22147e-11	2.4611e-12	0.462582	0.205337	1.61131e-25	0.089503	0.242578
Cell_960	1.15319e-22	0.000683607	0.00163178	0.00804149	0.974277	0.00503165	0.00114436	0.00919005
Cell_961	6.24791e-27	1.06415e-13	1.74005e-14	0.910939	6.57342e-08	1.53104e-12	0.00472792	0.0843327
Cell_962	1.36256e-38	1.18038e-16	5.52244e-16	0.973952	1.14433e-05	7.23653e-26	0.0166883	0.00934827
Cell_963	1.26687e-34	1.8229e-08	1.65335e-08	0.557185	0.00122492	5.09566e-07	0.0481351	0.393454
Cell_964	0.99965	0.000129662	1.66211e-05	0.000155349	3.29121e-07	3.95101e-18	1.71793e-05	3.05487e-05
Cell_965	1.98955e-09	0.000133177	8.41003e-05	0.350828	0.42025	1.318e-15	0.0476775	0.181027
Cell_966	4.26186e-33	3.76154e-16	4.65159e-17	0.484292	0.00242883	7.60523e-29	0.105604	0.407675
Cell_967	6.4108e-22	3.04166e-10	3.86875e-11	0.0979833	0.63474	8.97334e-19	0.0328317	0.234445
Cell_968	4.53274e-15	6.40744e-06	9e-06	0.00739529	0.955083	4.37985e-15	0.00113969	0.0363662
Cell_969	1.22816e-18	0.00278138	0.000622743	0.00285246	0.989744	5.8316e-13	0.00109442	0.00290487
Cell_970	2.38695e-11	4.43972e-07	4.02679e-07	0.0236562	0.964518	1.65493e-16	0.00927217	0.00255272
Cell_971	1.34268e-12	7.61247e-06	6.90444e-06	0.0360632	0.928829	4.4039e-18	0.0335755	0.0015178
Cell_972	3.11525e-22	9.80976e-12	1.39951e-12	0.0601228	0.889962	2.63948e-24	0.0386082	0.0113069
Cell_973	1.76966e-22	0.00211123	0.000330041	0.00212137	0.98842	1.4938e-15	0.000983575	0.00603411
Cell_974	1.4791e-23	7.70502e-08	4.86568e-08	0.00316633	0.993744	1.29574e-16	0.00150223	0.00158715
Cell_975	0.99966	0.000129651	1.70255e-05	0.000176303	7.73761e-10	8.2041e-11	1.53111e-05	1.40023e-06
