cell	Node 0	Node 1	Node 2	Node 3
Cell_0	4.86218e-12	0.00603488	0.98982	0.00414499
Cell_1	1.36922e-20	0.0565897	0.844223	0.0991874
Cell_2	2.96548e-43	2.53089e-22	1	3.10962e-23
Cell_3	0.997719	0.000764623	0.000717218	0.000799047
Cell_4	5.22799e-27	1.55532e-16	1	1.94881e-17
Cell_5	0.990786	0.000692974	0.00804541	0.000475961
Cell_6	2.48026e-23	1.27106e-10	1	3.17837e-11
Cell_7	0.992108	0.000686183	0.0071198	8.58028e-05
Cell_8	1.94957e-24	6.29825e-22	1	7.74395e-23
Cell_9	1.03346e-28	6.44974e-15	1	7.91863e-16
Cell_10	5.17772e-06	3.78284e-09	0.999995	4.63891e-10
Cell_11	0.961805	0.000666287	0.0068894	0.0306397
Cell_12	0.992152	0.00068618	0.00706785	9.38197e-05
Cell_13	2.26248e-12	4.73323e-07	0.999999	8.29614e-07
Cell_14	0.000156787	1.12309e-07	0.999843	3.85824e-07
Cell_15	0.000249642	1.03425e-06	0.999749	3.83878e-07
Cell_16	1.38949e-45	1.57475e-14	1	5.40988e-14
Cell_17	7.32132e-21	1.62796e-17	1	5.59268e-17
Cell_18	2.00099e-15	2.05735e-09	1	7.06779e-09
Cell_19	4.6677e-16	3.12413e-06	0.999996	4.07275e-07
Cell_20	1.90757e-48	5.66887e-26	1	8.98155e-27
Cell_21	1.71293e-10	0.00605541	0.993187	0.000757191
Cell_22	4.23487e-05	2.98224e-08	0.999958	3.75539e-09
Cell_23	5.54093e-13	0.0060464	0.991709	0.0022442
Cell_24	2.76809e-22	3.83674e-08	1	5.1659e-09
Cell_25	7.77293e-30	2.4302e-16	1	1.66916e-16
Cell_26	3.06558e-33	4.39964e-26	1	1.51144e-25
Cell_27	2.4491e-34	7.04821e-18	1	8.68212e-19
Cell_28	1.87762e-23	4.75215e-12	1	7.24867e-08
Cell_29	1.37486e-30	7.04793e-09	1	1.03295e-09
Cell_30	4.98598e-40	1.66822e-17	1	2.04526e-18
Cell_31	2.22881e-25	1.03015e-11	1	1.34295e-12
Cell_32	6.32843e-23	0.00605419	0.992987	0.000959204
Cell_33	1.25433e-40	3.26104e-16	1	5.83934e-17
Cell_34	1.83839e-41	1.2569e-17	1	8.63287e-18
Cell_35	5.98425e-48	3.99887e-13	1	4.1789e-13
Cell_36	7.86907e-26	2.20247e-13	1	2.30163e-13
Cell_37	5.96286e-15	0.0330511	0.960498	0.00645135
Cell_38	1.85753e-32	9.77519e-09	1	1.02153e-08
Cell_39	5.9795e-32	5.20569e-12	1	6.40563e-13
Cell_40	2.85239e-23	7.45773e-11	1	2.22137e-11
Cell_41	7.87443e-33	1.88022e-13	1	2.75566e-14
Cell_42	1.90151e-55	7.11974e-23	1	9.91787e-24
Cell_43	1.58562e-24	2.96531e-11	1	5.19744e-11
Cell_44	1.39569e-38	1.53384e-21	1	1.60289e-21
Cell_45	3.85569e-07	0.0582186	0.933248	0.00853256
Cell_46	9.62041e-17	8.30842e-12	1	1.28164e-07
Cell_47	2.68085e-18	8.7959e-09	1	3.26472e-09
Cell_48	5.8042e-60	6.699e-38	1	4.60113e-38
Cell_49	1.64989e-40	3.45221e-16	1	4.30898e-17
Cell_50	2.18806e-47	1.33574e-37	1	3.97865e-38
Cell_51	2.6273e-36	2.01945e-07	1	2.59622e-08
Cell_52	4.13359e-40	8.77115e-19	1	1.07611e-19
Cell_53	4.79052e-38	2.41469e-17	1	2.58219e-16
Cell_54	1.53766e-32	1.09149e-20	1	3.74968e-20
Cell_55	3.68677e-17	2.7183e-11	1	1.00893e-11
Cell_56	4.20761e-19	2.95132e-05	0.996369	0.00360102
Cell_57	5.56719e-41	8.74558e-26	1	1.08986e-26
Cell_58	8.25315e-19	0.00186764	0.997726	0.000406642
Cell_59	1.46197e-20	2.51025e-12	1	3.80891e-13
Cell_60	1.32204e-21	9.8441e-13	1	2.93218e-13
Cell_61	2.82394e-19	2.37719e-07	0.999999	4.16662e-07
Cell_62	1.08381e-36	1.31474e-12	1	1.37393e-12
Cell_63	2.0649e-19	2.11186e-07	1	3.00963e-08
Cell_64	5.6576e-28	0.000589463	0.999312	9.85906e-05
Cell_65	3.58459e-21	1.12351e-10	1	1.96923e-10
Cell_66	1.18698e-28	4.99597e-08	1	1.48811e-08
Cell_67	1.23431e-43	1.0403e-29	1	7.14519e-30
Cell_68	4.27592e-18	7.1047e-15	1	9.56599e-16
Cell_69	1.66426e-44	1.33468e-32	1	1.67624e-33
Cell_70	2.27394e-39	1.08423e-16	1	1.71782e-17
Cell_71	2.09143e-18	2.74164e-11	1	5.96937e-12
Cell_72	6.54742e-12	9.60567e-05	0.999887	1.72003e-05
Cell_73	1.32937e-18	2.50837e-12	1	1.04247e-11
Cell_74	1.57211e-30	3.4325e-16	1	6.01631e-16
Cell_75	3.8498e-07	2.88803e-10	1	3.6754e-11
Cell_76	1.21782e-40	2.08013e-13	1	2.96441e-14
Cell_77	2.49348e-40	8.00425e-27	1	1.02903e-27
Cell_78	9.96332e-28	1.01635e-11	1	2.54144e-12
Cell_79	7.71324e-17	5.43234e-16	1	5.67691e-16
Cell_80	2.51628e-10	6.95172e-05	0.999917	1.35693e-05
Cell_81	6.10995e-15	0.000877429	0.999015	0.000107609
Cell_82	1.05317e-38	2.50826e-30	1	3.57455e-31
Cell_83	4.85118e-29	2.27562e-14	1	4.0748e-15
Cell_84	4.56154e-30	0.0060555	0.993201	0.000743185
Cell_85	4.42206e-15	0.000445032	0.0729925	0.926562
Cell_86	1.96075e-45	8.20976e-27	1	4.01091e-27
Cell_87	8.50273e-09	7.26752e-07	0.999999	2.16472e-07
Cell_88	2.19457e-05	1.52661e-08	0.999978	2.67576e-08
Cell_89	6.83058e-32	2.63051e-16	1	3.22672e-17
Cell_90	3.9006e-18	3.94989e-07	1	9.87693e-08
Cell_91	4.42537e-29	5.65383e-17	1	5.90837e-17
Cell_92	2.08046e-07	3.30651e-06	0.999993	3.45538e-06
Cell_93	2.93187e-25	1.33323e-12	1	2.33681e-12
Cell_94	3.11552e-29	8.47553e-11	1	2.91167e-10
Cell_95	1.24452e-51	5.00933e-16	1	6.20169e-17
Cell_96	0.992159	0.000686359	0.00707041	8.45746e-05
Cell_97	3.19183e-11	2.32538e-14	1	2.90249e-15
Cell_98	5.69197e-32	3.21504e-19	1	4.00085e-20
Cell_99	2.59635e-32	1.58217e-13	1	2.50673e-14
Cell_100	1.59776e-06	0.0832289	0.859605	0.0571648
Cell_101	6.32399e-24	0.00604908	0.992149	0.00180179
Cell_102	1.63972e-17	2.49362e-10	1	3.35749e-11
Cell_103	1.54529e-29	1.88292e-14	1	2.68337e-15
Cell_104	4.30742e-25	3.89962e-14	1	2.67841e-14
Cell_105	6.05816e-14	0.0245302	0.972456	0.00301431
Cell_106	2.13768e-27	7.09241e-11	1	9.54945e-12
Cell_107	2.87563e-23	3.86272e-08	1	1.4337e-08
Cell_108	0.992073	0.000686159	0.00715087	9.02525e-05
Cell_109	1.62263e-19	0.000825761	0.998994	0.000179793
Cell_110	1.19964e-26	7.93738e-12	1	5.4517e-12
Cell_111	1.77023e-30	3.29241e-12	1	1.22202e-12
Cell_112	3.94062e-46	2.58711e-26	1	9.60242e-27
Cell_113	7.77184e-54	3.33358e-14	1	5.84292e-14
Cell_114	2.07162e-50	4.46676e-20	1	5.49767e-21
Cell_115	1.77881e-30	1.57042e-10	1	1.94029e-11
Cell_116	2.34993e-27	5.50728e-13	1	5.75523e-13
Cell_117	0.992137	0.000686197	0.00706818	0.000108719
Cell_118	9.80209e-17	1.58328e-05	0.999979	4.71599e-06
Cell_119	2.41459e-19	5.38862e-09	1	1.8512e-08
Cell_120	4.42901e-27	1.82705e-12	1	2.42886e-13
Cell_121	3.90708e-26	2.77069e-14	1	3.489e-15
Cell_122	1.95705e-43	5.14726e-06	0.999977	1.76828e-05
Cell_123	4.47562e-13	0.0187756	0.972051	0.00917291
Cell_124	3.30205e-31	8.51591e-17	1	2.12945e-17
Cell_125	5.77783e-28	1.45341e-13	1	1.81412e-14
Cell_126	2.42469e-24	2.8687e-14	1	4.54506e-15
Cell_127	1.39019e-25	6.98443e-18	1	8.60097e-19
Cell_128	4.16039e-23	2.11141e-07	1	3.009e-08
