node	1_CSF3R	1_MPL	1_NRAS	2_DNMT3A	2_SF3B1	2_IDH1	3_GATA2	4_KIT	4_TET2	5_NPM1	7_EZH2	8_RAD21	8_MYC	9_JAK2	10_SMC3	11_WT1	11_CBL	12_ETV6	12_KRAS	12_PTPN11	13_FLT3	15_IDH2	17_TP53	17_NF1	17_PPM1D	17_SRSF2	18_SETBP1	19_CALR	20_ASXL1	21_RUNX1	21_U2AF1	X_ZRSR2	X_BCOR	X_KDM6A	X_SMC1A	X_STAG2	X_PHF6
Node 0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 3	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 4	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 5	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 6	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 7	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
