cell	Node 0	Node 1	Node 2
Cell_128	1.37939e-93	0.567844	0.432156
Cell_129	1.19454e-30	0.99245	0.00754976
Cell_130	2.3994e-40	0.992443	0.00755726
Cell_131	5.1878e-41	0.992451	0.00754914
Cell_132	1.11466e-86	0.992451	0.00754856
Cell_133	1.10121e-47	0.99245	0.00755003
Cell_134	6.20246e-08	0.9924	0.00759959
Cell_135	1.15951e-28	0.992113	0.00788667
Cell_136	3.20631e-50	0.992451	0.0075489
Cell_137	8.25174e-24	0.748819	0.251181
Cell_138	3.94523e-26	0.992451	0.00754877
Cell_139	0.99483	0.00513112	3.90505e-05
Cell_140	5.11829e-42	0.992443	0.00755718
Cell_141	3.79013e-45	0.54972	0.45028
Cell_142	1.01476e-26	0.992446	0.00755396
Cell_143	1.84494e-43	0.992451	0.00754875
Cell_144	2.19799e-32	0.992431	0.00756934
Cell_145	1.80316e-30	0.984656	0.0153435
Cell_146	6.44187e-113	0.992451	0.00754921
Cell_147	7.13795e-25	0.99245	0.00755004
Cell_148	4.10136e-62	5.9015e-17	1
Cell_149	1.1293e-36	0.992425	0.0075746
Cell_150	1.48937e-29	0.992442	0.007558
Cell_151	6.74484e-37	0.992449	0.00755086
Cell_152	3.75222e-30	0.992449	0.00755105
Cell_153	1.29004e-08	0.992448	0.00755153
Cell_154	1.19817e-41	0.992437	0.00756257
Cell_155	9.80438e-79	0.992451	0.00754934
Cell_156	4.88018e-42	0.992414	0.00758632
Cell_157	3.20124e-42	1.55258e-05	0.999984
Cell_158	0.996564	0.00341041	2.59687e-05
Cell_159	1.36681e-45	0.99245	0.00755049
Cell_160	3.48825e-47	0.992109	0.00789053
Cell_161	1.51943e-38	0.992451	0.00754871
Cell_162	5.93022e-57	0.99245	0.00755022
Cell_163	0.996712	0.00326336	2.50605e-05
Cell_164	0.998486	0.00150285	1.14314e-05
Cell_165	2.35912e-44	0.992439	0.00756134
Cell_166	2.10303e-59	0.992417	0.00758349
Cell_167	4.9735e-10	0.992439	0.00756134
Cell_168	3.86895e-46	0.992158	0.007842
Cell_169	4.42456e-30	0.992434	0.00756552
Cell_170	0.997854	0.00212444	2.1166e-05
Cell_171	2.68003e-37	0.99244	0.00755955
Cell_172	1.78103e-73	2.29627e-10	1
Cell_173	1.18264e-41	0.992451	0.0075488
Cell_174	5.16766e-79	0.992449	0.00755146
Cell_175	1.06606e-36	0.992448	0.00755232
Cell_176	1.8049e-53	0.981823	0.0181771
Cell_177	2.51136e-49	0.992011	0.0079892
Cell_178	5.54993e-29	0.992451	0.00754912
Cell_179	7.63966e-19	0.992441	0.00755882
Cell_180	4.39924e-20	0.992451	0.00754897
Cell_181	2.39247e-29	0.992451	0.00754861
Cell_182	2.7332e-53	0.992341	0.00765907
Cell_183	6.50159e-36	0.99233	0.00766961
Cell_184	0.998759	0.00123142	9.3662e-06
Cell_185	5.2103e-21	0.992426	0.00757437
Cell_186	2.42238e-21	0.992448	0.00755249
Cell_187	4.33184e-58	5.19264e-33	1
Cell_188	2.5281e-30	0.99245	0.00755044
Cell_189	6.38785e-24	0.992449	0.00755132
Cell_190	8.81312e-77	0.992055	0.00794521
Cell_191	4.2597e-44	0.992451	0.00754893
Cell_192	0.974307	0.0254967	0.000196135
Cell_193	0.999084	0.000908757	6.91434e-06
Cell_194	1.1246e-30	0.989046	0.0109541
Cell_195	2.38615e-46	2.63396e-05	0.999974
Cell_196	2.37377e-09	0.991781	0.00821897
Cell_197	8.01215e-34	0.992452	0.00754848
Cell_198	4.64897e-49	0.96501	0.0349895
Cell_199	8.66065e-18	0.992426	0.00757437
Cell_200	1.37834e-57	0.992451	0.00754893
Cell_201	9.59864e-23	0.992423	0.00757652
Cell_202	3.66803e-48	0.99245	0.00755012
Cell_203	1.34701e-41	0.992451	0.00754857
Cell_204	3.75021e-67	5.72963e-17	1
Cell_205	1.79788e-52	0.000130543	0.999869
Cell_206	2.50579e-39	0.992444	0.00755551
Cell_207	4.9793e-64	0.992452	0.00754844
Cell_208	1.58681e-42	0.985954	0.014046
Cell_209	1.70225e-21	0.992446	0.00755353
Cell_210	2.14126e-14	0.991671	0.00832916
Cell_211	5.28711e-40	0.99245	0.00755039
