cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6
Cell_0	1.14427e-41	3.81681e-14	8.27548e-41	6.82672e-12	1	1.55677e-13	1.08645e-12
Cell_1	5.6045e-31	2.3392e-14	4.72154e-29	4.18389e-12	1	9.54073e-14	2.12776e-13
Cell_2	2.46197e-28	0.00310101	4.24986e-21	0.554197	0.0132537	0.0772494	0.352199
Cell_3	1.54364e-30	1.13719e-06	1.50505e-25	0.000203383	3.67306e-06	0.999683	0.000108554
Cell_4	1.26702e-07	4.85983e-08	2.00852e-08	8.69161e-06	1.62881e-07	0.999989	2.07913e-06
Cell_5	3.33955e-25	1.51414e-12	1.6071e-15	2.70818e-10	1	6.18504e-12	4.79187e-11
Cell_6	4.86517e-72	0.912844	1.68861e-37	0.000172543	0.0869487	3.93469e-06	3.12105e-05
Cell_7	4.24373e-42	0.00425601	5.56821e-36	0.76123	0.0137329	0.0173587	0.203423
Cell_8	2.37362e-78	1.06338e-14	3.5109e-60	1.90195e-12	1	4.33713e-14	5.12421e-12
Cell_9	3.68893e-24	1.05676e-07	1.5093e-05	1.84167e-05	3.29772e-07	0.999964	2.02561e-06
Cell_10	4.99105e-51	0.00374182	2.15925e-30	0.669262	0.0119251	0.0152615	0.299809
Cell_11	9.90299e-40	0.00268375	2.59156e-25	0.479786	0.00867524	0.0109452	0.49791
Cell_12	1.96165e-28	5.39231e-06	7.20635e-27	0.000963834	0.998478	2.1991e-05	0.000530426
Cell_13	9.54506e-46	9.90613e-06	2.24743e-32	0.00177181	3.15889e-05	0.997283	0.000904103
Cell_14	6.94387e-27	0.00490886	2.80599e-24	0.877781	0.0163551	0.0200207	0.080934
Cell_15	1.21426e-21	6.82255e-05	6.81046e-18	0.0122028	0.974212	0.000278267	0.0132391
Cell_16	6.72899e-23	0.00189765	2.67861e-18	0.339376	0.00604814	0.00773978	0.644938
Cell_17	5.31452e-39	0.00371782	1.0349e-30	0.664685	0.0118454	0.0151571	0.304594
Cell_18	5.49224e-33	0.0023247	1.97801e-23	0.415797	0.0074227	0.0094819	0.564974
Cell_19	1.73222e-45	9.60257e-30	1.83541e-40	1.71717e-27	1	3.91643e-29	2.26933e-28
Cell_20	2.14705e-30	0.00171244	4.20575e-16	0.306288	0.00545771	0.00698473	0.679557
Cell_21	1.06738e-27	7.09539e-11	1.1797e-17	1.26907e-08	1	2.89395e-10	4.21049e-09
Cell_22	1.3973e-29	0.999989	1.11736e-14	7.55587e-06	1.34636e-07	1.72326e-07	2.90998e-06
Cell_23	0.981151	3.04859e-05	0.0119211	0.00545243	0.000105855	0.000124335	0.00121508
Cell_24	2.55763e-12	0.00319008	5.91759e-08	0.570555	0.0101732	0.0130111	0.40307
Cell_25	5.77636e-22	0.00400817	4.02774e-10	0.716901	0.0127746	0.0163478	0.249969
Cell_26	3.68209e-32	0.999971	6.88071e-16	8.80162e-06	1.68699e-05	2.00709e-07	2.86741e-06
Cell_27	3.41099e-21	0.00549626	3.0533e-14	0.769241	0.015383	0.0450153	0.164865
Cell_28	1.60424e-28	5.07328e-05	1.73903e-14	0.00907396	0.984921	0.00020705	0.00574763
Cell_29	6.05156e-30	3.80412e-09	2.71617e-29	5.52139e-10	9.83873e-12	1	9.9881e-11
Cell_30	6.84079e-26	0.000167971	6.46296e-22	0.029982	0.96042	0.00557985	0.00385047
Cell_31	2.81923e-23	0.00431818	4.52196e-21	0.772349	0.0138398	0.0176123	0.191881
Cell_32	1.41055e-23	1.25499e-06	4.28032e-21	0.000220321	0.999734	5.03809e-06	3.90751e-05
Cell_33	1.61987e-31	8.17471e-10	2.63797e-26	1.46213e-07	1	3.33442e-09	5.01986e-08
Cell_34	2.14114e-49	1	5.05215e-31	3.3081e-19	5.89497e-21	7.54363e-21	4.268e-19
Cell_35	6.5976e-25	0.00437812	1.22155e-16	0.782518	0.0475773	0.0198171	0.145709
Cell_36	2.65454e-41	0.00146138	8.92557e-29	0.261383	0.00465846	0.0059611	0.726536
Cell_37	2.16015e-45	0.00387508	1.9034e-36	0.692572	0.0125194	0.0763493	0.214684
Cell_38	4.15453e-49	1.32702e-11	6.34598e-42	2.37351e-09	1	5.41243e-11	1.52635e-08
Cell_39	8.57682e-30	0.00101408	7.68356e-15	0.181377	0.00323213	0.00413603	0.810241
Cell_40	7.26192e-49	0.00363162	9.22084e-16	0.649535	0.01159	0.014812	0.320431
Cell_41	5.64417e-59	0.00354788	4.63785e-48	0.634564	0.0113091	0.0144705	0.336108
Cell_42	9.26861e-58	0.00150496	2.98017e-38	0.269155	0.00479691	0.0061377	0.718406
Cell_43	4.40134e-18	0.0015339	2.99528e-10	0.274293	0.145763	0.535703	0.0427075
Cell_44	4.15938e-44	1	1.69102e-32	9.89126e-11	3.69228e-12	2.25555e-12	5.34517e-11
Cell_45	7.64963e-114	0.00106321	5.50888e-88	0.190166	0.00338843	0.00433646	0.801046
Cell_46	3.48808e-10	0.00526878	0.000175888	0.935794	0.017436	0.0214749	0.0198503
Cell_47	1.11999e-46	0.00378861	7.73486e-23	0.677628	0.0121169	0.0154523	0.291014
Cell_48	3.64468e-41	0.00385036	6.76966e-35	0.688626	0.0758994	0.0157032	0.215921
Cell_49	5.34367e-33	0.00319158	5.4964e-18	0.570665	0.0102851	0.0130169	0.402842
Cell_50	6.0359e-25	0.0037066	3.12641e-22	0.662963	0.0118248	0.0151179	0.306388
Cell_51	3.81484e-34	1.5851e-08	8.43629e-25	2.83171e-06	0.999997	6.46556e-08	5.66953e-08
Cell_52	1.80807e-44	0.924224	1.52013e-37	0.0482784	0.000860299	0.00110094	0.0255368
Cell_53	3.25285e-64	0.00243704	6.07933e-46	0.435888	0.00776697	0.00994001	0.543968
Cell_54	5.08628e-50	0.00410805	3.98749e-37	0.734145	0.0131224	0.0167411	0.231884
Cell_55	9.05042e-38	0.00262393	1.60622e-29	0.469316	0.136428	0.010702	0.38093
Cell_56	8.51799e-18	0.00150615	1.23665e-19	0.269388	0.00494265	0.00614302	0.71802
Cell_57	7.13175e-30	0.00327214	1.74581e-25	0.585254	0.010429	0.013346	0.387699
Cell_58	0.625319	0.00172723	0.011334	0.308879	0.00566304	0.0070436	0.0400343
Cell_59	2.1365e-52	0.00180285	1.18427e-34	0.322457	0.00574633	0.00735313	0.662641
Cell_60	0.984991	3.32109e-06	0.0130641	0.000594008	1.05843e-05	1.35455e-05	0.00132327
Cell_61	1.46591e-36	0.000499888	4.30837e-33	0.0866159	0.84515	0.00203269	0.0657013
Cell_62	4.35839e-51	0.0046519	1.73835e-29	0.828801	0.0867843	0.0189662	0.0607963
Cell_63	2.86585e-70	2.49991e-21	4.33619e-60	4.47127e-19	7.96988e-21	1	5.62187e-19
Cell_64	1.06105e-40	2.19817e-05	1.08183e-27	0.00393164	0.00458279	0.991133	0.000330147
Cell_65	8.90681e-92	0.000537832	1.0821e-93	0.0961967	0.832026	0.00219362	0.0690458
Cell_66	2.98122e-24	0.00226514	5.83932e-12	0.405142	0.00721896	0.00923866	0.576135
