cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	1.19641e-41	1.10719e-12	1.5572e-13	1	3.81727e-14	6.9571e-12
Cell_1	5.54541e-31	2.16103e-13	9.54338e-14	1	2.33947e-14	4.2638e-12
Cell_2	2.4831e-28	0.34575	0.0767831	0.01317	0.0030818	0.561216
Cell_3	1.61878e-30	0.000110803	0.999677	3.67202e-06	1.137e-06	0.000207208
Cell_4	1.2402e-07	2.08473e-06	0.999989	1.62836e-07	4.85905e-08	8.85514e-06
Cell_5	3.42002e-25	4.77826e-11	6.18677e-12	1	1.51432e-12	2.75991e-10
Cell_6	5.20924e-72	3.25265e-05	3.93534e-06	0.0869388	0.912849	0.000175819
Cell_7	4.33556e-42	0.202304	0.0170761	0.0135056	0.00418606	0.762928
Cell_8	2.36683e-78	4.98487e-12	4.33834e-14	1	1.0635e-14	1.93828e-12
Cell_9	3.44905e-24	2.03644e-06	0.999979	3.29685e-07	1.05661e-07	1.87635e-05
Cell_10	5.05086e-51	0.298042	0.0150298	0.0117408	0.00368443	0.671503
Cell_11	1.00935e-39	0.493955	0.0108367	0.00858679	0.0026567	0.483964
Cell_12	1.98165e-28	0.000551674	2.19963e-05	0.998439	5.39274e-06	0.000982204
Cell_13	9.98836e-46	0.000920963	0.997232	3.15785e-05	9.90405e-06	0.00180506
Cell_14	6.86259e-27	0.0821876	0.0196406	0.01604	0.00481488	0.877317
Cell_15	1.23054e-21	0.0132712	0.00027827	0.97395	6.82153e-05	0.0124325
Cell_16	6.55371e-23	0.643117	0.00764209	0.00597014	0.0018734	0.341397
Cell_17	5.42945e-39	0.302882	0.0149261	0.0116616	0.00366057	0.66687
Cell_18	5.5988e-33	0.560576	0.00940862	0.00736327	0.00230637	0.420346
Cell_19	1.78744e-45	2.27925e-28	3.91752e-29	1	9.60371e-30	1.74996e-27
Cell_20	2.17649e-30	0.670504	0.00705522	0.00551125	0.00172945	0.3152
Cell_21	1.10234e-27	4.23252e-09	2.89476e-10	1	7.09624e-11	1.29331e-08
Cell_22	1.44503e-29	2.92914e-06	1.72354e-07	1.3462e-07	0.999989	7.69927e-06
Cell_23	0.992169	0.00133962	0.000138771	0.000118112	3.40199e-05	0.00619998
Cell_24	2.57811e-12	0.39552	0.012943	0.0101172	0.00317287	0.578247
Cell_25	5.58717e-22	0.25005	0.0160574	0.0125441	0.00393632	0.717412
Cell_26	3.79276e-32	2.91314e-06	2.00741e-07	1.68679e-05	0.999971	8.96866e-06
Cell_27	3.50709e-21	0.164989	0.0442421	0.0151146	0.00540099	0.770253
Cell_28	1.55523e-28	0.00576254	0.000207068	0.984734	5.07292e-05	0.00924551
Cell_29	6.36006e-30	1.02173e-10	1	9.83599e-12	3.80351e-09	5.62528e-10
Cell_30	7.1995e-26	0.0039443	0.00557767	0.959776	0.000167878	0.0305341
Cell_31	2.92756e-23	0.193941	0.0172572	0.0135569	0.00423043	0.771015
Cell_32	1.45384e-23	3.92005e-05	5.03948e-06	0.99973	1.25513e-06	0.000224529
Cell_33	1.65779e-31	5.00034e-08	3.33535e-09	1	8.17568e-10	1.49005e-07
Cell_34	2.22276e-49	4.31253e-19	7.54483e-21	5.89427e-21	1	3.37088e-19
Cell_35	6.84842e-25	0.147216	0.0194473	0.0466764	0.00429573	0.782365
Cell_36	2.68488e-41	0.715333	0.00609572	0.00476234	0.00149415	0.272315
Cell_37	2.30954e-45	0.223661	0.0742449	0.0121709	0.00376767	0.686156
Cell_38	4.21691e-49	1.50796e-08	5.41393e-11	1	1.32718e-11	2.41884e-09
Cell_39	8.27659e-30	0.808546	0.00409928	0.00320252	0.00100491	0.183148
Cell_40	7.21669e-49	0.309964	0.0147745	0.0115574	0.00362185	0.660083
Cell_41	5.50982e-59	0.330519	0.0143346	0.0111997	0.003514	0.640433
Cell_42	9.23793e-58	0.7138	0.00612792	0.00478792	0.00150232	0.273782
Cell_43	4.57406e-18	0.0432123	0.532572	0.144871	0.00152469	0.27782
Cell_44	4.22853e-44	5.28916e-11	2.25591e-12	3.69184e-12	1	1.0079e-10
Cell_45	7.40562e-114	0.796014	0.00436761	0.00341182	0.00107068	0.195136
Cell_46	3.47812e-10	0.0204636	0.0210866	0.0171159	0.00517267	0.936161
Cell_47	1.12381e-46	0.286619	0.0152735	0.0119734	0.00374417	0.68239
Cell_48	3.71779e-41	0.214379	0.0154787	0.0747936	0.00379472	0.691554
Cell_49	5.52549e-33	0.40544	0.0127314	0.0100567	0.00312109	0.568651
Cell_50	6.22425e-25	0.307523	0.0148266	0.0115937	0.0036346	0.662422
Cell_51	4.038e-34	5.91572e-08	6.46736e-08	0.999997	1.58528e-08	2.8858e-06
Cell_52	1.8557e-44	0.0255105	0.00110011	0.000859412	0.92338	0.0491498
Cell_53	3.31993e-64	0.540382	0.00984124	0.00768766	0.00241244	0.439677
Cell_54	5.37735e-50	0.238665	0.0163002	0.0127733	0.00399923	0.728262
Cell_55	9.48264e-38	0.388478	0.0104235	0.13284	0.00255524	0.465703
Cell_56	8.72522e-18	0.715874	0.00608049	0.00489098	0.00149058	0.271664
Cell_57	7.23177e-30	0.382652	0.0132183	0.0103264	0.00324032	0.590563
Cell_58	0.630213	0.0409412	0.00703767	0.0056567	0.0017255	0.314426
Cell_59	2.16091e-52	0.652338	0.00744388	0.00581562	0.0018248	0.332578
Cell_60	0.997839	0.00146206	1.49571e-05	1.16841e-05	3.66662e-06	0.000668255
Cell_61	1.49632e-36	0.0652755	0.00203059	0.84404	0.000499291	0.0881543
Cell_62	4.44534e-51	0.0603602	0.0186656	0.0853849	0.00457743	0.831012
Cell_63	3.19669e-70	6.10367e-19	1	7.96766e-21	2.49951e-21	4.5554e-19
Cell_64	1.1003e-40	0.00033323	0.991058	0.00458116	2.19765e-05	0.00400531
Cell_65	8.79204e-92	0.070487	0.00218652	0.829101	0.000536005	0.0976893
Cell_66	3.01857e-24	0.567795	0.00925406	0.00722899	0.00226856	0.413453
Cell_67	1.84795e-49	0.168224	0.0178094	0.0139129	0.00436581	0.795688
Cell_68	3.26818e-49	0.320128	0.014557	0.0113754	0.00356852	0.650371
Cell_69	8.98576e-26	0.119836	0.578467	0.00515762	0.00161818	0.29492
Cell_70	8.50064e-22	0.311828	0.0147344	0.0115253	0.003612	0.6583
Cell_71	9.11592e-37	0.27781	0.00833709	0.339324	0.00204377	0.372485
Cell_72	4.75712e-57	2.97188e-07	0.999999	3.61902e-09	1.13569e-09	2.06985e-07
Cell_73	4.6445e-61	0.673844	0.00698356	0.00545529	0.00171196	0.312005
Cell_74	3.44874e-53	0.883758	0.00248888	0.00194609	0.000610128	0.111197
Cell_75	9.50832e-29	0.00402202	0.000237658	0.98507	5.82662e-05	0.0106118
Cell_76	6.06168e-30	0.55232	0.0260492	0.00720659	0.00226149	0.412163
Cell_77	7.34373e-40	1.74638e-10	1.42218e-11	1	3.48634e-12	6.35399e-10
Cell_78	3.1985e-30	0.200787	0.0171495	0.0133742	0.00419466	0.764494
Cell_79	3.72458e-57	2.50322e-12	1	5.51057e-13	1.73347e-13	3.15154e-11
Cell_80	1.71732e-66	0.267181	0.0156875	0.0122848	0.00404361	0.700803
Cell_81	1.33903e-28	0.594128	0.00869018	0.00679617	0.00213032	0.388255
Cell_82	3.12483e-63	4.04401e-10	2.14599e-11	1	5.2607e-12	9.58786e-10
Cell_83	9.39997e-49	1.63215e-08	1.12031e-06	0.999999	2.16782e-10	3.95093e-08
Cell_84	3.47752e-11	0.528511	0.0100965	0.00788661	0.00247507	0.451031
Cell_85	5.87794e-19	0.00147251	0.988697	0.000221027	5.2451e-05	0.00955707
Cell_86	2.0058e-38	0.0675727	0.0199639	0.0156217	0.00489397	0.891948
Cell_87	8.30774e-28	0.695708	0.00651491	0.00510268	0.00160307	0.291071
Cell_88	2.46949e-13	0.235942	0.0140836	0.117415	0.00345261	0.629106
Cell_89	1.22447e-13	0.163026	0.0179322	0.0141549	0.00450937	0.800377
Cell_90	3.7004e-22	0.114843	0.018947	0.015062	0.00464471	0.846504
Cell_91	1.06392e-40	0.690775	0.00662092	0.00517211	0.00162307	0.295809
Cell_92	7.01268e-41	1.91032e-08	5.00544e-09	1	1.22704e-09	2.23625e-07
Cell_93	6.16208e-63	2.18484e-12	1	1.20551e-12	3.7501e-13	6.83466e-11
Cell_94	1.88928e-30	0.0146696	0.0212203	0.0500426	0.00498974	0.909078
Cell_95	1.28059e-32	0.0277552	0.0208181	0.0162625	0.0051034	0.930061
Cell_96	2.72672e-34	0.539627	0.00985716	0.00770026	0.00241639	0.440399
Cell_97	7.31416e-55	2.28627e-16	1.10333e-16	1	2.70466e-17	4.92936e-15
