cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6
Cell_0	1.11917e-41	1.55681e-13	8.08011e-41	1	3.81668e-14	6.81821e-12	1.06462e-12
Cell_1	5.49718e-31	9.54101e-14	4.62321e-29	1	2.33912e-14	4.17868e-12	2.09095e-13
Cell_2	2.45562e-28	0.0773633	4.23165e-21	0.0132729	0.00310539	0.554306	0.351952
Cell_3	1.5607e-30	0.999682	1.51909e-25	3.67295e-06	1.13712e-06	0.000203123	0.000109961
Cell_4	1.23847e-07	0.999989	1.95991e-08	1.62876e-07	4.85952e-08	8.68052e-06	2.03611e-06
Cell_5	3.31577e-25	6.18523e-12	1.59293e-15	1	1.51409e-12	2.70481e-10	4.76671e-11
Cell_6	4.98024e-72	3.93492e-06	1.72559e-37	0.0869513	0.91284	0.000172334	3.20089e-05
Cell_7	4.25301e-42	0.0173618	5.57084e-36	0.013735	0.0042565	0.760395	0.204252
Cell_8	2.35114e-78	4.33726e-14	3.47169e-60	1	1.06334e-14	1.89958e-12	5.08523e-12
Cell_9	3.62094e-24	0.999964	1.47895e-05	3.29762e-07	1.0567e-07	1.83933e-05	1.99202e-06
Cell_10	4.97947e-51	0.015283	2.15056e-30	0.0119416	0.00374686	0.669351	0.299678
Cell_11	9.88175e-40	0.0109615	2.58158e-25	0.00868786	0.00268756	0.479885	0.497778
Cell_12	2.0082e-28	2.19914e-05	7.36472e-27	0.998466	5.39206e-06	0.000962622	0.000544035
Cell_13	9.60938e-46	0.997277	2.2587e-32	3.15878e-05	9.90544e-06	0.00176954	0.00091191
Cell_14	6.9103e-27	0.0200504	2.78765e-24	0.0163788	0.00491581	0.877961	0.0806944
Cell_15	1.20575e-21	0.000278299	6.75118e-18	0.974294	6.82289e-05	0.0121886	0.0131711
Cell_16	6.76197e-23	0.0076536	2.68714e-18	0.00598062	0.0018764	0.335169	0.64932
Cell_17	5.32337e-39	0.0151521	1.03485e-30	0.0118411	0.00371634	0.663615	0.305676
Cell_18	5.47535e-33	0.00950826	1.96855e-23	0.00744311	0.00233102	0.416421	0.564297
Cell_19	1.6975e-45	3.91654e-29	1.79554e-40	1	9.60224e-30	1.71503e-27	2.22803e-28
Cell_20	2.14099e-30	0.00700731	4.1867e-16	0.00547518	0.00171787	0.306886	0.678914
Cell_21	1.06089e-27	2.89403e-10	1.17052e-17	1	7.09515e-11	1.26749e-08	4.19276e-09
Cell_22	1.39301e-29	1.72338e-07	1.11202e-14	1.3464e-07	0.999989	7.54672e-06	2.9065e-06
Cell_23	0.981126	0.000125422	0.0119004	0.000106777	3.07505e-05	0.0054931	0.00121733
Cell_24	2.54196e-12	0.0130645	5.87127e-08	0.0102146	0.00320295	0.572163	0.401355
Cell_25	5.79888e-22	0.0163362	4.03653e-10	0.0127652	0.00400506	0.715478	0.251416
Cell_26	3.6962e-32	2.00722e-07	6.89525e-16	1.68705e-05	0.999971	8.79096e-06	2.88382e-06
Cell_27	3.39945e-21	0.0450817	3.03776e-14	0.0154053	0.00550401	0.769393	0.164616
Cell_28	1.59248e-28	0.000207065	1.72333e-14	0.984963	5.07332e-05	0.00906304	0.00571625
Cell_29	6.07349e-30	1	2.72135e-29	9.83844e-12	3.80387e-09	5.51435e-10	1.00432e-10
Cell_30	6.79591e-26	0.00558033	6.40957e-22	0.960473	0.000167975	0.0299463	0.00383241
Cell_31	2.86962e-23	0.017551	4.59491e-21	0.0137912	0.00430286	0.768677	0.195678
Cell_32	1.38979e-23	5.03825e-06	4.21012e-21	0.999735	1.25495e-06	0.000220047	3.85726e-05
Cell_33	1.60745e-31	3.33452e-09	2.61325e-26	1	8.17443e-10	1.46031e-07	4.99073e-08
Cell_34	2.16432e-49	7.54411e-21	5.0981e-31	5.89517e-21	1	3.30409e-19	4.32233e-19
Cell_35	6.62675e-25	0.019819	1.22485e-16	0.0475803	0.00437825	0.781594	0.146629
Cell_36	2.64249e-41	0.00601065	8.86985e-29	0.00469704	0.00147344	0.26322	0.724599
Cell_37	2.27249e-45	0.0753073	1.99896e-36	0.0123481	0.00382195	0.682249	0.226274
Cell_38	4.148e-49	5.41259e-11	6.32517e-42	1	1.32697e-11	2.37055e-09	1.52682e-08
Cell_39	8.59273e-30	0.00407494	7.68464e-15	0.00318429	0.000999034	0.17847	0.813272
Cell_40	7.09177e-49	0.0149811	8.98939e-16	0.0117219	0.00367284	0.656112	0.313512
Cell_41	5.59002e-59	0.0145448	4.5855e-48	0.0113668	0.00356588	0.637012	0.33351
Cell_42	9.26362e-58	0.00612413	2.97347e-38	0.00478616	0.00150154	0.268217	0.719371
Cell_43	4.3815e-18	0.535964	2.97668e-10	0.14583	0.00153455	0.274076	0.042595
Cell_44	4.09208e-44	2.2557e-12	1.66081e-32	3.69241e-12	1	9.87927e-11	5.26859e-11
Cell_45	7.63029e-114	0.0043531	5.48555e-88	0.00340134	0.00106723	0.190653	0.800526
Cell_46	3.44561e-10	0.0215056	0.000173449	0.0174604	0.00527598	0.935939	0.0196455
Cell_47	1.10613e-46	0.015538	7.62608e-23	0.0121837	0.00380936	0.680515	0.287954
Cell_48	3.63326e-41	0.0157262	6.73691e-35	0.0760087	0.00385578	0.688759	0.21565
Cell_49	5.39287e-33	0.0129351	5.53752e-18	0.0102202	0.00317133	0.566357	0.407316
Cell_50	6.06502e-25	0.0150914	3.13612e-22	0.0118038	0.00369988	0.660959	0.308445
Cell_51	3.77694e-34	6.46575e-08	8.33819e-25	0.999997	1.58504e-08	2.82819e-06	5.62377e-08
Cell_52	1.78856e-44	0.00110133	1.50115e-37	0.000860581	0.924495	0.0482341	0.0253087
Cell_53	3.25444e-64	0.00992398	6.0719e-46	0.00775422	0.00243295	0.43463	0.545259
Cell_54	5.20906e-50	0.0166296	4.07676e-37	0.0130347	0.00408043	0.728327	0.237929
Cell_55	9.27666e-38	0.010535	1.64356e-29	0.134294	0.00258281	0.4614	0.391188
Cell_56	8.56422e-18	0.00603586	1.24123e-19	0.00485629	0.00147978	0.264352	0.723276
Cell_57	7.08274e-30	0.0134046	1.73085e-25	0.0104745	0.0032863	0.587075	0.38576
Cell_58	0.623928	0.00708382	0.0112894	0.00569521	0.00173698	0.310246	0.0400204
Cell_59	2.11903e-52	0.00745341	1.17257e-34	0.00582452	0.00182732	0.326437	0.658458
Cell_60	0.985015	1.34622e-05	0.0130421	1.0519e-05	3.30048e-06	0.000589606	0.0013258
Cell_61	1.44604e-36	0.00203466	4.24271e-33	0.845943	0.00050034	0.0865891	0.0649328
Cell_62	4.33712e-51	0.0189914	1.7269e-29	0.0868966	0.00465776	0.828841	0.0606134
Cell_63	3.09909e-70	1	4.68108e-60	7.96964e-21	2.49975e-21	4.46557e-19	6.09087e-19
