cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	1.88223e-41	6.91672e-13	1	2.80498e-14	4.77766e-12
Cell_1	4.57569e-31	7.08064e-14	1	8.83552e-15	1.50494e-12
Cell_2	3.14282e-28	0.213689	0.415035	0.00216884	0.369107
Cell_3	1.256e-30	0.330665	9.3862e-05	0.00390648	0.665335
Cell_4	1.19142e-07	0.180286	4.91882e-06	0.00478481	0.814924
Cell_5	2.9796e-25	1.65317e-11	1	5.71953e-13	9.74199e-11
Cell_6	7.24109e-72	1.79538e-05	0.197197	0.802645	0.000140627
Cell_7	4.71559e-42	0.0873742	0.525662	0.00225861	0.384705
Cell_8	1.84281e-78	1.54119e-12	1	4.01655e-15	6.84131e-13
Cell_9	3.84498e-24	0.0964464	1.14674e-05	0.00541542	0.898127
Cell_10	6.10209e-51	0.142981	0.493538	0.00212154	0.361359
Cell_11	1.5507e-39	0.301349	0.402425	0.00172983	0.294495
Cell_12	1.34398e-28	0.000148576	0.999502	2.03801e-06	0.000346896
Cell_13	7.03218e-46	0.285797	0.000872589	0.00416352	0.709167
Cell_14	7.09426e-27	0.0337379	0.556837	0.00239031	0.407035
Cell_15	9.55989e-22	0.00409406	0.991439	2.6071e-05	0.00444063
Cell_16	1.0534e-22	0.410474	0.339495	0.00145953	0.248571
Cell_17	6.10238e-39	0.135178	0.498033	0.00214179	0.364647
Cell_18	8.71319e-33	0.346423	0.376391	0.00161786	0.275568
Cell_19	2.0863e-45	1.0564e-28	1	5.27879e-30	8.98941e-28
Cell_20	3.85059e-30	0.471045	0.304613	0.00130942	0.223032
Cell_21	9.07016e-28	1.38289e-09	1	2.68004e-11	4.56484e-09
Cell_22	2.7208e-29	2.19003e-06	9.56539e-06	0.999981	7.00363e-06
Cell_23	0.993638	0.000532738	0.00336184	1.44053e-05	0.0024535
Cell_24	3.70096e-12	0.225461	0.446045	0.00191742	0.326577
Cell_25	6.16837e-22	0.109621	0.51275	0.00220412	0.375425
Cell_26	8.02671e-32	2.44812e-06	5.4209e-05	0.999935	8.1581e-06
Cell_27	3.8717e-21	0.0774166	0.516525	0.00304181	0.403016
Cell_28	1.29319e-28	0.00190276	0.994796	1.92712e-05	0.0032824
Cell_29	7.79638e-31	0.0177486	4.45785e-11	0.865772	0.116479
Cell_30	5.72535e-26	0.00164633	0.983879	8.46623e-05	0.0143902
Cell_31	2.88476e-23	0.0758858	0.532223	0.00228736	0.389603
Cell_32	1.17054e-23	1.25345e-05	0.999908	4.74362e-07	7.92649e-05
