cell	Node 0	Node 1	Node 2	Node 3
Cell_0	4.83104e-35	5.52038e-26	1	1.44046e-16
Cell_1	8.77457e-31	4.49758e-20	1	5.25918e-18
Cell_2	5.34286e-23	1.43594e-18	6.03431e-10	1
Cell_3	3.68034e-23	4.34872e-17	0.999995	4.81681e-06
Cell_4	4.53544e-08	2.04215e-06	0.999696	0.000302228
Cell_5	1.77448e-23	8.02718e-07	0.0728184	0.927181
Cell_6	3.8238e-55	1.70406e-20	0.254096	0.745904
Cell_7	2.5251e-36	4.14525e-33	2.22055e-24	1
Cell_8	8.60303e-65	1.70311e-37	1	1.5447e-19
Cell_9	4.38511e-24	0.00240089	0.368292	0.629307
Cell_10	1.59718e-50	8.64116e-33	1	3.14536e-29
Cell_11	1.40904e-32	4.6139e-21	1.44432e-10	1
Cell_12	2.23064e-29	2.16199e-27	5.23981e-25	1
Cell_13	1.18589e-35	3.87612e-22	1	2.13772e-08
Cell_14	2.97401e-16	1.50542e-16	0.995841	0.00415938
Cell_15	2.44224e-22	2.80027e-19	4.27101e-16	1
Cell_16	1.77836e-23	8.85305e-22	1	1.3631e-19
Cell_17	3.07248e-28	7.4823e-23	5.81878e-09	1
Cell_18	2.21394e-25	9.97199e-19	1.003e-07	1
Cell_19	8.64298e-42	8.53946e-13	3.18362e-06	0.999997
Cell_20	2.42924e-26	5.95087e-15	2.02059e-07	1
Cell_21	4.8191e-25	1.06836e-09	0.00144024	0.99856
Cell_22	9.03983e-21	9.04013e-09	0.918146	0.0818543
Cell_23	0.996599	1.51921e-05	0.00160287	0.00178252
Cell_24	3.12883e-10	9.05333e-09	0.00197177	0.998028
Cell_25	2.6153e-22	2.28053e-13	2.34223e-11	1
Cell_26	1.75182e-27	1.99176e-13	1	4.64539e-10
Cell_27	3.43803e-15	4.13775e-11	0.0337873	0.966213
Cell_28	1.42369e-29	4.28299e-16	4.40223e-14	1
Cell_29	2.16199e-24	4.3307e-17	1	2.43546e-08
Cell_30	5.7421e-19	5.9335e-16	7.40712e-06	0.999993
Cell_31	8.60579e-17	1.72657e-17	4.46696e-08	1
Cell_32	1.45477e-16	5.10029e-13	0.00845796	0.991542
Cell_33	1.78222e-26	5.05303e-17	1.71579e-08	1
Cell_34	5.02919e-26	1.48401e-10	0.0706975	0.929303
Cell_35	1.46035e-17	3.69545e-12	0.0612828	0.938717
Cell_36	2.07513e-39	8.72578e-30	2.18515e-24	1
Cell_37	5.81347e-34	7.51362e-28	2.28977e-13	1
Cell_38	1.34523e-35	2.20379e-22	0.000412682	0.999587
Cell_39	1.19982e-30	1.34419e-18	1.39063e-16	1
Cell_40	4.78361e-45	7.59634e-15	1	7.0872e-08
Cell_41	2.3527e-48	2.41765e-40	2.34599e-26	1
Cell_42	2.55598e-56	1.02777e-39	1.24518e-34	1
Cell_43	2.56581e-16	2.14544e-10	2.30913e-05	0.999977
Cell_44	6.6058e-31	3.49194e-22	1	1.36088e-15
Cell_45	3.64958e-101	3.2868e-78	1.04713e-61	1
Cell_46	1.99923e-09	1.26317e-06	0.000133911	0.999865
Cell_47	9.58491e-44	8.27923e-23	1	1.01946e-16
Cell_48	7.26037e-25	2.00365e-21	0.0474715	0.952528
Cell_49	9.77752e-29	1.25823e-16	4.09744e-09	1
Cell_50	2.70106e-15	1.74969e-15	0.0107094	0.989291
Cell_51	5.19246e-33	1.03231e-20	2.11947e-17	1
Cell_52	8.81533e-29	9.26857e-25	5.09624e-07	0.999999
Cell_53	6.04114e-46	1.41195e-30	1	6.2998e-09
Cell_54	4.09205e-46	4.01233e-36	3.3168e-29	1
Cell_55	8.27004e-28	2.85501e-22	6.82646e-09	1
Cell_56	8.73899e-11	1.58834e-15	5.173e-05	0.999948
Cell_57	5.445e-18	1.66689e-16	0.320827	0.679173
Cell_58	0.775687	1.76007e-05	0.217632	0.00666329
Cell_59	4.59644e-45	3.18623e-30	1	2.00598e-19
Cell_60	0.996355	1.65261e-05	0.00169726	0.00193122
Cell_61	2.46467e-23	1.889e-21	0.999808	0.000192198
Cell_62	3.10398e-45	1.82236e-26	1	4.10618e-18
Cell_63	1.35852e-56	1.13282e-30	5.87572e-13	1
Cell_64	3.20046e-30	6.77586e-17	0.00497259	0.995027
Cell_65	5.46925e-76	1.54305e-79	1	1.01526e-59
Cell_66	9.49609e-20	2.32605e-10	0.980779	0.0192206
Cell_67	4.71195e-36	1.97922e-28	3.85193e-12	1
Cell_68	2.45161e-25	3.72525e-30	0.992088	0.00791209
Cell_69	9.4794e-24	3.31936e-14	1	9.29416e-09
Cell_70	2.50573e-15	1.27702e-19	5.326e-10	1
Cell_71	2.32698e-27	2.06222e-26	1.89336e-13	1
Cell_72	7.22732e-43	1.76914e-30	3.51509e-12	1
Cell_73	6.59151e-45	8.51587e-28	3.69506e-08	1
Cell_74	6.32119e-50	1.25319e-53	1.64858e-46	1
Cell_75	2.07824e-28	7.3063e-31	5.69312e-27	1
Cell_76	3.47763e-21	1.13106e-15	0.998238	0.00176248
Cell_77	5.73967e-39	4.78569e-29	9.47083e-25	1
Cell_78	1.11423e-25	8.67223e-10	0.0284093	0.971591
