cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6
Cell_0	1.17602e-41	1.09192e-12	1	8.49818e-41	1.55673e-13	3.81652e-14	6.93223e-12
Cell_1	5.72382e-31	2.12504e-13	1	4.81814e-29	9.54048e-14	2.33901e-14	4.24855e-12
Cell_2	2.42424e-28	0.339138	0.0133446	4.18132e-21	0.0777769	0.00312202	0.566619
Cell_3	1.53635e-30	0.000105654	3.67315e-06	1.49673e-25	0.999683	1.13713e-06	0.000206531
Cell_4	1.28239e-07	2.05784e-06	1.62885e-07	2.03123e-08	0.999989	4.85957e-08	8.82616e-06
Cell_5	3.30707e-25	4.64039e-11	1	1.59017e-15	6.18489e-12	1.51402e-12	2.75004e-10
Cell_6	4.88136e-72	3.06223e-05	0.0869547	1.69285e-37	3.93486e-06	0.912836	0.000175222
Cell_7	4.19568e-42	0.196675	0.0136477	5.50068e-36	0.0172505	0.00422926	0.768197
Cell_8	2.29871e-78	4.85281e-12	1	3.39731e-60	4.33702e-14	1.0633e-14	1.93135e-12
Cell_9	3.72747e-24	2.00154e-06	3.2978e-07	1.52383e-05	0.999964	1.05671e-07	1.87019e-05
Cell_10	4.96976e-51	0.291933	0.0118837	2.14829e-30	0.0152081	0.00372854	0.677247
Cell_11	9.89655e-40	0.486589	0.00874175	2.58777e-25	0.0110289	0.00270411	0.490936
Cell_12	1.96367e-28	0.000519238	0.998475	7.20789e-27	2.19904e-05	5.39187e-06	0.000978728
Cell_13	9.52276e-46	0.000882056	3.15895e-05	2.24035e-32	0.997277	9.90556e-06	0.00179923
Cell_14	7.03594e-27	0.0801946	0.0161301	2.84088e-24	0.0197449	0.00484097	0.879089
Cell_15	1.20927e-21	0.0128934	0.974367	6.77695e-18	0.000278304	6.82311e-05	0.0123934
Cell_16	6.73916e-23	0.631638	0.00618337	2.68047e-18	0.00791262	0.00193993	0.352326
Cell_17	5.27225e-39	0.295493	0.0118257	1.02583e-30	0.0151316	0.00371136	0.673838
Cell_18	5.50594e-33	0.553866	0.00750142	1.98133e-23	0.00958223	0.00234918	0.426701
