cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_0	8.51558e-46	1.64714e-40	4.73641e-11	1.61458e-12	1.33549e-11	1	8.70906e-39	1.61694e-12
Cell_1	1.77196e-30	5.3001e-30	3.57786e-11	1.03643e-12	8.57274e-12	1	3.84031e-34	1.2214e-12
Cell_2	1.12828e-40	2.61914e-29	0.697438	0.0167548	0.138582	0.00168905	1.60302e-18	0.145536
Cell_3	1.03388e-30	2.23485e-30	0.00013584	3.21481e-05	0.00026591	2.48095e-06	9.95192e-27	0.999564
Cell_4	9.31674e-12	3.33563e-07	5.80583e-06	9.66063e-07	7.9907e-06	7.72065e-08	8.64e-12	0.999985
Cell_5	1.1211e-34	5.95697e-25	3.32026e-10	6.70868e-11	5.54904e-10	1	1.06158e-25	1.13519e-11
Cell_6	1.47427e-84	4.12273e-75	6.01503e-08	0.000491338	1.05827e-07	0.999508	1.7158e-62	2.05345e-09
Cell_7	1.33369e-45	2.7676e-42	0.432541	0.0591209	0.489014	0.00455789	5.83793e-17	0.014766
Cell_8	7.57892e-84	1.22709e-78	2.14129e-12	4.7115e-13	3.89708e-12	1	3.8814e-68	7.30992e-14
Cell_9	1.98499e-26	2.51708e-23	1.23016e-05	6.80995e-06	5.6268e-05	5.21316e-07	1.98364e-27	0.999924
Cell_10	5.0811e-56	7.06146e-51	0.254425	0.0788317	0.652051	0.00600681	1.09328e-54	0.00868549
Cell_11	1.81968e-43	1.68375e-39	0.0851395	0.0975504	0.806866	0.00753676	8.26464e-27	0.00290765
Cell_12	1.07417e-28	5.13881e-28	0.000734939	0.000238413	0.00197197	0.99703	6.71558e-09	2.51031e-05
Cell_13	5.39482e-54	1.23934e-45	0.00118276	0.000234564	0.00194018	1.7883e-05	2.684e-39	0.996625
Cell_14	5.21933e-27	3.43326e-26	0.160943	0.0891431	0.737333	0.00708541	3.93417e-20	0.00549539
Cell_15	1.77882e-26	2.66594e-21	0.01047	0.00298342	0.0246771	0.961512	1.88981e-10	0.000357423
Cell_16	1.33744e-23	3.57936e-23	0.561665	0.0448414	0.370901	0.00341736	6.92198e-28	0.019176
Cell_17	3.83628e-44	5.65247e-39	0.168544	0.0883341	0.730637	0.00673184	4.04841e-24	0.00575371
Cell_18	1.96437e-38	5.28142e-33	0.566499	0.0443059	0.366474	0.00338199	8.48902e-23	0.0193396
Cell_19	5.62292e-53	9.27682e-45	1.17103e-27	4.1278e-28	3.41425e-27	1	7.25171e-40	3.99835e-29
Cell_20	4.0023e-37	8.86055e-31	0.493311	0.0524034	0.433451	0.00399314	5.46828e-24	0.0168413
Cell_21	1.5949e-37	2.75452e-27	3.04694e-08	3.14373e-09	2.60031e-08	1	1.46397e-25	1.04017e-09
Cell_22	2.96051e-41	1.59956e-29	3.74032e-06	0.929185	8.0005e-06	0.0708032	8.26589e-30	1.27706e-07
Cell_23	5.43122e-07	0.982908	0.00408445	0.00136004	0.0112495	0.000112394	0.000145525	0.000139435
Cell_24	8.55862e-23	8.60653e-13	0.624856	0.0378503	0.313076	0.00288596	5.20304e-12	0.021332
Cell_25	3.54219e-35	5.31424e-22	0.395683	0.0632042	0.522789	0.00481624	1.18465e-16	0.0135077
Cell_26	1.11678e-43	6.42913e-33	3.42243e-06	0.114395	1.14738e-06	0.8856	1.02617e-36	1.16835e-07
Cell_27	3.26192e-22	6.7064e-21	0.260841	0.0773204	0.632416	0.00657189	7.26006e-18	0.0228511
Cell_28	9.9199e-30	2.51394e-28	0.342504	0.00144329	0.011938	0.632415	1.73981e-20	0.0116998
Cell_29	4.93014e-31	1.83715e-30	3.6882e-10	5.81494e-10	9.43654e-11	4.43109e-11	7.64007e-29	1
Cell_30	1.27757e-32	4.81982e-25	0.0258437	0.0069772	0.0577066	0.902272	4.10561e-17	0.00720032
Cell_31	1.3005e-29	2.35372e-23	0.287327	0.0751885	0.621916	0.00575977	1.25754e-13	0.00980872
Cell_32	1.49684e-25	5.01405e-23	0.000161941	5.45555e-05	0.000450908	0.999327	7.51909e-18	5.54369e-06
Cell_33	6.74673e-36	2.87007e-31	4.98892e-06	3.62195e-08	2.99587e-07	0.999995	4.54607e-22	1.70324e-07
Cell_34	5.55259e-52	1.46375e-49	5.37075e-19	0.929192	3.50276e-19	0.0708079	2.61474e-47	1.83346e-20
Cell_35	1.53045e-33	1.46699e-24	0.217058	0.0813696	0.673024	0.0203187	1.83937e-20	0.00822919
Cell_36	1.96795e-42	8.08453e-42	0.503183	0.051311	0.424416	0.00391062	4.22221e-20	0.0171794
Cell_37	8.00596e-62	4.93711e-46	0.604841	0.0315925	0.261307	0.00244022	8.16545e-26	0.0998193
Cell_38	1.95193e-50	3.8667e-49	2.68173e-09	5.87962e-10	4.86329e-09	1	1.42667e-35	9.15484e-11
Cell_39	7.99847e-34	1.50009e-29	0.0782819	0.0983185	0.813235	0.00749231	1.43232e-19	0.00267237
Cell_40	3.42782e-59	3.69961e-49	0.612887	0.0391742	0.324026	0.00298896	1.62796e-49	0.0209231
Cell_41	2.02084e-69	6.80262e-59	0.209474	0.0838046	0.693184	0.00638689	7.29482e-27	0.00715107
Cell_42	9.40529e-65	9.74485e-58	0.3982	0.0629258	0.520485	0.00479577	1.11719e-26	0.0135937
Cell_43	7.9766e-19	1.27746e-17	0.131936	0.0422309	0.349306	0.0907754	3.98577e-15	0.385751
Cell_44	3.22155e-51	4.09159e-44	1.79151e-10	0.865832	9.75913e-11	0.134168	7.03352e-45	6.11583e-12
Cell_45	7.06347e-115	1.39925e-113	0.210338	0.0837091	0.692394	0.00637843	2.53231e-44	0.00718046
Cell_46	2.7802e-12	4.15798e-09	0.374391	0.0655445	0.541992	0.00520971	1.6878e-10	0.012862
Cell_47	8.3228e-56	2.12838e-46	0.123338	0.0933315	0.771985	0.0071354	8.62462e-48	0.00421049
Cell_48	1.3381e-47	6.94292e-42	0.853765	0.0120454	0.0996325	0.00541083	1.89975e-28	0.0291458
Cell_49	1.61334e-33	8.33398e-33	0.29271	0.0745902	0.61696	0.00574525	1.54552e-24	0.00999534
Cell_50	1.78506e-30	6.27799e-25	0.477894	0.0541087	0.447557	0.00412689	1.18456e-17	0.0163142
Cell_51	8.00764e-38	9.77482e-33	1.01138e-05	7.01459e-07	5.80179e-06	0.999983	8.87252e-20	3.45706e-07
Cell_52	7.70833e-51	1.49372e-44	0.423278	0.495255	0.0292781	0.0377397	5.31441e-28	0.01445
Cell_53	1.84214e-66	2.36404e-64	0.47295	0.054656	0.452084	0.00416476	2.8661e-50	0.0161459
Cell_54	9.29364e-57	1.39747e-49	0.0757475	0.0985996	0.815532	0.0075354	1.05587e-21	0.00258585
Cell_55	4.69457e-44	8.95312e-38	0.171325	0.0787455	0.651338	0.0927429	1.28794e-23	0.00584865
Cell_56	2.18391e-27	5.07873e-18	0.270639	0.0770203	0.637068	0.00603336	1.13056e-10	0.00923905
Cell_57	2.1092e-41	1.11124e-29	0.102294	0.0956621	0.791262	0.00728974	1.40919e-21	0.00349213
Cell_58	4.70656e-13	0.813164	0.0478061	0.0146908	0.121513	0.00115	4.39718e-05	0.00163201
Cell_59	6.05959e-56	2.42564e-52	0.26253	0.0779349	0.644633	0.00593915	3.1093e-49	0.0089622
Cell_60	2.1751e-19	0.98483	0.0129511	0.000188047	0.00155542	1.43289e-05	1.85299e-05	0.000442123
Cell_61	5.5855e-40	3.5855e-36	0.0392996	0.0197171	0.162876	0.776727	8.78583e-27	0.00138069
Cell_62	6.15775e-63	5.76932e-51	0.163531	0.0856821	0.708602	0.0365835	2.71955e-49	0.00560226
Cell_63	9.8438e-78	1.26786e-71	2.98674e-19	3.90677e-21	3.23146e-20	2.97787e-22	3.45507e-49	1
Cell_64	2.23293e-44	4.92416e-41	0.00263868	0.000110574	0.000914603	0.000520766	1.02567e-31	0.995815
Cell_65	1.43591e-102	4.14455e-92	0.241898	0.0169682	0.140351	0.592525	2.66397e-79	0.00825786
Cell_66	4.49614e-30	1.33067e-24	0.449217	0.0572817	0.473801	0.00436474	4.81385e-24	0.0153353
Cell_67	6.45903e-50	1.4286e-49	0.297664	0.0740481	0.612484	0.00564261	7.86213e-29	0.0101616
Cell_68	1.19623e-55	4.8058e-49	0.278249	0.0761958	0.630248	0.00580792	2.84991e-29	0.00949892
Cell_69	5.97952e-37	5.83818e-26	0.194185	0.0240587	0.199	0.00183359	9.685e-28	0.580923
Cell_70	1.64378e-22	4.2038e-22	0.522974	0.0491213	0.406304	0.00374763	2.00598e-10	0.0178532
Cell_71	9.2263e-42	5.48174e-37	0.511155	0.0361961	0.299394	0.135806	1.10179e-18	0.0174497
Cell_72	1.42429e-66	1.30014e-57	1.35709e-07	1.0019e-08	8.28713e-08	7.63427e-10	1.73412e-35	1
Cell_73	2.72602e-63	5.55907e-61	0.510453	0.0505071	0.417765	0.00384858	7.82021e-42	0.0174261
Cell_74	3.08208e-54	6.1055e-53	0.0797338	0.0981573	0.811901	0.00748622	3.26674e-08	0.00272198
Cell_75	4.52562e-28	9.84855e-28	0.00343001	0.00254737	0.0210698	0.97282	1.55927e-05	0.000117163
Cell_76	4.48914e-44	2.74014e-30	0.425691	0.0570491	0.471878	0.00434712	1.86641e-25	0.0410345
Cell_77	1.75332e-41	2.75932e-39	3.81101e-10	1.5445e-10	1.27753e-09	1	2.59621e-18	1.301e-11
Cell_78	1.70431e-39	2.82518e-30	0.390027	0.0638264	0.527936	0.00486601	2.17911e-28	0.0133445
Cell_79	2.80539e-66	1.69284e-57	2.0663e-11	5.60107e-13	4.63242e-12	4.26811e-14	4.40631e-58	1
Cell_80	9.72826e-79	6.8309e-67	0.431931	0.0593023	0.48949	0.00452973	1.46919e-26	0.0147469
Cell_81	1.42596e-39	1.93094e-28	0.169788	0.0881944	0.729493	0.00672748	7.07821e-24	0.00579628
Cell_82	8.65577e-70	4.34476e-63	1.9146e-09	2.33058e-10	1.92772e-09	1	9.0291e-55	6.53601e-11
Cell_83	9.25276e-55	2.332e-48	1.27256e-06	9.60324e-09	7.94325e-08	0.999944	8.62519e-44	5.50362e-05
Cell_84	1.23177e-11	2.81782e-11	0.277831	0.0762425	0.630631	0.00580993	6.53429e-15	0.0094858
Cell_85	7.11077e-22	2.5665e-18	0.00618376	0.00193226	0.0159824	0.000192089	1.3953e-16	0.975709
Cell_86	1.12888e-38	2.43801e-38	0.441682	0.0581145	0.48069	0.00443531	5.99574e-41	0.0150781
Cell_87	7.44871e-29	6.47065e-28	0.113827	0.094397	0.780679	0.00721084	4.10997e-14	0.00388583
Cell_88	2.68386e-16	9.03464e-13	0.165766	0.0817409	0.676107	0.0631108	0.00761538	0.00565996
Cell_89	9.69716e-14	2.30454e-13	0.120571	0.0937159	0.774322	0.0072184	5.25087e-05	0.00412014
Cell_90	1.0822e-24	2.5648e-22	0.761398	0.0227416	0.188105	0.00176175	1.00681e-22	0.0259929
Cell_91	1.32939e-44	9.72926e-41	0.508566	0.0507158	0.419492	0.00386448	9.07985e-15	0.0173614
Cell_92	1.20568e-52	2.65224e-40	3.60673e-07	5.43579e-08	4.49617e-07	0.999999	1.16441e-21	1.2313e-08
Cell_93	2.05549e-65	9.24453e-62	4.48113e-11	1.50965e-11	1.24869e-10	1.15987e-12	1.1819e-38	1
Cell_94	4.7797e-37	4.26346e-30	0.236652	0.0794485	0.657143	0.0183312	1.48863e-33	0.00842539
Cell_95	6.64775e-43	7.08971e-33	0.709083	0.0285323	0.236003	0.00217423	8.86914e-15	0.0242079
Cell_96	1.11762e-37	7.29286e-35	0.715098	0.027867	0.2305	0.00212345	3.58208e-19	0.0244118
Cell_97	5.22302e-61	5.26178e-54	3.61099e-15	1.19821e-15	9.9109e-15	1	3.29388e-26	1.23275e-16
Cell_98	1.20393e-58	1.31311e-55	0.00225349	0.00170821	0.0141293	0.000130472	6.16927e-48	0.981778
Cell_99	1.67841e-48	3.18556e-44	0.620103	0.0383764	0.317427	0.00292421	1.16808e-21	0.0211691
Cell_100	2.38441e-51	1.30527e-49	7.0303e-05	8.35843e-07	6.91362e-06	0.99992	1.48332e-37	2.39999e-06
Cell_101	1.35628e-50	4.5759e-50	0.0500368	0.175086	0.720102	0.0133424	1.76518e-54	0.0414324
Cell_102	4.97432e-37	3.29296e-34	0.639844	0.0326028	0.269672	0.0360383	2.11287e-30	0.0218429
Cell_103	2.8768e-08	0.00016058	0.514389	0.0500543	0.414021	0.00381476	7.10115e-09	0.0175601
Cell_104	2.23494e-28	1.67808e-27	0.316297	0.0560971	0.457386	0.144928	3.29862e-28	0.0252924
Cell_105	4.54774e-42	1.1781e-32	0.0622137	0.861084	0.00896201	0.065616	9.80774e-31	0.00212384
Cell_106	9.39973e-53	2.8262e-46	0.261812	0.0780101	0.645255	0.0059854	7.42474e-38	0.0089377
Cell_107	0.107931	0.891097	0.000270711	7.32602e-05	0.000605965	5.61588e-06	7.87717e-06	9.24206e-06
Cell_108	1.65009e-59	3.50588e-57	0.598318	0.0407864	0.337362	0.00310788	7.10001e-32	0.0204253
Cell_109	3.67676e-32	1.42474e-26	0.218322	0.0379991	0.314301	0.36718	1.01189e-10	0.062198
Cell_110	5.02065e-85	2.38357e-70	1.6883e-07	0.929178	2.96678e-07	0.0708219	3.53867e-42	5.76352e-09
Cell_111	4.67305e-39	1.41314e-35	0.24643	0.0797162	0.659367	0.00607423	2.27665e-32	0.00841258
Cell_112	1.01627e-61	1.65246e-49	1.45177e-24	1.04249e-24	8.62285e-24	8.18544e-26	3.64551e-53	1
Cell_113	5.0455e-58	1.60928e-53	8.0791e-12	2.08366e-14	1.72349e-13	1.5877e-15	1.00166e-39	1
Cell_114	2.19461e-76	6.54044e-69	1.69507e-18	1.66904e-19	1.38054e-18	1.27231e-20	1.86734e-59	1
Cell_115	1.10078e-26	8.08019e-24	0.0429641	0.00850155	0.0703088	0.000946336	2.3371e-22	0.877279
Cell_116	1.8293e-53	1.35176e-45	2.29909e-16	2.28946e-16	1.89371e-15	1	1.46318e-29	7.84859e-18
Cell_117	3.81193e-36	1.14172e-23	0.386711	0.0641954	0.530988	0.00490451	3.4836e-28	0.0132015
Cell_118	1.43387e-42	3.46858e-31	0.393052	0.0706881	0.517427	0.00541502	9.01333e-31	0.0134179
Cell_119	1.25889e-62	9.85058e-51	2.13394e-07	0.929186	1.97167e-08	0.0708142	5.30899e-48	7.31772e-09
Cell_120	2.7397e-68	5.42726e-67	5.90564e-05	9.47347e-06	7.83592e-05	0.999851	9.41929e-43	2.01606e-06
Cell_121	4.97436e-70	1.54534e-61	0.333439	0.0700902	0.579746	0.00534163	2.42308e-58	0.0113829
Cell_122	3.6438e-53	3.70948e-40	0.210368	0.0837057	0.692366	0.0063785	6.64123e-42	0.00718151
Cell_123	1.06069e-18	1.34282e-14	0.24641	0.0797143	0.659351	0.00611321	1.62912e-16	0.00841217
Cell_124	3.24106e-26	2.54082e-18	0.267476	0.0773811	0.640051	0.00596022	1.13788e-16	0.00913165
Cell_125	2.41065e-26	1.73848e-25	0.361078	0.0670323	0.554453	0.00510995	5.31998e-26	0.0123268
Cell_126	9.48929e-34	3.21624e-33	0.503446	0.0511835	0.423357	0.00482411	5.02372e-21	0.0171894
Cell_127	9.76952e-35	1.01474e-30	0.000408791	0.000164743	0.00136238	1.32505e-05	3.36338e-23	0.998051
Cell_128	4.10315e-98	8.30826e-94	5.71306e-09	3.81944e-10	3.15923e-09	2.75061e-09	1.08773e-64	1
Cell_129	2.83902e-40	7.59202e-31	0.155002	0.0898308	0.74303	0.00684605	3.87793e-32	0.00529143
Cell_130	9.8689e-45	8.77122e-40	0.0817597	0.097933	0.810046	0.00747056	7.06936e-24	0.0027911
Cell_131	1.92854e-47	5.79337e-41	0.330242	0.0763733	0.314111	0.00581999	8.98939e-44	0.273453
Cell_132	1.29946e-87	2.80654e-87	0.234083	0.0810822	0.670666	0.00617837	2.84714e-49	0.00799107
Cell_133	1.08272e-56	5.21921e-49	1.20602e-13	1.69143e-15	1.39905e-14	1.28909e-16	9.64011e-43	1
Cell_134	2.83991e-09	1.25933e-07	0.314826	0.072147	0.596739	0.00553287	1.64734e-10	0.0107554
Cell_135	2.3846e-39	6.2203e-29	0.444968	0.0577316	0.477523	0.00458657	2.84658e-21	0.0151902
Cell_136	1.3936e-59	4.34174e-50	0.08885	0.0971494	0.803564	0.007403	4.21061e-19	0.00303315
Cell_137	2.29979e-25	4.96927e-25	0.359875	0.0504372	0.417187	0.160215	5.63158e-18	0.0122855
Cell_138	2.51082e-32	9.22316e-27	0.540355	0.15135	0.278315	0.011533	5.75805e-20	0.0184466
Cell_139	0.274255	0.723463	0.000375987	0.000200247	0.00165632	1.52672e-05	2.14738e-05	1.28368e-05
Cell_140	9.73128e-43	2.1055e-42	0.575472	0.0433133	0.358258	0.00330401	2.85436e-27	0.019652
Cell_141	1.88406e-45	4.07263e-45	0.105846	0.0523167	0.432734	0.40549	1.76971e-41	0.00361335
Cell_142	5.66716e-30	1.47784e-26	0.303667	0.0733838	0.606986	0.00559557	1.72059e-23	0.0103678
Cell_143	1.9676e-54	2.47588e-43	0.362813	0.0668406	0.552867	0.0050933	1.29391e-34	0.0123856
Cell_144	8.74925e-35	1.73012e-31	0.149579	0.090429	0.747977	0.00690864	1.54561e-32	0.00510631
Cell_145	1.74301e-38	8.33005e-31	0.267287	0.0767891	0.635155	0.0116439	1.7096e-24	0.00912459
Cell_146	3.13383e-118	1.07851e-112	0.379482	0.0649965	0.537614	0.00495307	1.67814e-54	0.0129547
Cell_147	3.94512e-32	5.89392e-26	0.707059	0.0287563	0.237855	0.0021916	3.86135e-30	0.0241376
Cell_148	4.38394e-62	9.46794e-62	2.72003e-17	6.24026e-18	5.16159e-17	1	4.75021e-45	9.28559e-19
Cell_149	7.0778e-47	1.54772e-37	0.160341	0.089238	0.738126	0.00682215	3.83128e-37	0.00547371
Cell_150	1.01739e-37	1.80597e-29	0.0672872	0.099534	0.823288	0.0075934	5.51801e-24	0.00229704
Cell_151	2.97014e-37	6.44932e-37	0.10237	0.0956535	0.791191	0.00729081	9.55459e-31	0.00349467
Cell_152	1.73146e-44	4.63881e-30	0.0597064	0.0992478	0.82092	0.00756494	0.0105227	0.00203832
Cell_153	1.2442e-19	3.19015e-09	0.411651	0.0614375	0.508175	0.00468322	7.22554e-13	0.0140532
Cell_154	4.56568e-43	8.39802e-42	0.356563	0.0675312	0.558577	0.00515488	8.89682e-35	0.0121732
Cell_155	3.03675e-80	9.94023e-79	4.30182e-14	1.57329e-14	1.30134e-13	1.19895e-15	4.13409e-53	1
Cell_156	3.53932e-56	4.88706e-42	0.214399	0.0832566	0.688651	0.00637425	1.05277e-35	0.00731912
Cell_157	7.66089e-43	1.97461e-42	1.98643e-06	1.6417e-06	1.35792e-05	0.999983	3.21219e-37	6.7813e-08
Cell_158	6.22152e-16	0.997299	0.000407269	0.000242674	0.00200726	1.85112e-05	1.15111e-05	1.39033e-05
Cell_159	1.30467e-47	4.4967e-45	9.75836e-06	5.15193e-06	4.26139e-05	3.92667e-07	1.136e-28	0.999942
Cell_160	2.05035e-53	6.96399e-48	8.34742e-13	1.17167e-14	9.68918e-14	9.31288e-16	9.41797e-48	1
Cell_161	2.77125e-55	3.45845e-45	2.83949e-08	0.929195	2.46145e-07	0.070805	1.18166e-22	9.70305e-10
Cell_162	3.95389e-69	4.93659e-57	0.113088	0.0944682	0.781383	0.00719988	1.41964e-45	0.00386094
Cell_163	4.8901e-17	0.997848	0.000393417	0.000185399	0.00153352	1.42559e-05	1.22775e-05	1.34304e-05
Cell_164	1.42328e-10	0.999378	8.39736e-05	5.65553e-05	0.000467793	4.30972e-06	6.0833e-06	2.86669e-06
Cell_165	1.80747e-49	1.84942e-44	0.00454613	0.0011235	0.00929294	8.57473e-05	3.74228e-46	0.984952
Cell_166	3.05095e-59	6.64336e-59	0.106111	0.0952364	0.787741	0.00728886	3.16208e-56	0.00362239
Cell_167	4.95944e-17	2.07446e-11	0.60676	0.0398514	0.329616	0.00304152	8.63463e-10	0.0207311
Cell_168	1.83861e-60	2.57684e-47	0.540239	0.0471976	0.390391	0.00372942	6.46697e-29	0.0184432
Cell_169	9.59156e-35	1.28672e-29	0.310338	0.0726451	0.600876	0.00554731	1.08305e-29	0.0105943
Cell_170	6.21236e-06	0.991209	0.00559178	0.000316791	0.00262031	3.12009e-05	3.40746e-05	0.000190895
