cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_2166	1.91154e-20	1.17103e-06	6.02673e-05	1.87676e-06	4.87531e-06	0.000907286	1.15935e-14	2.96714e-06	8.60968e-29	1.68028e-05	0.999005
Cell_2167	9.58303e-23	7.00862e-05	0.0186597	0.000581077	0.00102059	0.00624677	6.09831e-08	0.026499	0.936847	0.0100757	9.80816e-20
Cell_2168	0.000136118	0.00184602	0.015729	0.000549707	0.00116953	0.0905358	0.0202573	0.00568785	0.000827948	0.0273397	0.835921
Cell_2169	1.50281e-29	3.51808e-05	0.00509792	0.000104583	0.00028394	0.00987368	5.45638e-10	1.57189e-05	8.50305e-31	0.0111785	0.97341
Cell_2170	2.82491e-27	2.44435e-06	0.000712379	1.45408e-05	9.33095e-05	0.00185447	1.66919e-05	4.9161e-05	0.980267	0.000501266	0.0164883
Cell_2171	1.42556e-07	0.998249	9.08935e-17	1.85258e-18	4.10833e-18	1.01837e-17	0.00175119	2.89308e-18	4.00724e-17	6.93521e-16	1.07844e-21
Cell_2172	5.09208e-28	0.00020294	0.000716934	1.46639e-05	4.78048e-05	0.00190811	5.89079e-11	0.000807613	1.20221e-10	0.0110608	0.985241
Cell_2173	7.92409e-29	3.68793e-06	0.00127754	2.72055e-05	6.98751e-05	0.00216255	7.33618e-13	2.69805e-06	3.28959e-17	0.00177416	0.994682
Cell_2174	6.70144e-43	2.50065e-06	0.000312682	6.48249e-06	5.56773e-05	0.000963074	2.49893e-16	8.48375e-05	0.998306	0.000268544	4.79982e-16
Cell_2175	5.23627e-21	7.09904e-06	0.000790074	1.72052e-05	0.000207885	0.00312798	4.84778e-05	0.00482435	0.0239299	0.000631783	0.966415
Cell_2176	3.00707e-30	0.00513044	0.0836781	0.00170296	0.00393283	0.0559873	4.92929e-05	0.0843527	5.66183e-13	0.765166	2.93783e-11
Cell_2177	4.43415e-43	9.07168e-06	0.00429891	0.000150241	0.000196475	0.00210789	1.05509e-19	0.000349335	3.58031e-18	0.00258796	0.9903
Cell_2178	1.12408e-34	3.00684e-07	0.000211285	4.28792e-06	0.194789	2.30835e-05	8.15103e-10	0.80485	2.56955e-10	6.45458e-05	5.73339e-05
Cell_2179	6.34219e-42	4.70314e-05	0.000375957	7.68663e-06	1.67412e-05	0.000759523	1.08388e-10	8.05679e-05	0.995607	0.00310515	6.48398e-10
Cell_2180	4.01187e-47	1.83065e-06	9.60889e-05	1.96221e-06	4.43074e-06	0.000300711	8.47433e-18	1.15606e-06	0.999113	0.000480859	8.21084e-32
Cell_2181	3.0281e-31	5.9918e-06	0.000312744	6.36617e-06	1.38174e-05	0.000238479	1.09944e-11	1.15858e-06	0.998056	0.00136551	2.89675e-21
Cell_2182	2.76009e-25	2.36491e-05	0.00693963	0.000141234	0.000323019	0.0107952	8.23953e-05	4.39624e-06	0.5365	0.00301316	0.442177
Cell_2183	1.92941e-12	2.20271e-05	7.6454e-05	1.55932e-06	4.18164e-06	0.000442921	2.87138e-10	0.000201569	0.999204	4.76068e-05	4.8561e-21
Cell_2184	2.50064e-20	1.77752e-05	0.0032373	6.63557e-05	0.000155577	0.00776245	6.19301e-05	0.00125447	0.540444	0.00157231	0.445428
Cell_2185	2.95681e-40	5.09845e-05	0.00929081	0.000188878	0.000410587	0.00763697	0.000348162	3.82056e-05	0.959489	0.00640739	0.0161388
Cell_2186	4.64117e-14	0.000460106	0.00508509	0.000111879	0.000905471	0.00470694	0.00314196	0.00408167	0.940764	0.024919	0.0158238
Cell_2187	2.9805e-61	5.38396e-10	1.59329e-08	3.24257e-10	0.616387	1.50496e-08	2.05507e-23	0.383613	2.25581e-20	8.22348e-08	1.23395e-18
Cell_2188	8.66826e-21	0.000963525	0.0137733	0.000289194	0.00120894	0.0160805	0.0344831	2.3656e-05	0.723548	0.20963	1.14286e-11
Cell_2189	2.55734e-24	2.69991e-07	7.44053e-05	1.65535e-06	3.9138e-06	0.000710905	3.09323e-14	7.46145e-07	0.999152	5.59594e-05	2.78377e-14
Cell_2190	5.15802e-36	6.76934e-06	0.000479023	9.90225e-06	4.93922e-05	0.000359886	1.88424e-10	0.00271628	0.996162	0.000216892	2.33553e-10
Cell_2191	1.11281e-16	0.00230596	1.22143e-06	2.51706e-08	7.02306e-08	6.78263e-07	0.99759	7.38075e-08	1.73561e-15	0.000101565	4.45006e-14
Cell_2192	6.26874e-28	0.000548914	0.225637	0.00467298	0.19081	0.00530449	2.27604e-08	0.453335	0.0114713	0.10822	2.05429e-09
Cell_2193	8.78926e-35	4.29392e-07	3.03567e-05	6.35153e-07	0.0267205	1.60865e-05	3.21074e-09	0.893504	0.0796737	5.39445e-05	3.50497e-16
Cell_2194	4.13884e-34	0.000164021	0.00333024	7.6596e-05	0.000343382	0.0151697	0.00387108	0.018795	0.952744	0.00550572	2.73633e-07
