cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_3223	0.355723	0.0157781	0.00939897	0.619053	4.65084e-05
Cell_3224	0.00950377	0.286268	0.0268317	0.677263	0.000133508
Cell_3225	0.164981	0.506318	0.114482	0.213681	0.000538862
Cell_3226	0.238212	0.223561	0.00927302	0.528909	4.47991e-05
Cell_3227	1.44685e-05	0.293709	0.0113532	0.694868	5.52077e-05
Cell_3228	8.39785e-05	0.027174	0.140465	0.831617	0.00065993
Cell_3229	0.789958	0.055754	0.0222795	0.131905	0.000103919
Cell_3230	0.0062082	0.29183	0.0114853	0.690421	5.53052e-05
Cell_3231	2.27315e-08	0.013915	0.014968	0.971047	6.98498e-05
Cell_3232	3.72536e-08	0.0257047	0.0148948	0.959331	6.90921e-05
Cell_3233	0.0929084	0.265247	0.0142445	0.62753	7.02404e-05
Cell_3234	0.565961	0.127422	0.00513048	0.30146	2.55192e-05
Cell_3235	0.00042056	0.293736	0.0108472	0.694929	6.73281e-05
Cell_3236	2.48172e-05	0.0992744	0.0343178	0.86622	0.000163504
Cell_3237	5.67172e-17	0.293959	0.0105318	0.695459	4.97277e-05
Cell_3238	8.31347e-09	0.0003979	0.993406	0.00147589	0.00472025
Cell_3239	0.000299648	0.322648	0.0116648	0.665331	5.67384e-05
Cell_3240	3.16172e-09	0.291769	0.0178696	0.690278	8.34351e-05
Cell_3241	0.00702146	0.217692	0.0133573	0.761867	6.2149e-05
Cell_3242	6.89266e-17	1.11516e-09	0.995244	4.92657e-09	0.00475632
Cell_3243	0.000620159	0.00116157	0.01488	0.983267	7.1652e-05
Cell_3244	8.9089e-07	0.290736	0.0213182	0.687833	0.000111995
Cell_3245	0.731263	0.152352	0.00293654	0.113435	1.39202e-05
Cell_3246	1.04851e-08	0.0480292	0.0192313	0.932649	9.04025e-05
Cell_3247	0.000293598	0.943238	0.000840757	0.0556241	3.9231e-06
Cell_3248	0.322859	0.19902	0.00723774	0.470849	3.36451e-05
Cell_3249	1.84735e-08	0.0650291	0.0161085	0.918787	7.54169e-05
Cell_3250	2.06578e-08	0.138297	0.0138559	0.847781	6.62179e-05
Cell_3251	4.25329e-06	0.812798	0.00322427	0.183949	2.52179e-05
Cell_3252	1.86753e-06	0.293865	0.0108459	0.695235	5.22263e-05
Cell_3253	3.32368e-22	0.00102425	0.0148914	0.984015	6.90308e-05
Cell_3254	3.98937e-06	0.242041	0.164713	0.592467	0.000774284
Cell_3255	2.91601e-11	0.182233	0.0126324	0.805075	5.90548e-05
Cell_3256	3.11833e-10	0.290705	0.0213159	0.687761	0.00021808
Cell_3257	0.0762257	0.271532	0.00978876	0.642399	5.52084e-05
Cell_3258	3.17032e-15	0.110272	0.0176655	0.87198	8.22166e-05
Cell_3259	0.961841	0.0112056	0.00044101	0.0265107	2.15866e-06
Cell_3260	5.60792e-08	0.209746	0.0122074	0.77799	5.67043e-05
Cell_3261	0.136988	0.252971	0.0114994	0.598488	5.37961e-05
Cell_3262	0.0894334	0.26239	0.0272727	0.620771	0.000132656
Cell_3263	0.941331	0.0171176	0.00104838	0.0404974	5.07187e-06
Cell_3264	0.083947	0.101446	0.0123651	0.802184	5.80574e-05
Cell_3265	0.873894	0.0367903	0.00225324	0.0870397	2.30525e-05
Cell_3266	1.9083e-11	0.292837	0.0142857	0.692804	7.38682e-05
Cell_3267	0.135323	0.253211	0.0123526	0.599055	5.83247e-05
Cell_3268	0.0669667	0.22192	0.0270919	0.683829	0.000192701
Cell_3269	2.7903e-06	0.00230885	0.0148605	0.982759	6.88631e-05
Cell_3270	0.425574	0.168485	0.00726817	0.398608	6.40406e-05
Cell_3271	0.00125632	0.293099	0.0121574	0.693424	6.27557e-05
Cell_3272	0.114922	0.0976889	0.0148425	0.772477	6.96894e-05
Cell_3273	0.00397806	0.291253	0.0156411	0.689055	7.30301e-05
Cell_3274	0.0239624	0.0318241	0.0149768	0.929156	8.02608e-05
Cell_3275	1.32228e-09	0.28006	0.0570984	0.662575	0.000266755
Cell_3276	0.113904	0.260258	0.0100633	0.615727	4.70776e-05
Cell_3277	0.903132	0.0283643	0.00138372	0.0671053	1.41566e-05
Cell_3278	1.17529e-15	0.265436	0.106069	0.627976	0.000519188
Cell_3279	0.213785	0.22723	0.0212981	0.537588	9.93901e-05
Cell_3280	0.0851569	0.268702	0.0103897	0.635703	4.83292e-05
Cell_3281	0.0740096	0.895186	0.000622291	0.0301789	2.904e-06
Cell_3282	0.02909	0.060839	0.131413	0.778025	0.000632794
Cell_3283	1.31299e-09	0.25012	0.0112682	0.738555	5.67992e-05
Cell_3284	0.0911145	0.00426476	0.890244	0.0100897	0.0042868
Cell_3285	0.629882	0.0880363	0.0107474	0.271278	5.64616e-05
Cell_3286	2.29104e-10	0.0480919	0.019229	0.93254	0.000139154
Cell_3287	1.49836e-23	0.0621039	0.0152272	0.922598	7.05456e-05
Cell_3288	0.344986	0.192417	0.00733764	0.455226	3.40437e-05
Cell_3289	5.36652e-14	0.293904	0.010718	0.695328	4.99304e-05
Cell_3290	0.000146609	0.288971	0.0270851	0.683657	0.000139812
Cell_3291	1.37821e-10	0.617408	0.0060686	0.376495	2.83516e-05
Cell_3292	0.264267	0.59708	0.00349814	0.135128	2.625e-05
Cell_3293	0.944334	0.0161842	0.00118671	0.0382892	5.54087e-06
Cell_3294	3.93521e-09	0.0116044	0.015003	0.973321	7.17001e-05
Cell_3295	0.000253361	0.0975409	0.130278	0.771307	0.000620698
Cell_3296	0.154038	0.646796	0.0029971	0.196154	1.53517e-05
Cell_3297	3.37835e-12	0.00312315	0.0379821	0.958713	0.000182158
Cell_3298	0.173743	0.229389	0.0539192	0.542696	0.000252439
Cell_3299	0.226117	0.227335	0.00866923	0.537838	4.03363e-05
Cell_3300	0.593076	0.187683	0.00344015	0.215784	1.64985e-05
Cell_3301	0.125803	0.255061	0.0156214	0.603433	8.20668e-05
Cell_3302	4.20028e-16	0.285956	0.0373468	0.676524	0.000173983
Cell_3303	0.949873	0.0145738	0.00106862	0.0344791	4.97209e-06
Cell_3304	2.76618e-09	0.293936	0.0106098	0.695405	4.93205e-05
Cell_3305	4.01324e-06	0.465698	0.00796458	0.526296	3.73338e-05
Cell_3306	0.776229	0.0597289	0.0226286	0.141309	0.00010526
Cell_3307	0.354995	0.03233	0.580241	0.0297286	0.00270523
Cell_3308	3.15203e-06	0.293124	0.0133246	0.693482	6.62771e-05
Cell_3309	4.35232e-09	0.000447317	0.989773	0.00105828	0.00872099
Cell_3310	1.29524e-19	0.148232	0.120479	0.713291	0.0179969
Cell_3311	2.38719e-11	7.21056e-08	5.67417e-10	2.49971e-08	1
Cell_3312	6.69381e-14	0.265442	0.106072	0.627992	0.000494143
Cell_3313	0.000159892	0.110729	0.0134593	0.87559	6.24909e-05
Cell_3314	7.81226e-05	0.565489	0.00675797	0.42764	3.43784e-05
Cell_3315	3.63512e-10	0.293768	0.0111713	0.695006	5.43236e-05
Cell_3316	8.83797e-07	0.432925	0.0121071	0.554911	5.61898e-05
Cell_3317	2.89236e-05	0.293816	0.0109849	0.695119	5.12374e-05
Cell_3318	0.00867437	0.0343802	0.0193314	0.937504	0.000109906
Cell_3319	0.585033	0.379211	0.000640234	0.0351123	3.36347e-06
Cell_3320	2.54371e-12	0.101433	0.0134475	0.885055	6.44591e-05
Cell_3321	1.23551e-13	0.292838	0.0142857	0.692806	7.04435e-05
Cell_3322	9.28243e-06	0.265433	0.106068	0.62797	0.000519183
Cell_3323	8.0664e-13	0.40281	0.0102889	0.586853	4.79218e-05
Cell_3324	3.17474e-08	0.293126	0.0133247	0.693487	6.18171e-05
Cell_3325	0.908417	0.0261812	0.00341936	0.0619404	4.21622e-05
Cell_3326	1.38146e-06	0.016102	0.0147997	0.969028	6.89313e-05
Cell_3327	3.71799e-19	0.00565889	0.0298872	0.964313	0.000140885
Cell_3328	0.000537037	0.0592406	0.433527	0.504649	0.00204697
Cell_3329	3.07186e-14	0.0109926	0.014705	0.974234	6.82077e-05
Cell_3330	1.55613e-12	0.563629	0.0166258	0.419653	9.15664e-05
Cell_3331	0.000136642	0.0185575	0.933064	0.0439038	0.00433829
Cell_3332	0.00027607	0.690392	0.00517594	0.304132	2.41315e-05
Cell_3333	0.131283	0.254817	0.0109924	0.602854	5.29317e-05
Cell_3334	1.51172e-08	0.000174672	0.0792935	0.920128	0.000403373
Cell_3335	0.000654199	0.285765	0.0373219	0.676071	0.000188127
Cell_3336	6.09902e-08	0.0905047	0.0140796	0.89535	6.55097e-05
Cell_3337	0.000217311	0.293109	0.0131561	0.693447	7.0504e-05
Cell_3338	1.23276e-11	0.292837	0.0142857	0.692804	7.37418e-05
Cell_3339	0.0317286	0.174294	0.0238648	0.770001	0.000111827
Cell_3340	5.8519e-07	7.02425e-05	0.991891	0.00338989	0.00464785
Cell_3341	1.10027e-09	0.958956	0.000613787	0.0404264	3.53769e-06
Cell_3342	1.62834e-16	0.356469	0.00961227	0.633874	4.47639e-05
Cell_3343	5.60207e-11	0.085804	0.0149578	0.899169	6.94657e-05
Cell_3344	0.00116783	0.265089	0.10593	0.627156	0.000657504
Cell_3345	1.62157e-06	0.293759	0.0112022	0.694985	5.22277e-05
Cell_3346	1.29929e-09	0.293893	0.0107529	0.695302	5.15429e-05
Cell_3347	1.53035e-24	0.291769	0.0178695	0.690276	8.57805e-05
Cell_3348	1.37136e-10	0.0125453	0.0170127	0.970361	8.10553e-05
