cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9
Cell_1794	1.15533e-06	0.00369749	1.9585e-08	0.97223	0.000355863	1.30385e-05	0.00299654	4.17123e-11	0.00154271	0.0191629
Cell_1795	1.70679e-06	0.0486233	0.000868888	8.07009e-07	0.00343247	0.000756194	0.712112	0.00020189	0.0535384	0.180464
Cell_1796	7.8084e-12	0.00109358	2.93182e-06	2.01735e-11	3.69574e-05	1.59333e-06	0.000666189	0.995994	0.000239293	0.00196594
Cell_1797	2.0529e-08	0.545101	1.28406e-09	0.170598	0.000271009	0.00095387	0.00128531	1.9851e-08	0.274974	0.00681699
Cell_1798	0.0184914	0.00994942	0.00226697	4.73152e-06	0.000390274	0.000651504	0.00523661	0.905104	0.0366736	0.0212319
Cell_1799	0.00269145	0.00271578	0.000168347	0.949616	1.20539e-05	0.000287165	0.000199094	0.0147886	0.0290508	0.000470414
Cell_1800	3.24944e-05	0.00142821	3.98367e-06	0.533856	2.11369e-06	6.7953e-06	1.54327e-05	0.463681	0.000870407	0.000103541
Cell_1801	1.73676e-14	0.471649	6.44236e-12	2.17302e-05	0.00440119	0.000795912	0.189478	1.81786e-13	0.0927578	0.240896
Cell_1802	2.40377e-10	0.00334522	1.35476e-06	3.44325e-06	9.64487e-06	2.31093e-06	9.13344e-05	0.9951	0.000911239	0.000535116
Cell_1803	4.51884e-09	3.75113e-05	2.16708e-07	2.76816e-07	1.3864e-07	1.17773e-07	1.30425e-06	0.999945	7.68537e-06	7.64144e-06
Cell_1804	0.967299	1.23461e-05	0.0264541	2.49485e-11	1.14723e-07	0.00617388	1.04747e-06	9.90422e-09	5.36097e-05	6.35882e-06
Cell_1805	5.70763e-05	0.000721099	1.56095e-06	0.998069	4.94326e-06	2.66265e-06	5.52173e-05	6.75908e-06	0.000808074	0.000273169
Cell_1806	0.975221	0.000181087	0.0108801	3.85588e-22	1.67443e-07	0.00132893	5.16456e-06	4.14326e-15	0.0123741	9.24986e-06
Cell_1807	9.76847e-13	0.000294518	2.67153e-14	0.999631	1.69122e-07	1.37758e-07	1.37686e-06	2.31024e-12	6.36626e-05	9.33904e-06
Cell_1808	5.42436e-06	0.0260009	0.000260134	2.56714e-05	0.000205699	0.000226395	0.00860657	0.940346	0.0133812	0.0109421
Cell_1809	0.96996	1.61921e-15	0.0265269	6.88726e-26	3.57678e-19	0.00351282	3.34728e-18	1.38977e-17	1.40208e-15	1.87633e-17
Cell_1810	1.28729e-16	0.000151071	1.87144e-18	0.995613	8.71396e-06	2.92974e-05	5.80854e-05	2.49397e-23	0.00374214	0.000397611
Cell_1811	3.82408e-08	0.000572941	1.8339e-06	8.84781e-06	1.26801e-06	1.59604e-06	1.02791e-05	0.998629	0.000709436	6.49347e-05
Cell_1812	3.33893e-17	2.31871e-05	3.7251e-19	0.999954	8.72252e-08	2.81839e-09	6.64861e-07	3.68112e-21	1.75296e-05	4.84246e-06
Cell_1813	7.26473e-09	0.366912	1.23151e-10	0.087388	0.00147807	0.00132672	0.0123874	1.21136e-14	0.469225	0.0612828
