cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_950	4.34459e-06	2.64391e-09	1.24173e-37	0.999995	4.39027e-07
Cell_951	0.349366	0.0104806	0.40595	0.232733	0.00147004
Cell_952	5.77204e-07	0.999999	5.07052e-28	1.00411e-08	5.83272e-08
Cell_953	0.8945	0.000780148	1.21072e-18	0.0143299	0.0903904
Cell_954	0.978845	0.000743723	5.19109e-23	0.0160103	0.00440071
Cell_955	6.30095e-12	1	5.53515e-33	1.08147e-13	2.69878e-14
Cell_956	0.894038	0.000719085	2.08531e-21	0.0148994	0.0903437
Cell_957	0.43272	0.0138011	0.502803	0.00694936	0.0437269
Cell_958	1.90365e-06	0.999998	1.7054e-29	3.19902e-08	8.55848e-09
Cell_959	7.7159e-06	7.71324e-09	1.04436e-23	0.999991	7.79702e-07
Cell_960	0.893972	0.000667798	1.93151e-23	0.0150229	0.0903371
Cell_961	7.76999e-06	0.999982	9.02843e-06	1.7701e-07	7.85168e-07
Cell_962	0.894559	0.000592831	2.61484e-26	0.0144521	0.0903964
Cell_963	0.893739	0.00105325	1.26467e-17	0.0148944	0.0903135
Cell_964	6.21846e-06	0.999986	7.22561e-06	1.02893e-07	6.28384e-07
Cell_965	3.25126e-22	2.44731e-25	1	5.74691e-24	1.77131e-24
Cell_966	1.60026e-23	6.27028e-25	1	2.51561e-25	8.71832e-26
Cell_967	1.64933e-11	5.36306e-13	1	1.09872e-11	1.66667e-12
Cell_968	0.892628	0.000719094	2.08203e-21	0.0164512	0.0902013
Cell_969	1.30604e-14	1	1.17003e-37	2.13621e-16	1.31977e-15
Cell_970	0.978317	0.000641493	7.14124e-28	0.0157115	0.00532994
Cell_971	5.06501e-06	4.10288e-09	4.44942e-27	0.999994	5.11826e-07
Cell_972	3.56339e-17	1.17279e-18	1	5.68483e-19	3.60085e-18
Cell_973	1.30072e-08	1	8.25327e-34	2.04473e-10	1.3144e-09
Cell_974	2.61738e-17	1	3.90419e-44	4.14578e-19	2.6449e-18
Cell_975	2.79798e-24	2.43344e-27	1	5.15669e-26	2.8274e-25
Cell_976	7.5691e-13	1	1.03249e-38	1.29972e-14	7.64868e-14
Cell_977	1.25656e-16	1.26886e-19	1	2.00859e-18	1.26977e-17
Cell_978	5.78658e-18	1	3.78548e-47	9.4054e-20	3.48831e-20
Cell_979	9.33592e-13	1	1.0848e-12	1.46702e-14	9.43407e-14
Cell_980	2.49186e-05	2.17874e-08	5.81218e-26	4.05675e-07	0.999975
Cell_981	4.24778e-11	1	4.93575e-11	6.84088e-13	1.76141e-13
Cell_982	0.337059	0.0126968	0.391649	0.224535	0.0340603
Cell_983	1.00249e-18	9.91682e-22	1	1.58971e-20	1.01303e-19
Cell_984	0.977428	0.000694303	3.04372e-25	0.0165524	0.0053251
Cell_985	7.11702e-12	1	1.66002e-32	1.12859e-13	3.4473e-14
Cell_986	3.25255e-14	1	3.77934e-14	5.10574e-16	3.28675e-15
Cell_987	1.39255e-08	1	2.44895e-28	2.2364e-10	6.26066e-11
Cell_988	1.30252e-20	1.15484e-23	1	2.34652e-22	5.85591e-23
Cell_989	0.432301	0.0140569	0.502316	0.00764132	0.0436846
Cell_990	7.60684e-08	1	1.08952e-31	1.2364e-09	7.68682e-09
Cell_991	0.976734	0.000654883	6.29573e-27	0.0185015	0.00410984
Cell_992	1.16892e-07	1	1.23926e-12	1.83755e-09	1.18121e-08
Cell_993	0.337313	0.0119526	0.391944	0.224704	0.0340859
Cell_994	0.432745	0.0138019	0.502832	0.00689166	0.0437294
Cell_995	0.428743	0.0227689	0.498183	0.00697996	0.0433251
Cell_996	5.14433e-14	1	1.1999e-34	8.17969e-16	5.19841e-15
Cell_997	1.00845e-15	1	1.6327e-39	1.59415e-17	1.01906e-16
Cell_998	0.000559543	1.89923e-05	0.000650167	0.998715	5.65426e-05
Cell_999	0.43306	0.0130567	0.503199	0.00692238	0.0437613
Cell_1000	1.1869e-13	1	7.51425e-34	2.14298e-15	1.19938e-14
Cell_1001	5.96076e-10	1	6.92616e-10	9.47784e-12	6.02342e-11
Cell_1002	0.000394955	4.38776e-07	5.34577e-22	0.000263103	0.999342
Cell_1003	0.565536	0.00057877	2.47966e-19	0.376737	0.0571482
Cell_1004	2.29457e-09	1	4.95763e-32	4.05587e-11	1.11143e-11
Cell_1005	4.75065e-12	1	5.52007e-12	7.70254e-14	4.8006e-13
Cell_1006	3.91824e-06	0.999993	9.13916e-27	2.61017e-06	3.95943e-07
Cell_1007	1.76165e-15	5.6691e-17	1	2.77474e-17	1.78017e-16
Cell_1008	0.893483	0.00106845	8.00432e-24	0.0151614	0.0902876
Cell_1009	0.894765	0.000686037	5.66474e-21	0.0141322	0.0904172
Cell_1010	9.66062e-12	1	4.16047e-29	1.52254e-13	9.76219e-13
Cell_1011	3.56339e-17	4.07816e-20	1	5.75686e-19	1.52624e-19
Cell_1012	1.82159e-14	1	1.28376e-38	2.8624e-16	1.84074e-15
Cell_1013	0.97861	0.000798165	8.59672e-22	0.0161924	0.00439965
Cell_1014	1.04805e-17	3.27538e-19	1	1.79884e-19	1.05907e-18
Cell_1015	1.91888e-08	1	2.71529e-25	3.74828e-10	1.93906e-09
Cell_1016	1.48353e-12	1	9.39224e-33	2.34738e-14	6.07765e-15
Cell_1017	4.79244e-06	1.44318e-07	5.56863e-06	0.999989	4.84283e-07
Cell_1018	0.431596	0.012893	0.501497	0.0104004	0.0436133
Cell_1019	4.61284e-13	1	1.36442e-43	7.2485e-15	4.66134e-14
Cell_1020	5.17306e-17	1	6.44901e-46	8.55954e-19	5.22745e-18
Cell_1021	0.978657	0.00117617	5.47698e-06	0.015613	0.0045482
Cell_1022	0.000511558	1.58337e-05	0.000594411	0.998827	5.16936e-05
Cell_1023	2.13208e-13	1	2.82675e-35	3.35306e-15	2.15449e-14
Cell_1024	1.38851e-06	0.999998	1.9648e-23	2.2078e-08	1.40311e-07
Cell_1025	6.15006e-13	2.79277e-14	1	4.09692e-13	6.21472e-14
Cell_1026	0.00427392	0.000138973	0.00496613	0.990603	1.77225e-05
Cell_1027	4.53604e-10	1	5.2707e-10	3.02172e-10	4.58373e-11
Cell_1028	8.50794e-07	6.93917e-10	1.98445e-27	0.999999	8.59738e-08
Cell_1029	3.56774e-12	1	1.20543e-33	5.60626e-14	3.60525e-13
Cell_1030	7.04661e-15	2.15803e-16	1	1.14251e-16	3.16803e-17
Cell_1031	2.26614e-08	1	2.63316e-08	3.67423e-10	1.01881e-10
Cell_1032	3.83609e-05	1.15979e-06	4.45738e-05	0.999912	3.87642e-06
Cell_1033	2.30641e-25	1.55555e-28	1	4.25072e-27	2.33066e-26
Cell_1034	4.53569e-19	1	5.2703e-19	7.1301e-21	4.58338e-20
Cell_1035	1.12058e-05	0.999974	1.30207e-05	1.9015e-07	1.13236e-06
Cell_1036	0.451282	0.0142307	0.524371	0.00765772	0.00245861
Cell_1037	0.431056	0.0177389	0.50087	0.0067762	0.0435588
Cell_1038	2.50246e-22	1.85724e-25	1	3.95961e-24	2.52877e-23
Cell_1039	0.431538	0.0166024	0.50143	0.0068217	0.0436075
Cell_1040	0.971809	0.000787208	2.26671e-21	0.0221092	0.00529448
Cell_1041	1.00249e-18	9.12026e-22	1	1.7509e-20	1.01303e-19
Cell_1042	0.952002	0.0286087	2.93476e-27	0.0149655	0.00442432
Cell_1043	0.43066	0.0161874	0.50041	0.00922332	0.0435188
Cell_1044	5.65534e-08	1	9.1561e-32	8.8902e-10	5.7148e-09
Cell_1045	1.00712e-24	1	1.63054e-48	1.59909e-26	1.01771e-25
Cell_1046	0.89101	0.00150487	1.20599e-18	0.0174469	0.0900378
Cell_1047	0.258487	0.410959	0.300351	0.00408261	0.0261204
Cell_1048	0.349024	0.0114872	0.405553	0.232506	0.00142986
Cell_1049	1.3531e-18	1	3.95518e-44	2.41326e-20	1.36733e-19
Cell_1050	0.970047	0.000896642	1.31297e-18	0.0237717	0.00528488
Cell_1051	3.37725e-10	1	3.92423e-10	5.31132e-12	3.41276e-11
Cell_1052	0.598122	0.00038274	4.366e-28	0.398444	0.00305168
Cell_1053	0.451996	0.0135594	0.525202	0.0072109	0.00203209
Cell_1054	7.39736e-06	0.999992	1.59827e-28	1.16937e-07	4.03013e-08
Cell_1055	0.000101599	0.999896	1.43765e-21	1.9894e-06	5.53516e-07
Cell_1056	0.000243454	1.98564e-07	5.67848e-25	0.999732	2.46013e-05
Cell_1057	0.432526	0.013919	0.502579	0.00726844	0.0437074
Cell_1058	8.8825e-13	1	4.71063e-35	1.46703e-14	8.97588e-14
Cell_1059	0.97603	0.0010682	4.27951e-19	0.0166381	0.00626402
Cell_1060	2.89314e-08	1	3.36171e-08	4.54997e-10	1.19969e-10
