cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_74	0.0177652	0.000606308	0.059976	0.463355	0.00057724	0.457721
Cell_75	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_76	7.68418e-07	0.00127682	0.00547046	0.0237187	2.95232e-05	0.969504
Cell_77	3.60771e-09	2.12213e-12	4.5763e-13	0.998757	0.00124318	1.61136e-09
Cell_78	0.0364978	0.00124005	0.000267402	0.0216041	2.68916e-05	0.940364
Cell_79	0.0177653	0.000602814	0.0599762	0.463356	0.000576777	0.457722
Cell_80	0.0188961	0.000641839	0.000139906	0.492851	0.000613538	0.486858
Cell_81	0.0185635	0.0181269	0.000199881	0.484174	0.000647984	0.478287
Cell_82	0.018896	0.000646851	0.000138877	0.492848	0.000614196	0.486856
Cell_83	0.0177653	0.000606088	0.059976	0.463355	0.000576763	0.457721
Cell_84	0.0177652	0.000607098	0.059976	0.463354	0.000576783	0.457721
Cell_85	0.0174727	0.0170618	0.0589883	0.455724	0.00057077	0.450183
Cell_86	3.38338e-07	0.00116309	0.115716	8.82457e-06	1.09843e-08	0.883112
Cell_87	9.79051e-09	0.00116305	0.115717	4.132e-09	5.14324e-12	0.88312
Cell_88	3.26098e-08	1.10651e-09	2.39184e-10	0.998756	0.00124318	8.40189e-07
Cell_89	7.53295e-12	6.27179e-15	1.35216e-15	0.998757	0.00124319	4.75971e-12
Cell_90	1.13659e-06	0.00130788	0.00560355	9.19722e-07	1.1448e-09	0.993087
Cell_91	4.44158e-07	4.33713e-07	1.49949e-06	0.998743	0.00124316	1.14437e-05
Cell_92	5.2985e-08	0.00116305	0.115717	2.74782e-08	3.42029e-11	0.88312
Cell_93	0.0177652	0.00060856	0.0599759	0.463354	0.00057676	0.45772
Cell_94	4.3078e-07	0.999927	5.00461e-05	1.12357e-05	4.02465e-07	1.1099e-05
Cell_95	0.000170726	1.7546e-07	1.74372e-05	0.965108	0.0345705	0.000133076
Cell_96	3.60819e-09	6.61672e-11	2.28762e-10	0.998757	0.00124322	1.74585e-09
