cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_542	0.917725	0.00825682	0.0694108	0.00166353	0.00294407
Cell_543	1.72981e-10	0.000174463	3.3663e-05	3.51496e-05	0.999757
Cell_544	0.879431	0.00789195	0.00155152	0.00161589	0.10951
Cell_545	4.92786e-06	1.44758e-07	2.75438e-08	5.83056e-08	0.999995
Cell_546	0.98435	0.00880426	0.00167838	0.00176553	0.00340227
Cell_547	0.690947	0.0202969	0.00469055	0.00413063	0.279935
Cell_548	0.911855	0.00820601	0.0689837	0.00330521	0.0076499
Cell_549	0.976163	0.0087901	0.00183368	0.00354047	0.00967307
Cell_550	4.72434e-08	5.51262e-05	1.04935e-05	2.22037e-05	0.999912
Cell_551	0.794645	0.0071075	0.00137392	0.00286275	0.19401
Cell_552	0.748475	0.00677857	0.056984	0.00273027	0.185032
Cell_553	0.792179	0.00716603	0.00216017	0.00288632	0.195608
Cell_554	1.84862e-07	0.0344465	0.0114074	0.0138743	0.940272
Cell_555	1.71078e-09	3.17426e-07	6.1248e-08	1.27853e-07	0.999999
Cell_556	0.912631	0.00832708	0.0700014	0.00335397	0.00568638
Cell_557	1.40739e-10	6.65783e-08	1.26682e-08	1.33569e-08	1
Cell_558	0.912747	0.00816452	0.0686349	0.0032885	0.00716496
Cell_559	4.01028e-05	3.58811e-07	8.58188e-08	0.0145405	0.985419
Cell_560	0.793418	0.00714545	0.00151161	0.00287804	0.195046
Cell_561	0.000338534	9.94459e-06	2.37254e-06	1.99508e-06	0.999647
Cell_562	0.881128	0.00792756	0.00161776	0.00158972	0.107737
Cell_563	0.0153215	0.000137436	0.980734	5.53564e-05	0.00375154
Cell_564	0.984244	0.0088553	0.00171923	0.00180215	0.00337894
Cell_565	0.91277	0.00825689	0.0694114	0.0033257	0.00623552
Cell_566	1.93831e-07	5.69389e-09	1.08831e-09	0.0145411	0.985459
Cell_567	0.00436001	3.90125e-05	0.995557	1.57134e-05	2.78092e-05
Cell_568	0.881546	0.00789833	0.00152679	0.0015854	0.107444
Cell_569	0.977587	0.00884321	0.00176433	0.00356186	0.00824391
Cell_570	7.0079e-06	0.0662379	0.0126086	0.0133945	0.907752
Cell_571	0.00655247	5.86759e-05	0.993356	1.17855e-05	2.08576e-05
Cell_572	0.793373	0.00713218	0.00193783	0.00287269	0.194684
Cell_573	0.000198265	1.77789e-06	0.999775	3.56869e-07	2.41853e-05
Cell_574	2.45122e-08	0.0668254	0.0128368	0.0133827	0.906955
Cell_575	8.83989e-11	0.0346059	0.00683243	0.0139385	0.944623
Cell_576	0.979238	0.00876203	0.00185359	0.00352916	0.006617
Cell_577	0.978809	0.00875574	0.00188324	0.00352663	0.00702521
Cell_578	8.24686e-09	7.38384e-11	1	1.49314e-11	1.01191e-09
Cell_579	1.57115e-09	0.0345925	0.00721626	0.0139331	0.944258
Cell_580	1.48618e-06	0.0346018	0.00694815	0.0139369	0.944512
Cell_581	5.41888e-16	0.0346145	0.00658626	0.013942	0.944857
Cell_582	0.540818	0.0158868	0.00324199	0.00639886	0.433655
Cell_583	0.793788	0.00713591	0.00141576	0.0028742	0.194786
Cell_584	0.978506	0.00885048	0.00168548	0.00356479	0.00739352
Cell_585	0.540936	0.0158902	0.00302476	0.00640025	0.433749
Cell_586	0.982907	0.00880171	0.00203405	0.00179124	0.00446566
Cell_587	0.748274	0.00678399	0.0570295	0.00273245	0.18518
Cell_588	0.749995	0.00673761	0.0566396	0.00271377	0.183914
Cell_589	0.540903	0.0158893	0.00308486	0.00639986	0.433723
Cell_590	0.88042	0.00790083	0.00150463	0.00160206	0.108572
Cell_591	7.45198e-05	6.70459e-07	0.999924	1.36446e-07	3.72789e-07
Cell_592	0.792743	0.00717112	0.00145077	0.00288838	0.195747
Cell_593	0.540938	0.0158903	0.00302128	0.00640027	0.433751
Cell_594	0.983836	0.00881689	0.00167908	0.00178293	0.00388464
Cell_595	1.08562e-13	1.11376e-07	2.12008e-08	4.48599e-08	1
Cell_596	0.540818	0.0158868	0.00324199	0.00639886	0.433655
Cell_597	0.750274	0.00673009	0.0565764	0.00271074	0.183708
Cell_598	0.747745	0.00679825	0.0571494	0.00273819	0.185569
Cell_599	0.912932	0.00817954	0.0687612	0.00329455	0.00683303
Cell_600	2.22082e-11	0.0667927	0.012709	0.013385	0.907113
Cell_601	0.881204	0.00790786	0.00156892	0.00158962	0.10773
Cell_602	0.794181	0.00710664	0.00186258	0.0028624	0.193987
Cell_603	0.789505	0.0072808	0.00154024	0.00293255	0.198741
Cell_604	8.65475e-13	0.0666926	0.0131675	0.0133798	0.90676
Cell_605	0.827625	0.00741016	0.0622934	0.00149295	0.101178
Cell_606	3.71149e-14	4.06929e-06	8.0944e-07	1.63903e-06	0.999993
Cell_607	0.540723	0.015884	0.00341642	0.00639774	0.433579
Cell_608	3.86568e-06	0.0662387	0.0125987	0.0133946	0.907764
Cell_609	0.976706	0.0087692	0.00218675	0.00353205	0.00880558
Cell_610	0.0172026	0.000154097	0.982554	3.09515e-05	5.80325e-05
Cell_611	0.878556	0.00798755	0.00166626	0.00162555	0.110165
Cell_612	9.11278e-05	0.0346112	0.00658838	0.0139407	0.944769
Cell_613	0.478469	0.0140552	0.118155	0.00566115	0.38366
Cell_614	0.791054	0.00721778	0.00179987	0.00290717	0.197021
Cell_615	4.69735e-08	0.0346092	0.00673667	0.0139399	0.944714
Cell_616	0.00246252	0.0345073	0.00719849	0.0138988	0.941933
Cell_617	1.00698e-08	6.28978e-05	1.20048e-05	1.2719e-05	0.999912
Cell_618	0.790612	0.0072471	0.00140091	0.00291898	0.197821
Cell_619	0.793753	0.0071045	0.00235275	0.00286154	0.193929
Cell_620	0.880023	0.00789727	0.00155257	0.00160718	0.10892
Cell_621	0.794115	0.00712634	0.00136322	0.00287034	0.194525
Cell_622	1.89557e-05	0.065701	0.0147578	0.0133709	0.906151
Cell_623	3.35523e-14	3.14449e-11	6.20834e-12	1.26654e-11	1
Cell_624	9.75e-17	0.0346146	0.00658375	0.013942	0.94486
Cell_625	0.693162	0.0203619	0.0038986	0.00410899	0.278469
