cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_579	5.96076e-10	6.92616e-10	6.02342e-11	1.02308e-11	1
Cell_580	5.63692e-07	7.97644e-24	5.69619e-08	9.32707e-09	0.999999
Cell_581	2.04804e-16	2.89805e-33	2.06957e-17	3.21824e-18	1
Cell_582	0.0150115	0.959353	0.00151693	0.000252263	0.0238663
Cell_583	0.868969	1.17616e-18	0.0878104	0.0142131	0.0290078
Cell_584	0.894625	2.08668e-21	0.0904031	0.0140696	0.000902263
Cell_585	0.369462	1.59114e-18	0.0373347	0.00580794	0.587395
Cell_586	0.975223	1.31998e-18	0.00531308	0.0184729	0.000990593
Cell_587	1.64933e-11	1	1.66667e-12	1.09872e-11	6.46694e-13
Cell_588	0.3376	0.392278	0.034115	0.224895	0.0111112
Cell_589	0.258472	0.300334	0.0261189	0.00414072	0.410935
Cell_590	3.07503e-12	1	1.56891e-14	4.83603e-14	9.89564e-14
Cell_591	8.47826e-06	1.1997e-22	4.61902e-08	0.999991	1.05384e-08
Cell_592	0.431528	0.501419	0.0436065	0.00719154	0.0162554
Cell_593	0.258493	0.300358	0.026121	0.00405901	0.410969
Cell_594	3.70718e-20	1	1.79567e-22	5.8302e-22	3.28916e-23
Cell_595	3.85819e-14	2.04611e-36	3.89875e-15	6.06507e-16	1
Cell_596	0.258419	0.300273	0.0261136	0.00434264	0.410852
Cell_597	0.337716	0.392413	0.0341267	0.224973	0.0107711
Cell_598	2.95957e-14	1	2.99069e-15	1.97155e-14	1.21793e-15
Cell_599	0.565597	3.58078e-21	0.0571543	0.376777	0.000471849
Cell_600	4.36366e-12	5.0704e-12	1.74225e-14	6.85694e-14	1
Cell_601	3.24749e-19	1	1.39094e-21	5.31171e-21	1.04506e-20
Cell_602	0.432033	0.502005	0.0436575	0.0092426	0.013062
Cell_603	0.42891	0.498377	0.043342	0.0074614	0.0219091
Cell_604	1.7031e-13	1.97894e-13	6.97717e-16	2.77266e-15	1
Cell_605	0.349255	0.40582	0.00157019	0.232659	0.010696
Cell_606	1.31902e-14	4.45659e-36	1.33289e-15	2.1628e-16	1
Cell_607	0.258361	0.300205	0.0261077	0.00456677	0.410759
Cell_608	7.65918e-07	1.11942e-25	3.70991e-09	1.2031e-08	0.999999
Cell_609	0.890858	1.20579e-18	0.0900224	0.0181619	0.00095779
Cell_610	0.00197915	1.77303e-26	8.32774e-06	0.998011	1.46227e-06
Cell_611	0.449292	0.52206	0.00244777	0.00771147	0.0184894
Cell_612	3.45538e-05	4.88948e-22	3.49171e-06	5.43185e-07	0.999961
Cell_613	7.04661e-15	1	7.12069e-16	4.69416e-15	1.12032e-14
Cell_614	6.15006e-13	1	6.21472e-14	1.25381e-14	2.68354e-14
Cell_615	1.78127e-08	2.06977e-08	1.8e-09	2.86067e-10	1
Cell_616	0.000935138	0.00108659	9.4497e-05	1.60503e-05	0.997868
Cell_617	1.79686e-09	6.78802e-33	8.70355e-12	2.8319e-11	1
Cell_618	0.429957	0.499593	0.0434477	0.00685929	0.0201434
Cell_619	0.430985	0.500788	0.0435516	0.0115745	0.0131007
Cell_620	6.15006e-13	1	3.3506e-15	9.97149e-15	1.97913e-14
Cell_621	0.432716	0.502799	0.0437265	0.00683443	0.0139251
Cell_622	3.78648e-06	8.83184e-27	2.0629e-08	6.97848e-08	0.999996
Cell_623	1.1971e-14	4.52227e-38	1.20968e-15	1.94888e-16	1
Cell_624	3.69657e-17	1.87447e-48	3.73544e-18	5.80656e-19	1
Cell_625	0.265092	0.308026	0.00123198	0.00419054	0.42146
Cell_626	0.000105574	1.54301e-23	4.74643e-07	0.999894	1.00329e-07
Cell_627	0.000368675	2.41181e-33	3.72551e-05	0.999594	2.29909e-07
Cell_628	0.258279	0.30011	0.0260994	0.00488359	0.410628
Cell_629	0.978983	1.22045e-29	0.00499488	0.0154034	0.000618587
Cell_630	0.432664	0.502739	0.0437213	0.00779451	0.0130811
Cell_631	1.41367e-09	1.40774e-39	1.42854e-10	2.22944e-11	1
Cell_632	0.432882	0.502992	0.0437433	0.00716263	0.0132203
Cell_633	0.258454	0.300314	0.0261171	0.00420765	0.410907
Cell_634	0.432511	0.502561	0.0437058	0.00698747	0.014235
Cell_635	1.16143e-14	2.04249e-34	5.62566e-17	1.84963e-16	1
Cell_636	4.91219e-17	1	2.67619e-19	7.88884e-19	1.01995e-19
Cell_637	1.64933e-11	1	1.66667e-12	3.22957e-13	9.35935e-13
Cell_638	8.38884e-17	2.48132e-47	3.89862e-19	1.31872e-18	1
Cell_639	0.000125958	1.78235e-21	5.51341e-07	0.999673	0.000200257
Cell_640	1.57871e-05	5.96392e-29	1.59531e-06	0.999983	1.09614e-08
