cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	2.08088e-41	0.0140066	2.61806e-22	1.41807e-16	0.00376194	0.982231
Cell_1	5.15203e-77	0.0139331	5.64138e-62	1.31733e-50	0.00333354	0.982733
Cell_2	1.96909e-50	0.0139552	8.3901e-52	2.39322e-51	0.00333343	0.982711
Cell_3	5.39319e-69	0.0139358	2.47295e-68	1.67657e-45	0.00333399	0.98273
Cell_4	3.71181e-46	0.386425	8.64444e-48	1.6272e-20	0.00216965	0.611405
Cell_5	9.86891e-30	0.0139441	3.38799e-12	4.86727e-11	0.00576866	0.980287
Cell_6	2.4766e-36	0.0139378	1.47791e-25	2.5684e-19	0.00353306	0.982529
Cell_7	8.09779e-13	5.66511e-23	2.10887e-09	0.953196	0.0468044	3.92978e-21
Cell_8	2.6792e-42	0.0211352	3.84095e-33	8.26576e-27	0.00334017	0.975525
Cell_9	2.60129e-40	0.0141864	9.00697e-38	2.56775e-19	0.00353216	0.982281
Cell_10	0.973047	7.59418e-35	0.0220208	0.00470579	0.000226869	5.20291e-33
Cell_11	3.08614e-36	0.0139193	7.92373e-34	3.28001e-06	0.0176014	0.968476
Cell_12	5.96138e-54	0.0139634	1.65874e-55	3.7847e-27	0.00336229	0.982674
Cell_13	4.23621e-40	0.0139315	8.45441e-35	8.07237e-20	0.00350798	0.982561
Cell_14	2.85226e-15	0.0120689	1.22152e-09	0.0600215	0.0768979	0.851012
Cell_15	2.30813e-13	8.26296e-21	1.00333e-14	0.952533	0.0474666	5.81761e-19
Cell_16	6.37028e-40	0.998383	4.1045e-39	7.79301e-39	5.47397e-06	0.0016117
Cell_17	3.15779e-57	0.0139318	4.24781e-53	1.41284e-46	0.00333387	0.982734
Cell_18	7.75068e-50	1.86943e-38	2.49607e-21	0.954082	0.045918	1.31557e-36
Cell_19	2.17433e-36	0.0139356	4.93635e-38	2.15415e-29	0.00335096	0.982713
Cell_20	3.3024e-46	0.0139396	4.64073e-46	2.59111e-46	0.00333388	0.982727
Cell_21	1.08734e-40	0.999999	1.17653e-31	1.31116e-30	3.44457e-09	9.99774e-07
Cell_22	3.44986e-32	1.25363e-08	8.8323e-28	1.12671e-16	0.999999	8.83822e-07
Cell_23	7.7332e-45	0.0139361	8.92049e-41	7.4371e-42	0.00334818	0.982716
Cell_24	7.81176e-49	0.0139426	1.00798e-46	1.83881e-28	0.00335495	0.982702
Cell_25	1.30908e-44	0.0272054	1.02551e-24	2.44038e-13	0.00441805	0.968377
Cell_26	1.31701e-44	0.0139344	7.83988e-32	8.71697e-21	0.00346885	0.982597
Cell_27	3.08317e-40	2.81653e-07	3.19986e-32	1.42827e-14	0.99998	1.98667e-05
Cell_28	2.24294e-50	0.77955	1.63733e-51	5.15544e-41	0.000745635	0.219705
Cell_29	9.42665e-78	0.0236412	2.33525e-60	3.73894e-22	0.00339527	0.972964
Cell_30	5.67556e-48	0.0139381	1.08521e-36	3.22454e-32	0.00334296	0.982719
Cell_31	1.83854e-38	0.0150779	6.32594e-28	2.98185e-21	0.00344951	0.981473
Cell_32	2.63649e-38	0.0139381	1.52636e-34	5.34356e-25	0.00338112	0.982681
Cell_33	7.46355e-29	0.0140498	9.20725e-29	8.0714e-20	0.00350756	0.982443
Cell_34	4.37483e-69	0.0142573	7.44079e-56	4.86572e-11	0.00576683	0.979976
Cell_35	1.62088e-57	0.0143362	2.46677e-40	8.71342e-21	0.00346743	0.982196
Cell_36	0.917573	7.66968e-14	0.0611713	0.0198826	0.00137335	5.40259e-12
Cell_37	8.85192e-46	0.0123113	2.66675e-40	1.97176e-25	0.120574	0.867115
Cell_38	1.65078e-44	1	6.0408e-42	2.53025e-37	3.05152e-10	8.9573e-08
Cell_39	2.27646e-60	1	1.12669e-47	1.97596e-47	3.87192e-17	1.13899e-14
Cell_40	2.4875e-58	0.0139402	4.47943e-59	6.75763e-42	0.00333469	0.982725
Cell_41	1.80885e-42	0.0140067	1.59598e-38	5.5289e-34	0.00333977	0.982654
Cell_42	1.69027e-68	0.0139411	2.64584e-61	7.43621e-31	0.00334617	0.982713
Cell_43	4.94045e-52	0.0210651	2.66466e-36	2.38238e-08	0.00960056	0.969334
