cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	2.2025e-41	0.0141384	3.91765e-29	3.62553e-08	0.942873	0.0429883
Cell_1	5.25326e-77	0.0140664	9.92802e-31	8.11051e-14	0.943497	0.0424364
Cell_2	2.04619e-50	0.0139644	0.00212855	0.00669603	0.93515	0.0420609
Cell_3	5.60963e-69	0.0140692	8.33003e-28	2.84939e-25	0.943494	0.0424369
Cell_4	3.88894e-46	0.388704	3.71989e-30	6.34026e-30	0.584861	0.0264343
Cell_5	9.97192e-30	0.0140458	5.48397e-23	0.00140455	0.939027	0.045523
Cell_6	2.49077e-36	0.0140701	2.4292e-21	1.0815e-08	0.943235	0.0426946
Cell_7	1.41858e-12	9.77839e-23	5.10667e-15	9.92199e-10	6.45056e-21	1
Cell_8	2.63927e-42	0.0213357	7.89886e-20	8.44844e-09	0.936501	0.0421636
Cell_9	2.65053e-40	0.0143211	2.58502e-25	6.67779e-21	0.942995	0.0426837
Cell_10	0.987845	7.26492e-35	0.00354913	0.00587489	4.73333e-33	0.0027308
Cell_11	3.13245e-36	0.0139826	3.42487e-34	6.56049e-30	0.925192	0.0608252
Cell_12	6.44476e-54	0.0140968	4.24304e-31	8.66774e-31	0.943431	0.0424724
Cell_13	4.37556e-40	0.0140639	1.35673e-24	2.02013e-17	0.943274	0.0426624
Cell_14	2.92745e-15	0.012201	4.8475e-17	1.54884e-09	0.818154	0.169644
Cell_15	4.09514e-13	1.42495e-20	1.47655e-15	4.73975e-15	9.54068e-19	1
Cell_16	6.64147e-40	0.998382	3.48013e-08	1.67281e-05	0.00153269	6.89463e-05
Cell_17	3.24634e-57	0.0140651	5.72051e-15	5.7411e-09	0.943498	0.0424369
Cell_18	1.36094e-49	3.23069e-38	4.88869e-52	1.15761e-21	2.16208e-36	1
Cell_19	2.32429e-36	0.0140688	2.68767e-11	4.46337e-11	0.943472	0.0424588
Cell_20	3.36626e-46	0.0135913	0.000323439	0.0338993	0.911202	0.0409843
Cell_21	1.08414e-40	0.999999	2.09772e-20	1.69342e-09	9.50762e-07	4.28342e-08
Cell_22	2.60048e-32	9.38504e-09	1.826e-18	3.4878e-12	6.29216e-07	0.999999
Cell_23	6.68466e-45	0.0113868	2.23872e-07	0.190661	0.763591	0.0343607
Cell_24	7.99634e-49	0.0140759	1.08335e-24	1.04291e-20	0.94346	0.0424637
Cell_25	1.38443e-44	0.0274513	1.44258e-35	8.26708e-14	0.929227	0.0433219
Cell_26	1.36252e-44	0.014067	3.90765e-28	1.73547e-13	0.943321	0.0426116
Cell_27	2.32357e-40	2.10854e-07	1.28705e-28	9.96575e-19	1.41437e-05	0.999986
Cell_28	2.34869e-50	0.781205	2.53581e-14	1.37266e-13	0.209378	0.00941783
Cell_29	9.79667e-78	0.0238643	6.478e-60	1.19701e-40	0.933999	0.0421371
