cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_0	9.12195e-42	2.27453e-22	0.0125786	0.000329725	0.115244	0.832825	0.0248543	0.0125665	2.04924e-41	1.37721e-09	0.00160231
Cell_1	5.13134e-77	1.11355e-61	0.0312697	0.000814963	0.806502	0.0882311	0.0607096	0.00132366	4.91261e-78	7.13514e-15	0.0111488
Cell_2	1.34496e-50	1.13575e-51	0.0213233	0.00055663	0.907869	0.0156462	0.0413988	0.000235105	3.34848e-52	0.000400571	0.0125702
Cell_3	2.47321e-69	2.24751e-68	0.0133587	0.000348231	0.117684	0.828612	0.0259363	0.0124335	5.20512e-69	1.13156e-26	0.00162715
Cell_4	1.61045e-49	7.43312e-51	7.66068e-06	8.90034e-06	0.618702	3.64727e-15	1.49674e-05	2.4392e-15	2.60154e-60	2.41411e-34	0.381266
Cell_5	3.12555e-31	2.12653e-13	0.000912712	2.38657e-05	0.00312839	0.979198	0.00195095	0.0147384	1.13775e-29	4.05016e-06	4.33878e-05
Cell_6	1.30688e-36	1.54561e-25	0.0167785	0.000437526	0.931736	0.00523774	0.0328442	7.86201e-05	1.38424e-38	5.12044e-10	0.012887
Cell_7	1.15575e-12	5.96513e-09	1.4934e-22	3.95747e-24	1.7802e-20	8.3904e-24	1	1.27987e-25	2.20321e-15	7.28535e-11	2.50218e-22
Cell_8	3.21879e-42	9.1453e-33	0.0330068	0.00131454	0.719726	0.162851	0.0641648	0.00373337	5.38844e-43	9.28253e-10	0.0152035
Cell_9	2.88793e-40	1.98174e-37	0.0327259	0.000868822	0.731918	0.157709	0.0640613	0.0024101	4.72209e-41	6.5653e-22	0.0103065
Cell_10	0.0256669	0.00115118	4.03646e-36	1.08302e-37	1.35349e-35	4.5101e-33	0.000100529	6.96567e-35	0.973067	1.40239e-05	1.92619e-37
Cell_11	3.37113e-36	1.71538e-33	0.0321453	0.000849273	0.535057	0.3198	0.0997869	0.00486349	1.13794e-36	6.95586e-31	0.00749786
Cell_12	1.40163e-58	7.72925e-60	6.24836e-07	1.63211e-08	0.986333	5.24308e-20	1.21456e-06	7.88333e-22	3.9906e-73	1.72579e-36	0.0136651
Cell_13	6.46596e-42	2.55747e-36	0.000400695	1.04437e-05	0.985186	3.45232e-09	0.000783558	5.17953e-11	1.89022e-48	2.69305e-20	0.0136196
Cell_14	1.58676e-15	1.34677e-09	0.0123049	0.000320784	0.844301	0.00269116	0.128668	4.03845e-05	1.17749e-17	8.8335e-11	0.0116745
Cell_15	2.9654e-13	2.55469e-14	2.20776e-20	5.76428e-22	5.51706e-19	7.61033e-20	1	1.14376e-21	3.46831e-14	3.12658e-16	7.64026e-21
Cell_16	7.01073e-40	8.95235e-39	4.56885e-05	0.0520261	0.00149315	6.781e-05	8.8719e-05	0.0444475	3.53047e-41	1.59054e-06	0.901829
Cell_17	3.82862e-57	1.0207e-52	0.0356859	0.000929976	0.678045	0.203628	0.0692845	0.00305459	7.41255e-58	6.09814e-10	0.00937218
Cell_18	9.18284e-50	5.86092e-21	5.00871e-38	1.30834e-39	4.72087e-35	4.42609e-42	1	6.65512e-44	2.75331e-55	7.1382e-23	6.54072e-37
Cell_19	1.07936e-36	4.85643e-38	0.0141921	0.000369954	0.135696	0.808165	0.0275736	0.0121267	2.08546e-36	1.9043e-12	0.00187619
Cell_20	3.11829e-47	8.6845e-47	0.0029871	7.7888e-05	0.0150886	0.961129	0.0057995	0.0144259	3.40432e-46	0.000282911	0.000208678
Cell_21	3.57447e-41	7.66518e-32	9.50532e-09	0.017477	1.00702e-06	4.16707e-10	1.84942e-08	0.000441033	5.3169e-44	5.03104e-11	0.982081
Cell_22	1.39671e-32	7.08679e-28	1.12368e-08	2.92988e-10	3.41582e-07	1.52272e-08	1	2.28543e-10	6.42195e-34	2.18867e-13	4.72401e-09
Cell_23	2.43894e-46	5.57574e-42	0.00103231	2.69106e-05	0.00352685	0.97805	0.00200542	0.0146763	7.84037e-45	0.000633204	4.8765e-05
Cell_24	3.11272e-49	7.96004e-47	0.0113399	0.000295756	0.951866	0.00127594	0.0220357	1.91556e-05	1.18836e-51	3.65712e-22	0.0131677
Cell_25	5.30905e-46	8.24261e-26	0.00113216	5.84686e-05	0.00405837	0.96369	0.00230229	0.0286478	1.5333e-44	2.94253e-16	0.000111166
Cell_26	1.22731e-45	1.44793e-32	0.00268112	6.98924e-05	0.0128402	0.964524	0.00523448	0.0144733	1.49808e-44	1.40973e-15	0.000177538
