cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	2.22834e-41	0.0140068	2.82836e-22	0.982233	1.41257e-16	0.00376004
Cell_1	5.13173e-77	0.0139333	5.66881e-62	0.982735	1.31223e-50	0.00333186
Cell_2	2.01478e-50	0.0139554	8.66063e-52	0.982713	2.38395e-51	0.00333175
Cell_3	5.71266e-69	0.0139361	2.64258e-68	0.982732	1.67008e-45	0.00333231
Cell_4	3.96863e-46	0.386429	9.32424e-48	0.611402	1.62088e-20	0.00216854
Cell_5	1.02748e-29	0.0139444	3.55849e-12	0.98029	4.84842e-11	0.00576575
Cell_6	2.425e-36	0.013938	1.45991e-25	0.982531	2.55845e-19	0.00353127
Cell_7	9.34855e-13	5.68633e-23	2.45611e-09	3.94445e-21	0.953045	0.0469553
Cell_8	3.12572e-42	0.0211355	4.52068e-33	0.975526	8.23374e-27	0.00333848
Cell_9	2.65481e-40	0.0141866	9.27352e-38	0.982283	2.55781e-19	0.00353038
Cell_10	0.973157	7.14698e-35	0.0222179	4.89646e-33	0.00441146	0.000213398
Cell_11	3.16594e-36	0.0139196	8.20046e-34	0.968485	3.26733e-06	0.0175926
Cell_12	6.76033e-54	0.0139636	1.89767e-55	0.982676	3.77004e-27	0.00336059
Cell_13	4.86216e-40	0.0139317	9.7894e-35	0.982562	8.0411e-20	0.0035062
Cell_14	3.43986e-15	0.0120723	1.48618e-09	0.851243	0.0598052	0.0768798
Cell_15	2.43948e-13	8.29389e-21	1.0698e-14	5.8393e-19	0.952381	0.0476195
Cell_16	7.7832e-40	0.998383	5.0592e-39	0.00161168	7.7627e-39	5.47112e-06
Cell_17	3.34316e-57	0.0139321	4.53691e-53	0.982736	1.40737e-46	0.00333219
Cell_18	7.51127e-50	1.87643e-38	2.44035e-21	1.32049e-36	0.953934	0.0460661
Cell_19	2.28308e-36	0.0139358	5.22903e-38	0.982715	2.1458e-29	0.00334927
Cell_20	3.40035e-46	0.0139398	4.82061e-46	0.982728	2.58108e-46	0.00333219
Cell_21	1.19889e-40	0.999999	1.3087e-31	9.9976e-07	1.30606e-30	3.44277e-09
Cell_22	3.42224e-32	1.25429e-08	8.83904e-28	8.8427e-07	1.12292e-16	0.999999
Cell_23	7.56637e-45	0.0139363	8.80519e-41	0.982717	7.40829e-42	0.00334649
Cell_24	8.49625e-49	0.0139429	1.10599e-46	0.982704	1.83169e-28	0.00335325
Cell_25	1.3647e-44	0.0272059	1.07853e-24	0.968378	2.43092e-13	0.00441582
Cell_26	1.41138e-44	0.0139346	8.47595e-32	0.982598	8.6832e-21	0.00346709
Cell_27	3.20905e-40	2.81799e-07	3.35995e-32	1.98768e-05	1.42346e-14	0.99998
Cell_28	2.23525e-50	0.779552	1.64613e-51	0.219702	5.1354e-41	0.000745249
Cell_29	1.05014e-77	0.0236416	2.62449e-60	0.972965	3.72445e-22	0.00339355
Cell_30	6.2025e-48	0.0139383	1.19645e-36	0.98272	3.21205e-32	0.00334127
