cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_0	6.95575e-48	0.136263	1.42554e-22	2.70218e-41	0.797347	0.0478278	5.60243e-43	0.0185622
Cell_1	8.59519e-92	0.307758	9.31333e-62	4.87107e-77	0.63971	0.0377251	4.17591e-78	0.0148068
Cell_2	1.7063e-73	0.423258	6.76573e-51	1.56802e-50	0.532957	0.0314296	7.83675e-51	0.0123557
Cell_3	1.845e-91	0.131833	1.95652e-67	6.89252e-69	0.802281	0.0473132	2.09502e-69	0.0185734
Cell_4	1.03436e-68	0.998614	1.31087e-49	6.52853e-49	0.000662886	3.93315e-05	2.79012e-49	0.000683976
Cell_5	6.29202e-53	0.0555037	1.9514e-11	1.3795e-29	0.868142	0.0561943	2.79082e-30	0.0201601
Cell_6	1.17314e-48	0.488958	2.50731e-25	1.70612e-36	0.47205	0.02806	2.06287e-37	0.010932
Cell_7	1.2192e-35	1.0933e-20	4.06276e-08	1.76574e-12	4.91703e-21	1	7.65934e-13	1.1572e-22
Cell_8	4.71701e-82	0.270947	3.11606e-32	3.0144e-42	0.666157	0.0393338	1.06715e-42	0.0235619
Cell_9	1.62506e-47	0.278079	3.40341e-38	2.7295e-40	0.666581	0.0396235	4.82589e-42	0.0157165
Cell_10	2.05046e-29	1.85291e-34	0.0360363	0.882768	2.96248e-33	0.00224107	0.0789546	7.05918e-35
Cell_11	5.43273e-72	0.217563	2.49339e-33	3.40998e-36	0.700743	0.0652518	4.76793e-37	0.0164419
Cell_12	1.02281e-64	0.999963	5.73105e-60	3.56341e-58	3.39611e-05	2.00508e-06	1.01938e-59	7.87822e-07
Cell_13	6.25611e-62	0.97694	1.70528e-35	1.59505e-41	0.021302	0.00126499	4.1951e-42	0.000493086
Cell_14	9.34931e-28	0.489618	7.08674e-09	2.28909e-15	0.382555	0.118969	8.12437e-16	0.00885709
Cell_15	1.71081e-38	3.38851e-19	5.92261e-14	4.55407e-13	7.26958e-19	1	6.72368e-14	1.68564e-20
Cell_16	1.02456e-46	0.000601793	1.20907e-38	7.02931e-40	0.000987205	5.82274e-05	9.21333e-41	0.998353
Cell_17	2.67189e-87	0.246713	3.58875e-52	3.46551e-57	0.696123	0.0410525	1.30983e-57	0.016111
Cell_18	8.3764e-82	2.89904e-35	5.46308e-20	1.41304e-49	1.64897e-36	1	8.38936e-50	3.82536e-38
Cell_19	7.73958e-38	0.141488	1.8382e-38	2.82733e-36	0.793329	0.046817	4.01453e-38	0.0183661
Cell_20	2.24559e-67	0.0800953	5.09785e-45	4.11844e-46	0.850087	0.0501322	1.78136e-46	0.0196855
Cell_21	3.07395e-77	1.21019e-06	1.74065e-30	1.0686e-40	6.12402e-07	3.619e-08	7.89812e-41	0.999998
Cell_22	1.50652e-51	2.16967e-07	1.11336e-27	2.20696e-32	3.82646e-07	0.999999	2.13508e-33	8.8607e-09
Cell_23	9.99793e-54	0.0556136	1.0396e-40	9.61735e-45	0.872688	0.0514945	4.44794e-46	0.0202039
Cell_24	2.72728e-60	0.591304	1.19753e-46	4.81024e-49	0.377658	0.0222904	4.55658e-50	0.00874757
Cell_25	4.05667e-67	0.0569337	6.35545e-24	1.87103e-44	0.851497	0.0525162	4.02233e-45	0.0390534
Cell_26	1.6252e-75	0.0762352	3.19201e-30	1.81271e-44	0.853408	0.0505997	2.63267e-44	0.0197576
