cell	Node 0	Node 1	Node 2
Cell_0	3.16514e-41	0.645323	0.354677
Cell_1	7.79909e-77	0.646444	0.353556
Cell_2	2.98684e-50	0.646465	0.353535
Cell_3	8.39505e-69	0.646445	0.353555
Cell_4	3.61061e-46	0.862571	0.137429
Cell_5	1.47388e-29	0.639742	0.360258
Cell_6	3.71918e-36	0.645894	0.354106
Cell_7	1.29412e-12	2.68145e-21	1
Cell_8	4.06661e-42	0.652987	0.347013
Cell_9	3.84757e-40	0.646126	0.353874
Cell_10	0.996659	2.41359e-33	0.00334124
Cell_11	4.50493e-36	0.608581	0.391419
Cell_12	8.51886e-54	0.646392	0.353608
Cell_13	6.51845e-40	0.645958	0.354042
Cell_14	3.59779e-15	0.454153	0.545847
Cell_15	3.63591e-13	3.95675e-19	1
Cell_16	3.7064e-40	0.999776	0.000223517
Cell_17	4.85073e-57	0.646442	0.353558
Cell_18	1.23298e-49	8.99836e-37	1
Cell_19	3.28193e-36	0.646398	0.353602
Cell_20	4.79838e-46	0.646449	0.353551
Cell_21	6.3413e-41	1	1.38594e-07
Cell_22	1.21028e-32	1.35063e-07	1
Cell_23	1.11711e-44	0.646406	0.353594
Cell_24	1.18865e-48	0.646394	0.353606
Cell_25	1.99465e-44	0.655437	0.344563
Cell_26	2.06527e-44	0.64607	0.35393
Cell_27	1.11253e-40	3.03593e-06	0.999997
Cell_28	1.51989e-50	0.964711	0.0352892
Cell_29	1.36039e-77	0.655082	0.344918
Cell_30	8.60058e-48	0.646423	0.353577
Cell_31	2.82012e-38	0.647175	0.352825
Cell_32	4.03474e-38	0.646317	0.353683
Cell_33	1.15028e-28	0.646068	0.353932
Cell_34	6.36605e-69	0.640036	0.359964
Cell_35	2.48954e-57	0.646444	0.353556
Cell_36	0.983929	2.61564e-12	0.0160709
Cell_37	9.83541e-46	0.410752	0.589248
Cell_38	9.69368e-45	1	1.24232e-08
Cell_39	1.31356e-60	1	1.57805e-15
Cell_40	3.79293e-58	0.646448	0.353552
Cell_41	2.75229e-42	0.646495	0.353505
Cell_42	2.39638e-68	0.646417	0.353583
Cell_43	7.18342e-52	0.635943	0.364057
Cell_44	1.90559e-65	0.99999	9.7719e-06
Cell_45	8.90551e-54	0.646452	0.353548
Cell_46	9.30329e-23	1.15347e-07	1
Cell_47	0.999921	4.46391e-13	7.87583e-05
Cell_48	3.26914e-86	0.999999	1.31505e-06
Cell_49	1.09762e-88	0.655565	0.344435
Cell_50	1.97582e-55	1	1.88677e-13
Cell_51	4.84485e-50	0.647082	0.352918
Cell_52	2.1592e-31	0.00022676	0.999773
Cell_53	8.85842e-87	0.646455	0.353545
Cell_54	1.82917e-77	0.78185	0.21815
Cell_55	5.87008e-67	0.646454	0.353546
Cell_56	0.999617	1.93184e-28	0.000383016
Cell_57	0.998685	9.545e-31	0.00131533
Cell_58	4.57567e-22	0.645252	0.354748
Cell_59	1.66307e-41	0.646427	0.353573
Cell_60	3.40171e-50	0.646366	0.353634
Cell_61	6.42789e-73	1	2.20354e-17
Cell_62	1.58659e-29	0.646054	0.353946
Cell_63	7.34418e-09	6.55165e-34	1
Cell_64	6.99834e-66	0.646534	0.353466
Cell_65	2.01045e-27	0.645267	0.354733
Cell_66	1.62601e-31	0.645286	0.354714
Cell_67	2.95432e-21	0.114926	0.885074
Cell_68	1.77375e-31	0.644736	0.355264
Cell_69	2.72588e-53	0.646549	0.353451
Cell_70	1.59135e-75	0.646625	0.353375
Cell_71	6.02838e-56	0.61558	0.38442
Cell_72	1.52917e-25	0.645964	0.354036
Cell_73	7.49228e-34	1.67685e-41	1
Cell_74	6.76754e-41	0.647137	0.352863
Cell_75	3.87249e-32	0.646377	0.353623
Cell_76	2.80941e-52	0.646443	0.353557
Cell_77	5.66599e-41	0.646331	0.353669
Cell_78	1.05157e-45	0.646438	0.353562
Cell_79	1.0438e-51	0.646579	0.353421
Cell_80	3.50767e-25	2.67932e-21	1
Cell_81	0.99939	2.41464e-22	0.000610264
Cell_82	2.95463e-65	1	7.96714e-12
Cell_83	3.44815e-64	1	1.72809e-29
Cell_84	3.12197e-90	0.99989	0.000110472
Cell_85	6.00722e-60	0.646453	0.353547
Cell_86	1.83481e-33	0.63745	0.36255
Cell_87	4.02131e-17	0.643638	0.356362
Cell_88	9.56892e-11	1.11525e-24	1
Cell_89	4.1039e-58	0.646371	0.353629
Cell_90	7.1589e-17	2.82485e-25	1
Cell_91	1.51921e-58	0.646476	0.353524
Cell_92	2.01639e-36	0.646439	0.353561
Cell_93	0.997229	1.09889e-21	0.00277079
Cell_94	7.33187e-36	0.645068	0.354932
Cell_95	1.15829e-66	0.646462	0.353538
Cell_96	6.01208e-51	0.646489	0.353511
Cell_97	3.12167e-06	2.69079e-21	0.999997
Cell_98	4.1526e-71	0.646437	0.353563
Cell_99	1.84861e-49	0.644736	0.355264
Cell_100	1.06633e-85	0.974261	0.0257393
Cell_101	3.02798e-64	0.64682	0.35318
Cell_102	1.45546e-10	5.01223e-20	1
Cell_103	0.99916	1.37096e-46	0.000840494
Cell_104	2.42755e-60	0.646076	0.353924
Cell_105	2.33328e-45	0.999365	0.000634911
Cell_106	1.91856e-12	0.644876	0.355124
Cell_107	2.32856e-37	0.682516	0.317484
Cell_108	1.28833e-36	1.77526e-14	1
Cell_109	5.03322e-42	1	4.28151e-07
Cell_110	2.68134e-17	0.639774	0.360226
Cell_111	2.00277e-27	3.70259e-28	1
Cell_112	0.000904817	0.586051	0.413044
Cell_113	2.10504e-40	0.646368	0.353632
Cell_114	5.32351e-24	0.784192	0.215808
Cell_115	3.73256e-35	0.646201	0.353799
Cell_116	1.56247e-63	0.646448	0.353552
Cell_117	1.39735e-43	0.646429	0.353571
Cell_118	2.99781e-31	0.645329	0.354671
Cell_119	1.17148e-72	0.656226	0.343774
Cell_120	9.23227e-47	0.629118	0.370882
Cell_121	1.11856e-46	0.646481	0.353519
Cell_122	4.4916e-34	0.646676	0.353324
Cell_123	0.999597	5.1025e-26	0.000403385
Cell_124	4.91365e-60	1	1.07947e-09
Cell_125	1.69906e-54	0.646449	0.353551
Cell_126	3.48279e-46	0.646321	0.353679
Cell_127	1.35525e-61	0.646443	0.353557
Cell_128	2.58369e-23	0.647504	0.352496
Cell_129	2.09338e-34	0.645743	0.354257
Cell_130	3.91885e-35	3.84582e-08	1
Cell_131	1.31615e-31	0.000328763	0.999671
Cell_132	6.51592e-14	2.16271e-05	0.999978
Cell_133	2.73792e-65	1	2.1417e-07
Cell_134	2.34838e-61	0.644783	0.355217
Cell_135	1.04803e-22	0.288564	0.711436
Cell_136	4.14259e-61	0.646446	0.353554
Cell_137	0.000926561	1.34293e-15	0.999073
Cell_138	8.17775e-78	0.646443	0.353557
Cell_139	0.999985	1.76459e-48	1.4811e-05
Cell_140	4.31819e-19	0.641417	0.358583
Cell_141	3.04042e-69	0.646393	0.353607
Cell_142	2.27958e-35	0.646257	0.353743
Cell_143	0.999195	1.4858e-17	0.000805206
Cell_144	5.38978e-38	0.708395	0.291605
Cell_145	2.21624e-68	1	3.76796e-09
Cell_146	7.50355e-75	0.646465	0.353535
Cell_147	3.94991e-25	3.17665e-05	0.999968
Cell_148	8.9689e-55	0.646414	0.353586
