cell	Node 0	Node 1	Node 2	Node 3
Cell_0	3.13246e-22	7.26886e-18	0.508673	0.491327
Cell_1	3.93875e-64	9.78931e-26	0.999364	0.00063577
Cell_2	4.37076e-73	5.97989e-34	1	1.34413e-23
Cell_3	5.24188e-67	1.02367e-33	0.688927	0.311073
Cell_4	2.93145e-46	1.26442e-37	1.44015e-07	1
Cell_5	3.66352e-33	2.53199e-34	1	6.68442e-23
Cell_6	2.98766e-30	3.81715e-23	0.999999	1.13696e-06
Cell_7	5.25524e-23	3.83288e-34	1	3.36304e-16
Cell_8	1.10727e-65	4.48416e-51	1	5.99375e-35
Cell_9	1.80415e-36	2.30739e-29	6.98132e-12	1
Cell_10	1.1326e-28	8.22605e-40	1	6.4899e-31
Cell_11	3.81283e-41	4.41751e-47	1	1.66673e-09
Cell_12	1.57534e-55	1.36336e-40	8.55631e-24	1
Cell_13	5.35553e-39	2.17641e-31	0.999999	6.11758e-07
Cell_14	2.22895e-13	2.26732e-23	0.999999	1.40817e-06
Cell_15	2.84088e-25	2.07851e-36	1	1.45063e-12
Cell_16	4.79982e-45	8.09137e-18	1	1.26372e-07
Cell_17	1.84636e-75	4.27869e-41	1	1.20545e-24
Cell_18	4.22106e-32	3.05971e-43	1	3.81129e-13
Cell_19	2.80724e-38	4.26758e-21	2.73685e-09	1
Cell_20	2.39541e-66	3.02687e-32	1	2.29947e-23
Cell_21	9.00949e-67	9.0435e-48	1	1.19997e-37
Cell_22	1.07107e-35	3.78947e-30	1	5.53414e-09
Cell_23	1.31066e-49	5.77101e-20	1	1.48739e-10
Cell_24	2.08667e-45	3.71642e-29	1.18077e-07	1
Cell_25	8.51093e-35	1.20361e-33	1	4.14504e-13
Cell_26	1.28886e-50	4.84833e-42	1	8.29188e-22
Cell_27	5.50265e-55	1.53573e-51	1	1.41833e-24
Cell_28	1.41465e-51	3.00313e-22	0.000116589	0.999883
Cell_29	1.16064e-59	1.04766e-49	4.46534e-27	1
Cell_30	3.21469e-57	3.26447e-37	1	2.86821e-22
Cell_31	3.40466e-46	3.7565e-37	1	1.13557e-20
Cell_32	7.68289e-44	4.71002e-31	1	1.07178e-11
Cell_33	4.0952e-27	1.66503e-19	0.352926	0.647074
Cell_34	2.41864e-54	1.67375e-55	2.54058e-29	1
Cell_35	9.91947e-39	3.73754e-30	0.0070866	0.992913
Cell_36	4.27409e-16	3.45485e-27	1	2.63571e-18
Cell_37	1.59342e-55	6.12444e-42	1	1.179e-17
Cell_38	7.98514e-46	4.14708e-20	0.999992	8.01013e-06
Cell_39	2.18041e-57	1.45149e-21	1	1.69896e-10
Cell_40	3.32128e-64	1.60922e-34	1	2.34706e-07
Cell_41	1.19972e-41	7.10654e-20	0.999984	1.56309e-05
Cell_42	7.71942e-61	3.39934e-42	5.30847e-08	1
Cell_43	5.21722e-35	7.8506e-39	3.78401e-06	0.999996
Cell_44	1.276e-66	1.30359e-26	1	1.02915e-15
Cell_45	7.04056e-52	1.11615e-32	1.17155e-12	1
Cell_46	5.43704e-26	1.11218e-29	1	7.55075e-19
Cell_47	0.958797	8.31071e-12	0.0349017	0.00630174
Cell_48	1.39652e-59	1.19089e-28	1.07745e-11	1
Cell_49	2.4694e-71	4.47085e-35	0.360655	0.639345
Cell_50	2.43933e-54	2.60315e-25	1	4.25954e-08
Cell_51	6.49924e-78	6.61896e-58	1	7.78908e-31
Cell_52	9.2995e-43	4.21391e-34	1	3.19278e-25
Cell_53	7.1403e-61	2.23454e-26	0.996657	0.00334253
Cell_54	3.52981e-72	5.77436e-67	1.44484e-41	1
Cell_55	1.38793e-59	4.29069e-29	0.998817	0.00118269
Cell_56	7.42013e-05	5.38942e-16	0.999925	4.11693e-07
Cell_57	2.53896e-14	1.84213e-25	1	1.39725e-16
Cell_58	5.84673e-41	1.35631e-36	1	1.02807e-27
Cell_59	4.50658e-50	1.86841e-38	1	1.75185e-22
Cell_60	1.08002e-33	3.66379e-20	0.000311919	0.999688
Cell_61	2.78901e-66	5.39323e-36	2.75063e-07	1
Cell_62	4.03337e-31	1.63978e-23	0.996158	0.00384242
Cell_63	1.539e-24	1.11696e-35	1	8.46583e-27
Cell_64	4.02344e-78	1.66888e-66	1	1.98499e-28
Cell_65	5.98984e-37	1.3896e-32	1	3.24969e-10
Cell_66	1.14388e-27	6.64813e-24	0.999991	9.02112e-06
Cell_67	7.22472e-24	1.14271e-29	1	6.73897e-09
Cell_68	2.89773e-27	4.01032e-24	0.999994	5.5273e-06
Cell_69	6.36821e-47	3.51255e-27	4.40758e-08	1
Cell_70	5.31293e-63	1.32632e-39	1.70733e-21	1
Cell_71	2.267e-46	2.70095e-42	1	1.04588e-19
Cell_72	6.17111e-41	2.50791e-33	1	3.83633e-16
Cell_73	2.48472e-18	1.8014e-29	0.01176	0.98824
Cell_74	4.01153e-47	3.37698e-28	1	7.04384e-19
Cell_75	8.81622e-44	1.55478e-29	1	6.52706e-14
Cell_76	3.15957e-97	7.98143e-60	1	1.01409e-45
Cell_77	2.37487e-48	3.4525e-35	1	5.03824e-12
Cell_78	7.84015e-57	2.12183e-29	1	6.7352e-19
Cell_79	1.55567e-57	7.68146e-33	1	5.07401e-10
Cell_80	4.04863e-13	2.9505e-24	0.95468	0.0453199
Cell_81	1.32138e-12	9.66768e-24	1	7.33175e-15
Cell_82	1.85225e-53	5.17825e-35	1.85399e-07	1
Cell_83	4.67948e-74	2.48922e-30	1	2.01732e-21
Cell_84	1.02595e-85	2.08749e-35	1	1.86179e-20
Cell_85	9.14514e-68	2.7801e-43	1	3.36046e-25
Cell_86	7.62163e-31	7.59811e-33	2.85093e-05	0.999971
Cell_87	8.04036e-40	1.07962e-38	1	1.26369e-27
Cell_88	3.87891e-26	2.83256e-37	1	3.2531e-16
Cell_89	1.41927e-58	3.84219e-32	1	1.00613e-07
Cell_90	3.24824e-17	2.37918e-28	1	2.47034e-19
Cell_91	2.42115e-53	6.15936e-41	1.11133e-08	1
Cell_92	6.88072e-58	2.09159e-33	1	1.65832e-24
Cell_93	3.1997e-16	2.34649e-27	1	1.92823e-18
Cell_94	4.22336e-28	2.45225e-24	1	1.2275e-11
Cell_95	1.78148e-55	7.9108e-25	1	6.76121e-10
Cell_96	6.52911e-68	3.22262e-43	1	5.19781e-31
Cell_97	1.72836e-22	1.26496e-33	1	2.81318e-16
Cell_98	4.12909e-55	5.30146e-29	5.68959e-08	1
Cell_99	1.41695e-28	1.961e-25	2.81747e-05	0.999972
Cell_100	3.93749e-67	4.23774e-34	0.000359635	0.99964
Cell_101	2.24009e-59	2.6342e-21	3.85162e-06	0.999996
Cell_102	6.25788e-31	4.56962e-42	1	3.47204e-33
Cell_103	3.55808e-08	2.57843e-19	1	1.95969e-10
Cell_104	1.16159e-43	1.45721e-35	3.34037e-05	0.999967
Cell_105	1.50028e-43	8.73028e-39	0.00717337	0.992827
Cell_106	9.1685e-54	1.26966e-50	1	2.03254e-41
Cell_107	2.97181e-42	2.18729e-31	0.999999	5.26405e-07
Cell_108	3.2076e-27	4.39126e-29	0.0269811	0.973019
Cell_109	4.14203e-52	1.34585e-33	1	1.074e-24
Cell_110	8.351e-39	5.77249e-40	1	1.16043e-24
Cell_111	9.811e-20	7.11768e-31	1	4.19405e-18
Cell_112	6.01112e-22	4.4866e-29	1	3.56488e-20
Cell_113	2.0471e-47	1.59523e-33	1	1.20963e-24
Cell_114	5.83378e-33	1.57197e-31	1	1.03896e-19
Cell_115	1.64821e-36	1.43075e-26	0.999709	0.00029072
Cell_116	9.71781e-59	5.54899e-23	0.00604721	0.993953
Cell_117	5.04324e-78	2.62573e-55	1	1.62326e-35
Cell_118	4.07786e-26	9.4629e-22	0.961697	0.0383031
Cell_119	5.376e-78	2.49214e-47	1	1.89803e-17
Cell_120	8.51457e-33	1.24415e-36	0.978913	0.0210873
Cell_121	2.20914e-59	3.28292e-29	1	2.4993e-20
Cell_122	4.42473e-37	1.12663e-24	1	1.05482e-14
Cell_123	4.24956e-10	3.28635e-21	1	3.42251e-12
Cell_124	5.83928e-60	7.52536e-39	1.18248e-15	1
Cell_125	4.8271e-60	6.24917e-29	1	2.53844e-11
Cell_126	1.28861e-43	7.90003e-31	0.999989	1.11508e-05
Cell_127	1.1691e-65	4.61033e-29	1	2.63023e-10
Cell_128	1.21737e-55	7.50206e-43	1	5.85664e-34
Cell_129	9.33519e-34	1.29764e-30	1	7.13632e-14
Cell_130	2.50348e-35	2.31864e-46	2.84889e-18	1
Cell_131	6.41358e-33	5.68533e-30	0.999999	6.98068e-07
Cell_132	0.302683	3.8342e-12	0.694258	0.00305972
Cell_133	5.13583e-60	2.51912e-32	0.99983	0.000170193
Cell_134	1.21304e-50	1.67913e-47	1.92235e-28	1
Cell_135	1.90494e-21	9.35369e-18	0.999999	1.05884e-06
Cell_136	6.03676e-73	1.28571e-44	1	5.26958e-16
Cell_137	7.82446e-16	5.89095e-27	1	5.20288e-18
Cell_138	2.83439e-82	1.14813e-38	1	6.43677e-16
Cell_139	0.910378	6.59792e-12	0.0846225	0.00499932
Cell_140	1.77407e-18	7.71523e-19	0.999976	2.39749e-05
Cell_141	2.80524e-56	4.99619e-40	2.08182e-29	1
Cell_142	9.93177e-36	1.61486e-24	1	1.89018e-13
Cell_143	1.99797e-06	1.49739e-17	0.999998	1.13559e-08
Cell_144	6.45136e-48	2.02128e-37	1	1.2241e-16
Cell_145	1.18931e-89	2.62485e-64	1	3.08165e-49
Cell_146	8.95762e-68	9.33755e-39	8.43834e-15	1
Cell_147	3.57097e-19	1.43073e-16	0.881741	0.118259
Cell_148	9.22307e-53	1.77565e-26	0.00225144	0.997749
Cell_149	1.07241e-40	1.11076e-28	1	2.40785e-12
Cell_150	1.12258e-20	3.11392e-21	0.0705412	0.929459
Cell_151	1.14542e-35	4.97854e-36	1	2.66325e-15
Cell_152	7.29986e-31	5.59908e-30	1	4.79203e-21
Cell_153	5.32775e-60	8.44497e-41	1	3.39389e-19
Cell_154	8.35e-37	1.16098e-33	5.08659e-18	1
Cell_155	8.71393e-27	6.42325e-38	3.58065e-18	1
Cell_156	1.38954e-27	2.57074e-16	0.996266	0.00373417
Cell_157	6.08665e-67	1.36513e-50	5.76003e-20	1
Cell_158	6.71049e-68	2.12875e-38	1	8.49638e-25
Cell_159	4.71825e-35	6.33236e-34	1	7.41201e-23
Cell_160	1.40089e-05	1.02106e-16	0.999986	9.37148e-08
Cell_161	9.72393e-65	5.27215e-33	1	5.36629e-10
Cell_162	4.80246e-43	9.52895e-24	0.999998	1.6683e-06
Cell_163	3.77996e-17	2.90336e-28	1	2.20127e-19
Cell_164	2.12704e-53	1.84081e-38	3.63856e-13	1
Cell_165	3.16107e-14	2.33747e-25	0.99971	0.00029035
Cell_166	5.9626e-21	3.46252e-17	0.999996	4.05287e-06
Cell_167	1.33602e-22	1.33189e-24	0.0440381	0.955962
Cell_168	6.37305e-27	6.70212e-29	1	7.71377e-20
Cell_169	1.87804e-76	2.2154e-58	8.27181e-21	1
Cell_170	2.90512e-39	8.58852e-33	1	2.26915e-11
Cell_171	8.1194e-46	3.48486e-20	1	7.3272e-08
Cell_172	4.92824e-64	1.06074e-27	0.999999	8.43809e-07
Cell_173	1.02578e-50	1.12667e-41	6.93777e-11	1
Cell_174	3.84189e-33	4.9115e-26	3.94354e-06	0.999996
Cell_175	1.69677e-87	1.54171e-56	0.99997	3.04685e-05
Cell_176	6.66741e-77	4.55796e-43	1	5.53175e-34
Cell_177	2.2851e-54	5.73594e-54	1	2.05719e-21
Cell_178	2.11685e-52	1.79672e-30	7.61194e-10	1
Cell_179	7.24677e-43	6.42325e-38	1.02249e-12	1
Cell_180	2.83161e-76	9.27269e-39	1	5.67693e-20
Cell_181	1.45105e-61	6.49357e-28	0.0735637	0.926436
Cell_182	1.22019e-70	3.62203e-51	1	3.25903e-25
Cell_183	3.05152e-54	3.91047e-29	0.999999	5.67829e-07
Cell_184	4.77981e-50	4.01078e-33	1	1.76065e-18
Cell_185	9.27823e-34	1.35615e-37	1	2.37997e-20
Cell_186	1.72515e-49	3.24045e-34	1	8.76654e-21
Cell_187	6.2978e-45	4.92299e-31	1	5.76235e-20
Cell_188	3.67526e-19	2.66715e-30	1	2.03783e-21
Cell_189	8.88007e-45	2.70057e-27	0.879793	0.120207
Cell_190	2.16469e-39	2.42465e-30	1	2.56109e-07
Cell_191	1.57839e-30	1.14526e-41	1	2.15334e-20
Cell_192	5.23074e-63	3.45819e-29	0.999982	1.8392e-05
Cell_193	2.71771e-82	1.66621e-69	1	5.27248e-40
Cell_194	2.5537e-21	1.85291e-32	1	1.40413e-23
Cell_195	6.14092e-38	1.44672e-27	1	4.26451e-13
Cell_196	2.04922e-33	1.18975e-29	1.56526e-11	1
Cell_197	6.54074e-30	8.41889e-33	1	2.82014e-10
Cell_198	1.89993e-50	7.54154e-36	1	1.58865e-14
Cell_199	0.567186	4.11368e-12	0.429694	0.00311929
Cell_200	1.01123e-12	7.33712e-24	4.24222e-10	1
Cell_201	4.83769e-36	3.02866e-25	5.38794e-09	1
Cell_202	3.70701e-53	6.56808e-26	1	6.84876e-17
Cell_203	2.78675e-29	2.78703e-31	1	1.64297e-08
Cell_204	1.60609e-36	2.39024e-31	1	8.98199e-11
Cell_205	1.61826e-51	1.59195e-45	1.08046e-16	1
Cell_206	6.88567e-15	4.99032e-26	1	3.78109e-17
Cell_207	5.68886e-57	5.36728e-29	1	7.3794e-10
Cell_208	7.33607e-32	1.70189e-27	1	8.37727e-10
Cell_209	5.2566e-62	2.84068e-28	1	4.39114e-10
Cell_210	4.74703e-24	3.58117e-31	1	5.48031e-22
Cell_211	8.17584e-52	1.42511e-37	1	9.47867e-15
Cell_212	8.96556e-58	1.30345e-44	1	2.89818e-23
Cell_213	1.66039e-40	7.21792e-41	1.55695e-12	1
Cell_214	3.68726e-35	3.14083e-19	0.99942	0.000580219
Cell_215	1.52606e-70	1.21379e-40	6.06749e-14	1
Cell_216	3.17921e-50	7.4578e-46	1	1.62942e-26
